智代アフター
ハイパーモード(成体化), 光噴出 白 Charge(High).wav
格闘(攻撃), 振る武器突撃 -.bmp
格闘(命中), @戦闘アニメ_格闘攻撃;格闘
格闘(命中), @戦闘アニメ_打突攻撃;打撃
格闘(命中), @戦闘アニメ_アッパー攻撃;アッパー
ロングソード(準備), Reload(4).wav
ロングソード(攻撃), 剣突撃
ロングソード(命中), 斬撃
グラディウス(準備), Reload(4).wav
グラディウス(攻撃), 剣突撃
グラディウス(命中), 斬撃
６畳間アタック(準備), 粒子集中 青
６畳間アタック(攻撃), 打撃突撃
６畳間アタック(命中), 強打
お手製ダイオキシン(準備), 粒子集中 青
お手製ダイオキシン(攻撃), 振る武器突撃 -.bmp;白燐手榴弾
お手製ダイオキシン(命中), 飛沫 緑 Glass.wav;煙 緑 Scream(Man).wav
河南子直伝殺法(準備), 粒子集中 青
河南子直伝殺法(攻撃), 振る武器突撃 -.bmp;連打
河南子直伝殺法(命中), 連打;@戦闘アニメ_アッパー攻撃;アッパー
町の意思(準備), オーラ上昇 青 Charge.wav
町の意思(攻撃), EvilEye.wav;@戦闘アニメ_フェイスアップ準備 岡崎朋也(智代アフター);振り下ろし Snap(E).wav
町の意思(命中), @戦闘アニメ_光打ち下ろし攻撃 青;発光 青 Glass.wav;飛沫 青 Inori.wav;飛沫 青 Inori.wav;飛沫 青 Inori.wav
風子召喚(発動), @戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_なぎ払い攻撃;六芒星 白 Hittyuu.wav
剣の舞(準備), Reload(4).wav
剣の舞(攻撃), 連斬撃
剣の舞(命中), 連斬撃
覇王剣(準備), Reload(4).wav
覇王剣(攻撃), 斬撃;地表衝撃波
覇王剣(命中), 斬撃 Slash.wav
ソードラッシュ(準備), Reload(4).wav
ソードラッシュ(攻撃), 斬撃乱舞
ソードラッシュ(命中), 斬撃乱舞
ショートスピア(準備), Reload(4).wav
ショートスピア(攻撃), スピア突撃
ショートスピア(命中), 連突
渾身の蹴り(準備), 粒子集中 青
渾身の蹴り(攻撃), キック
渾身の蹴り(命中), 強打 Warship.wav
Ｇジャンプ(準備), 粒子集中 青
Ｇジャンプ(攻撃), 透明化 対象ユニット ＩＤ;スーパーキック 青
Ｇジャンプ(命中), スーパーキック 青 Explode.wav
10連蹴り(準備), オーラ上昇 青 Charge.wav
