#月と貴女に花束を・ｆｏｒ・ＳＲＣデータ
#アニメーションデータ
#------------------------------------------------------------------------------
汎用
鉤爪, 爪撃
爪撃, 爪撃
牙, 噛み付き
拳撃, 打突
拳撃(命中), 強打
具現分身, 五芒星 赤 BeamSaber.wav
具現分身(準備), -
具現分身(攻撃), 分身打撃 Search.wav
具現分身(命中), 分身刺突
破壊の咆哮, ＭＡＰニードル GunPod.wav
破壊の咆哮(命中), 大爆発 Explode.wav
破壊の光球, ＭＡＰ発光 レッド Bomb.wav
破壊の光球(命中), 爆撃 
破壊の赤光, 大ビーム MultipleRocketLauncher.wav レッド
破壊の赤光(命中), 大爆発 Explode(Long).wav
雷帝掌, 打突
雷帝掌(命中), 放電 Thunder.wav
念動力, BeamSaber.wav
念動力(命中), 打撃 BreakOff.wav
黒魔光, 中ビーム ブラック
赤光, 持続ビーム レッド LaserGun.wav
荒れ狂う触手(準備), 鞭 二刀流
荒れ狂う触手, 白兵乱撃
荒れ狂う触手(命中), 乱打
熱き風, 粒子噴射 赤 Storm.wav
熱き風(命中), 火柱
火炎球, キャノン砲
爆発, ＭＡＰ大爆発 Explode(Nuclear).wav
爆発(命中), -
守りの太刀, 日本刀
紅蓮の槍, 中ビーム 赤 Cannon.wav;中ビーム 赤 Cannon.wav;中ビーム 赤 Cannon.wav
紅蓮の槍(命中), 中ビーム 赤 Stab.wav;中ビーム 赤 Stab.wav;中ビーム 赤 Stab.wav
雷撃, 小ビーム ブルー Thunder.wav
雷撃(命中), 小爆発
聖剣・雷精, 剣
雷精解放(準備), 放電 Glass.wav
雷精解放,大電撃
雷精解放(命中), 大電撃
青龍刀, 青龍刀
剛槍・温羅, パイク
真紅の魔人形, BeamSaber.wav
真紅の魔人形(命中), -
真紅の魔人形(クリティカル), 打撃 BreakOff.wav;捕縛
魔剣・緋燕, ソード
狼魂の槍(準備), ナギナタ
狼魂の槍, ナギナタ突撃
狼魂の槍(命中), なぎ払い;魔法放射 中 青 Charge(High).wav
魔剣・絶, 日本刀
迦陵頻伽<縛>, 持続ビーム 白 Swing.wav;持続ビーム 白 Swing.wav
迦陵頻伽<縛>(命中), -
迦陵頻伽<縛>(クリティカル), 捕縛 Sword.wav
