#月と貴女に花束を・ｆｏｒ・ＳＲＣデータ
#エフェクトデータ
#------------------------------------------------------------------------------
汎用
格闘, Punch.wav
格闘(命中), FightHit(1).wav
鉤爪, Swing.wav
鉤爪(命中), Slash.wav
爪撃, Swing.wav
爪撃(命中), Slash.wav
牙, Swing.wav
牙(命中), Stab.wav
拳撃, Punch.wav
拳撃(命中), Crash.wav
分身(具現分身), Search.wav
具現分身, Search.wav
具現分身(命中), Shock(Low).wav
攻撃無効化(結界), BeamCoat.wav
バリア発動(結界), BeamCoat.wav
バリア貫通(結界), Glass.wav
破壊の咆哮, GunPod.wav
破壊の咆哮(命中), Explode.wav
破壊の赤光, MultipleRocketLauncher.wav
破壊の赤光(命中), Explode(Long).wav
破壊の光球, ＭＡＰ連気弾 Bomb.wav
破壊の光球(命中), 爆撃 
破壊の光球, 1;Bomb.wav;4;Bomb.wav;4;Bomb.wav;4;Bomb.wav
破壊の光球(命中), Explode(Long).wav
赤光, LaserGun.wav
赤光(命中), Stab.wav
念動力, BeamSaber.wav
念動力(命中), BreakOff.wav
雷帝掌, Punch.wav
雷帝掌(命中), Thunder.wav
黒魔光, Beam.wav
黒魔光(命中), Explode.wav
紅蓮の槍, 1;Beam.wav;3;Beam.wav;3;Beam.wav
紅蓮の槍(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav
荒れ狂う触手, 1;Whip.wav;3;Whip.wav;3;Whip.wav;3;Whip.wav;3;Whip.wav
荒れ狂う触手(命中), Crash.wav
熱き風, Wind.wav
熱き風(命中), Fire.wav
火炎球, Cannon.wav
火炎球(命中), Explode.wav
爆発, Explode(Nuclear).wav
爆発(命中), -
守りの太刀, Swing.wav
守りの太刀(命中), Slash.wav
攻撃無効化(守りの太刀), BeamCoat.wav
バリア貫通(守りの太刀), Glass.wav
攻撃無効化(梟龍の力), BeamCoat.wav
雷撃, Thunder.wav
雷撃(命中), Explode(Small).wav
聖剣・雷精, Swing.wav
聖剣・雷精(命中), Slash.wav
雷精解放(準備), Glass.wav
雷精解放,Thunder.wav
雷精解放(命中), Explode(Long).wav
青龍刀, Swing.wav
青龍刀(命中), Slash.wav
剛槍・温羅, Swing.wav
剛槍・温羅(命中), Stab.wav
真紅の魔人形, BeamSaber.wav
真紅の魔人形(命中), -
真紅の魔人形(クリティカル), BreakOff.wav
魔剣・緋燕, Swing.wav
魔剣・緋燕(命中), Slash.wav
阻止(狼魂の槍), Saber.wav
狼魂の槍, Swing.wav
狼魂の槍(命中), 1;Slash.wav;3;Charge(High).wav
魔剣・絶, Swing.wav
魔剣・絶(命中), Glass.wav
攻撃無効化(迦陵頻伽), Hittyuu.wav
迦陵頻伽<縛>, Swing.wav
迦陵頻伽<縛>(命中), -
迦陵頻伽<縛>(クリティカル), Sword.wav
迦陵頻伽, 1;Swing.wav
迦陵頻伽(命中), Slash.wav
神鳥召還, AntiShipMissile.wav
龍魂の剣, Swing.wav
龍魂の剣(命中), Slash.wav
シールド防御(守りの構え), Sword.wav
シールド防御(甲殻), Sword.wav


#------------------------------------------------------------------------------
人狼族
咆哮衝撃波, GunPod.wav
咆哮衝撃波(命中), Crash.wav
咆哮衝撃波(クリティカル), -
裂光の飛刀(準備), BeamSaber.wav
裂光の飛刀, 1;Swing.wav;3;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav
裂光の飛刀(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
光技, Beam.wav
光技, Explode.wav
裂光の剣(準備), BeamSaber.wav
裂光の剣, Swing.wav
裂光の剣(命中), Saber.wav
黄金の雷(準備), BeamSaber.wav
黄金の雷, Thunder.wav
黄金の雷(命中), Explode(Far).wav
純白の光(準備), Charge(High).wav
純白の光, Shock(Low).wav
純白の光(命中), Glass.wav
極彩色の咆哮, AntiShipMissile.wav
極彩色の咆哮(命中), Crash.wav
極彩色の咆哮(クリティカル), -
極彩色の爪, Swing.wav
極彩色の爪(命中), Slash(2).wav
極彩色の飛刀(準備), Hittyuu.wav
極彩色の飛刀, 1;Swing.wav;3;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav
極彩色の飛刀(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
極彩色の剣(準備), Hittyuu.wav
極彩色の剣, Swing.wav
極彩色の剣(命中), Saber.wav
