#
#　データ作成：ＧＡＭＥＭＡＳＴＥＲ
#
#　原作：征海未亜／講談社

ミュウミュウ
ストロベリーチェック, Sharara.wav
ストロベリーサプライズ, Sharara.wav
ミントエコー, Glass.wav
レタスラッシュ, Splash.wav
プリングリングインフェルノ, Fold.wav
ザクロスピュア, Whip.wav
アップルティック(命中), BreakOff.wav
アップルポップ, Sharara.wav
アクアドロップス, Sharara.wav

エイリアン
彗星藍玉斬, Slash(4).wav
トンファー(命中), BreakOff.wav
炸裂弾, BeamSaber.wav
稲妻, Thunder.wav
サイ, Slash(3).wav
宝来球, ;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
植物系キメラアニマ(命中), ;1;Whip.wav;1;Whip.wav;1;Whip.wav
烈風, Storm.wav
空雷扇(命中), Whip.wav
吹雪, Storm.wav
空雷旋風陣, ;1;Thunder.wav;1;Thunder.wav;4;Thunder.wav;Explode(Far).wav
尻尾(命中), BreakOff.wav
パラパラ放出, ;8;Fold.wav;8;Fold.wav
エネルギー, AntiAirMissile.wav
エネルギーボール, Beam.wav
衝撃波, Glass.wav
触手(命中), Whip.wav
放電, Thunder.wav
胞子, Bazooka.wav

