機械仕掛けのイヴ
賢王の鍵(解説), $(パイロット)は７２の量子コンピューターを解放し、サブプログラムを起動して超演算を行い、攻撃を仕掛けた
賢王の鍵(準備), 粒子集中 青
賢王の鍵(攻撃), 分身打撃 
賢王の鍵(命中), 乱打
ダビデの石(準備), 粒子集中 青
ダビデの石(攻撃), 拡散ビーム
ダビデの石(命中), 大ビーム
ペリシテびとの痛み(準備), 粒子集中 青
ペリシテびとの痛み(攻撃), スーパータックル 青
ペリシテびとの痛み(命中), 強打 Crash.wav
天破封塵(準備), 粒子集中 青
天破封塵(攻撃), スーパーパンチ 青
天破封塵(命中), 大爆発
異神討滅(準備), 粒子集中 青
異神討滅(攻撃), スーパーパンチ乱舞 青
異神討滅(命中), スーパーパンチ乱舞;連続大爆発
巴比倫之鎖(準備), 粒子集中 青
巴比倫之鎖(攻撃), 拡散ビーム
巴比倫之鎖(命中), オールレンジ;拡散ビーム;大電撃
神意激槌(準備), 粒子集中 青
神意激槌(攻撃), スーパーパンチ 青
神意激槌(命中), 超爆発
神[四十八]音(準備), 粒子集中 黒
神[四十八]音(攻撃), 重力弾
神[四十八]音(命中), 爆発
喪失郷(準備), 粒子集中 青
喪失郷(攻撃), 大電撃;大放電
喪失郷(命中), 大電撃;大放電;大爆発
喪失王(準備), 粒子集中 青
喪失王(攻撃), 音波
喪失王(命中), 魔法集中
創世記(準備), 粒子集中 青
創世記(攻撃), 波動放射
創世記(命中), 大爆発
喪・天(準備), 粒子集中 青
喪・天(攻撃), 大電撃;大放電
喪・天(命中), 大電撃;大放電;超爆発
人間爆弾(準備), 粒子集中 青
人間爆弾(攻撃), 自爆
人間爆弾(命中), 大爆発
銀河爆発的一臣(準備), 粒子集中 青
銀河爆発的一臣(攻撃), 超自爆
銀河爆発的一臣(命中), 超爆発
桜星２４型・二丁拳銃, ピストル
ディフレクト・ショット(攻撃), ピストル
ディフレクト・ショット(命中), オールレンジ
ザミエル, ピストル(攻撃), ピストル
ザミエル, ピストル(命中), オールレンジ
因果/応報(命中), 打撃
激・因果応報(準備), 粒子集中 赤
激・因果応報(攻撃), スーパーパンチ 赤
激・因果応報(命中), 強打 Crash.wav
慟哭の拳(準備), 粒子集中 赤
慟哭の拳(攻撃), スーパーパンチ 赤
慟哭の拳(命中), 大爆発
斬撃連断(準備), 粒子集中
斬撃連断(攻撃), 斬撃乱舞
斬撃連断(命中), 大斬撃
無限刃(準備), 粒子集中
無限刃(攻撃), 斬撃突撃
無限刃(命中), 連続なぎ払い;大爆発
流天の蛇, 小ビーム 赤
賢人の路(準備), 粒子集中 赤
賢人の路(攻撃), スーパータックル 赤
賢人の路(命中), 中ビーム 赤;大爆発
智慧の渦(準備), 粒子集中 赤
智慧の渦(攻撃), 大ビーム 赤
智慧の渦(命中), 大ビーム 赤
輪廻の耀蛇(準備), 粒子集中 赤
輪廻の耀蛇(攻撃), 中ビーム 赤
輪廻の耀蛇(命中), ホーミングレーザー
大いなる秘蹟(準備), 粒子集中 赤
大いなる秘蹟(攻撃), 光球 赤
大いなる秘蹟(命中), 大爆発
混沌の具現(準備), 粒子集中 赤
混沌の具現(攻撃), 光球 赤
混沌の具現(命中), 超爆発
機械人形の夢(準備), 粒子集中
機械人形の夢(攻撃), 斬撃突撃;大ビーム 赤
機械人形の夢(命中), 斬撃突撃;大ビーム 赤;大爆発
万象之理剣(準備), 粒子集中
万象之理剣(攻撃), 斬撃突撃
万象之理剣(命中), 超斬撃
奥義・閃雷(攻撃), 斬撃突撃
奥義・閃雷(命中), 大斬撃
秘伝絶技・神雷(準備), 粒子集中
秘伝絶技・神雷(攻撃), 斬撃突撃
秘伝絶技・神雷(命中), 超斬撃
電磁レールガン(準備), -
電磁レールガン(攻撃), キャノン砲
電磁レールガン(命中), 爆発
遠神恵賜(攻撃), 超ビーム
遠神恵賜(命中), 大爆発
八岐大蛇(攻撃), ３ＷＡＹ射出;８ＷＡＹ射出
八岐大蛇(命中), オールレンジ;大爆発
遠神忌為(攻撃), 超ビーム
遠神忌為(命中), 大爆発
八百万柱神(攻撃), ３ＷＡＹ射出;８ＷＡＹ射出
八百万柱神(命中), オールレンジ;大爆発
天逆鉾(準備), 粒子集中 赤
天逆鉾(攻撃), 斬撃突撃
天逆鉾(命中), 大斬撃
天羽々矢(準備), 粒子集中 赤
天羽々矢(攻撃), ２連中ビーム
天羽々矢(命中), ２連中ビーム
天陽(準備), 粒子集中 赤
天陽(攻撃), 重力弾
天陽(命中), 大爆発
天禍陽(準備), 粒子集中 赤
天禍陽(攻撃), 重力弾
天禍陽(命中), 超爆発
