
武装神姫
#
## アーンヴァル
#
エンジェリックスカイ,                 風
アルヴォLP4ハンドガン(準備),          ピストル
アルヴォLP4ハンドガン(攻撃),          ピストル;ピストル
アルヴォLP4ハンドガン(命中),          銃弾;銃弾
M4ライトセイバー,                     ビームサーベル 青
クイックドロー(準備),                 光噴出;ピストル
クイックドロー(攻撃),                 ピストル;ピストル;ピストル
クイックドロー(命中),                 銃弾;銃弾;銃弾
アルヴォPDW9,                         マシンガン
CL3レーザーライフル,                  ビームランチャー 白 Weapon\EFFECT_BusterBeamLauncher01.bmp 64
サラマンダーチルドレン(準備),         マシンガン
サラマンダーチルドレン(攻撃),         マシンガン;竜炎
サラマンダーチルドレン(命中),         竜炎
ジャスティスラッシュ,                 回転ビームサーベル 青
ハイパーブラスト,                     バスタービームランチャー 白
RG8レールガン,                        ライフル Weapon\EFFECT_BeamLauncher01.bmp 40
ディヴァイン・ブラスト(準備),         浮上アップ Unit\BSSK_ArnvalU.bmp 白 遅;浮上アップ終了 Unit\BSSK_ArnvalU.bmp 白;射撃武器 Weapon\EFFECT_BeamLauncher01.bmp 40
ディヴァイン・ブラスト(攻撃),         レールガン Weapon\EFFECT_BeamLauncher01.bmp 40;レールガン Weapon\EFFECT_BeamLauncher01.bmp 40;レールガン Weapon\EFFECT_BeamLauncher01.bmp 40
ディヴァイン・ブラスト(命中),         レールガン;レールガン;レールガン
#
## ストラーフ
#
フルストゥ・グフロートゥ,             ナイフ
フルストゥ・クレイン,                 投げナイフ
ピアスドナイトメア(準備),             -
ピアスドナイトメア(攻撃),             投げナイフ;投げナイフ;投げナイフ
ピアスドナイトメア(命中),             投げナイフ;投げナイフ;投げナイフ
アングルブレード,                     シャムシール
ハンドガン・ヴズルイフ(準備),         リボルバー
ハンドガン・ヴズルイフ(攻撃),         リボルバー;リボルバー
ハンドガン・ヴズルイフ(命中),         銃弾;銃弾
ラピッドドッグトラップ(準備),         光噴出;リボルバー
ラピッドドッグトラップ(攻撃),         リボルバー;リボルバー;リボルバー;リボルバー
ラピッドドッグトラップ(命中),         銃弾;銃弾;銃弾;銃弾
"チーグル"アームパーツ,               打突 黒;打突 黒
シュラムRvGNDランチャー,              グレネードランチャー
デモニッシュクロー(準備),             オーラ上昇 黒
デモニッシュクロー(攻撃),             打突 黒;打突 黒
デモニッシュクロー(命中),             超打;超打
GA4アーム,                            打突 黒;打突 黒
"ジレーザ"Ｒハンマー,                 ハンマー
Ａ・エグゼキューション(準備),         ハンマー
Ａ・エグゼキューション(攻撃),         振り上げ;ジャンプ;振り上げ
Ａ・エグゼキューション(命中),         超アッパー;5;超アッパー;魔法陣 赤 背面;爆撃;地面衝撃;光大噴出 赤
#
## フブキ
#
飛苦無"蓮華草",                       クナイ
忍者刀"風花",                         日本刀
忍者鎌"散梅",                         鎌
大手裏剣"白詰草",                     手裏剣
蕾散らし,                             鎌投擲
秘剣・白拍子(準備),                   日本刀
秘剣・白拍子(攻撃),                   バラ吹雪 白 wind.wav;日本刀突撃
秘剣・白拍子(命中),                   日本刀突撃
ダークスラッシャー(準備),             翼 黒 二刀流
ダークスラッシャー(攻撃),             火炎放射 黒 Wind.wav
ダークスラッシャー(命中),             煙 黒 Wind.wav;乱突
飯綱落とし(準備),                     巻物
飯綱落とし(攻撃),                     透明化;煙
飯綱落とし(命中),                     スクリュードライバー
#
## ハウリン
#
攻撃無効化(忠実なる守り手),           バリア BeamCoat.wav 忠実なる守り手
十手(準備),                           十手
十手(攻撃),                           連続なぎ払い
十手(命中),                           ダメージ
棘輪「きょくりん」,                   チャクラム
腕甲・万武,                           打突
吠莱壱式,                             バズーカ
ドッグファイトアサルト(攻撃),         -
ドッグファイトアサルト(命中),         バルカン;バルカン
封輪渦斬(準備),                       光噴出;チャクラム
封輪渦斬(攻撃),                       チャクラム
封輪渦斬(命中),                       チャクラム
ハウリングサンダー,                   ビームランチャー 黄
獣牙爆熱拳(準備),                     粒子集中 赤
獣牙爆熱拳(攻撃),                     スーパータックル 赤
獣牙爆熱拳(命中),                     スーパータックル 赤;大爆発
狼牙掌(準備),                         粒子集中 赤
狗狼「クーロウ」Type1,                打突;
狼牙掌(攻撃),                         気弾 赤;気弾 赤;気弾 赤
狼牙掌(命中),                         気弾 赤;気弾 赤;気弾 赤
#
## マオチャオ
#
攻撃無効化(最強シールド),             光バリア BeamCoat.wav 最強シールド
裂拳甲「リークアンジア」,             打突
防壁「ファンビー」,                   打突;打突
研爪「ヤンチャオ」,                   爪撃 二刀流
サンドＳフィーバー(攻撃),             -
サンドＳフィーバー(命中),             バルカン;バルカン
旋牙「シャンヤ」,                     ドリル
