


ASELIA
ヘビーアタック, Saber.wav
ヘビーアタック(命中), Slash(3).wav
フレンジー, Saber.wav
フレンジー(命中), Slash(3).wav
エクスプロード, Saber.wav
エクスプロード(命中), Slash(3).wav
オーラフォトンビーム, Beam.wav
オーラフォトンビーム(命中), 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;Explode(Nuclear).wav
オーラフォトンノヴァ, Beam.wav
オーラフォトンノヴァ(命中), 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;Explode(Nuclear).wav
オーラフォトンブレード, Saber.wav
オーラフォトンブレード(命中), 3;Slash(3).wav;8;Slash(3).wav;3;Slash(3).wav;Slash(3).wav
コネクティドウィル, Saber.wav
コネクティドウィル(命中), 3;Slash(3).wav;3;Slash(3).wav;Slash(3).wav
阻止(アイスバニッシャー), BeamCoat.wav
阻止(サイレントフィールドⅡ), BeamCoat.wav
エーテルシンク, Charge.wav
エーテルシンク(命中), BeamCoat.wav
サイレントフィールド, Charge.wav
サイレントフィールド(命中), BeamCoat.wav
リープアタック, Saber.wav
リープアタック(命中), Slash(3).wav
インパルスブロウ, Saber.wav
インパルスブロウ(命中), Slash(3).wav
フューリー, Saber.wav
フューリー(命中), Slash(3).wav
ヘヴンズスウォード, Saber.wav
ヘヴンズスウォード(命中), 3;FightHit(4).wav;Slash(3).wav
エタニティーリムーバー, Saber.wav
エタニティーリムーバー(命中), 3;Slash(3).wav;3;Slash(3).wav;Slash(3).wav
ストライク, Saber.wav
ストライク(命中), Slash(2).wav
パワーストライク, Saber.wav
パワーストライク(命中), Slash(2).wav
ライトニングストライク, Saber.wav
ライトニングストライク(命中), Slash(2).wav
ソニックストライク, Saber.wav
ソニックストライク(命中), Slash(2).wav
エレメンタルブラスト, Sharara.wav
エレメンタルブラスト(命中), Explode(Far).wav
アースプライヤー, Sharara.wav
ハーベスト, Sharara.wav
キュアー, Sharara.wav
エンジェルプライヤー, 5:Charge(long).wav;Sharara.wav
ウィンドウィスパー, Sharara.wav
ふぁいあぼると(準備), Charge.wav
ふぁいあぼると, Beam.wav
ふぁいあぼると(命中), Explode.wav
ふぁいあぼ～る(準備), Charge.wav
ふぁいあぼ～る, Beam.wav
ふぁいあぼ～る(命中), Explode.wav
ふれいむれ～ざ～(準備), Charge.wav
ふれいむれ～ざ～, Beam.wav
ふれいむれ～ざ～(命中), Explode.wav
いんふぇるの(準備), Charge.wav
いんふぇるの, Beam.wav
いんふぇるの(命中), 3;Fire.wav;Fire.wav
あ～くふれあ(準備), Charge.wav
あ～くふれあ, Beam.wav
あ～くふれあ(命中), Explode.wav
いんしねれ～と(準備), Charge.wav
いんしねれ～と, Beam.wav
いんしねれ～と(命中), Fire.wav
らいとにんぐふぁいあ(準備), Charge.wav
らいとにんぐふぁいあ, Beam.wav
らいとにんぐふぁいあ(命中), Explode.wav
いぐにっしょん(準備), Charge.wav
いぐにっしょん, Beam.wav
いぐにっしょん(命中), Explode(Far).wav
あぽかりぷす(準備), Charge.wav
あぽかりぷす, Beam.wav
あぽかりぷす(命中), Explode(Long).wav
すた～だすと(準備), Charge.wav
すた～だすと, Beam.wav
すた～だすと(命中), Explode(Nuclear).wav
はいぺりおんすたーず(準備), Charge.wav
はいぺりおんすたーず, Beam.wav
はいぺりおんすたーず(命中), Explode(Nuclear).wav
ファイアボルト(準備), Charge.wav
ファイアボルト, Beam.wav
ファイアボルト(命中), Explode.wav
ファイアボール(準備), Charge.wav
ファイアボール, Beam.wav
ファイアボール(命中), Explode.wav
フレイムレーザー(準備), Charge.wav
フレイムレーザー, Beam.wav
フレイムレーザー(命中), Explode.wav
インフェルノ(準備), Charge.wav
インフェルノ, Beam.wav
インフェルノ(命中), 3;Fire.wav;Fire.wav
アークフレア(準備), Charge.wav
アークフレア, Beam.wav
アークフレア(命中), Explode.wav
インシネレート(準備), Charge.wav
インシネレート, Beam.wav
インシネレート(命中), Fire.wav
ライトニングファイア(準備), Charge.wav
ライトニングファイア, Beam.wav
ライトニングファイア(命中), Explode.wav
イグニッション(準備), Charge.wav
イグニッション, Beam.wav
