
汎用
予備弾薬, 音再生 Reload.wav
万能薬, 回復魔法泡
ＳＰドリンク, 回復魔法泡 Charge.wav
スーパーＳＰドリンク, 回復魔法泡 Charge.wav
無針アンプル剤, 回復魔法泡 Charge.wav;気力ＤＯＷＮ
カツ丼, 気力ＵＰ
ニューナンブM60(汎用), ニューナンブ
Ｓ＆Ｗ(汎用), リボルバー EFFECT_RWG_S&W_M29.bmp
トカレフ(汎用), ピストル
グロック17(汎用), ピストル EFFECT_RWG_Glock17.bmp
デザートイーグル(汎用), ピストル EFFECT_RWG_DesartEagle50AE.bmp
ウージー(汎用), サブマシンガン
イングラム(汎用), サブマシンガン
ショットガン(汎用), ショットガン
グレネードランチャー(汎用), グレネードランチャー EFFECT_RWG_M79GrenadeLauncher.bmp 48
コンバットナイフ(汎用), ナイフ
M16-A2(汎用), ライフル
狙撃ライフル(汎用), ライフル _GetWPBN(対物ライフル) 64
火炎放射器(汎用)(準備), 火炎放射器
火炎放射器(汎用)(攻撃), ＭＡＰ炎
火炎放射器(汎用)(命中), 炎
対戦車ライフル(汎用), 対戦車ライフル
重機関銃(汎用), ガトリング
対戦車ロケット砲(汎用)(準備), 射撃武器 EFFECT_RWG_RPG7.bmp 48
対戦車ロケット砲(汎用)(攻撃), バズーカ EFFECT_RWG_RPG7(N).bmp 48
対戦車ロケット砲(汎用)(命中), 大爆発
閃光弾(汎用)(準備), 閃光手榴弾
閃光弾(汎用)(攻撃), 白兵武器;実弾発射 _GetWPBN(閃光手榴弾) 32 Swing.wav;ＭＡＰフラッシュ
閃光弾(汎用)(命中), -
手榴弾(汎用)(準備), 手榴弾
手榴弾(汎用)(攻撃), 白兵武器;実弾発射 _GetWPBN(手榴弾) 32 Swing.wav;ＭＡＰ大爆発
手榴弾(汎用)(命中), -

人間
###一般###
杖, 杖
つるはし, ピック
応急手当(使用), ディレイ 5 Sharara.wav
万能薬(使用), ディレイ 5 Sharara.wav
箒(準備), 振る武器 _GetWPBN(ほうき) 32
箒(攻撃), 斬撃
箒(命中), ダメージ
###過激###
焼き入れ(攻撃), スーパーパンチ 赤 Fire.wav
焼き入れ(命中), 炎
ナイフ, ナイフ
鉄パイプ, 鉄パイプ
バタフライナイフ, ナイフ
チェーン, チェーン
チェーン(命中), 打撃
轢き逃げ(攻撃), スーパータックル 黒 Bike.wav
轢き逃げ(命中), スーパータックル 黒 Crash.wav
剣, 剣
拳銃, ピストル
頭突き, ヘッドバット
木刀, 殴打武器 _GetWPBN(木刀) 32
チャカ, ピストル
ドス, ドス
鉄砲玉(攻撃), スーパータックル 黒
鉄砲玉(命中), スーパータックル 黒;@戦闘アニメ_乱打攻撃;乱打
生卵(準備), 投擲武器 Bullet\EFFECT_Bearing01.bmp
生卵(攻撃), 投擲武器 Bullet\EFFECT_Bearing01.bmp
生卵(命中), 飛沫 黄 Splash.wav
抗議行動, 格闘
投石, 石
火炎瓶(準備), 火炎瓶
火炎瓶(攻撃), 白兵武器;実弾発射 _GetWPBN(火炎瓶) 32 Swing.wav;ＭＡＰ炎
火炎瓶(命中), ダメージ 赤
###職業###
警棒, 警棒
ニューナンブM60, ニューナンブ
催涙弾(準備), 閃光手榴弾
催涙弾(攻撃), 白兵武器;実弾発射 _GetWPBN(閃光手榴弾) 32 Swing.wav;ＭＡＰ煙 白
催涙弾(命中), 煙 白
警杖, 折り畳み警棒
スタンガン(攻撃), 格闘
スタンガン(命中), 打撃;放電
拳銃, ピストル
サブマシンガン, サブマシンガン
###格闘家###
体術(攻撃), 格闘
体術(攻撃), 打突
体術(攻撃), キック
体術(命中), 打撃
技(攻撃), 格闘
技(命中), 強打
技(命中), スーパーパンチ 白
技(命中), @戦闘アニメ_打突攻撃;打撃
技(命中), @戦闘アニメ_連打攻撃;連打
技(命中), @戦闘アニメ_キック攻撃;強打
正拳突き, 打突
回し蹴り(攻撃), 格闘;なぎ払い
回し蹴り(命中), 打撃
関節技(攻撃), 格闘
関節技(命中), 立ち固め
関節技(命中), 足固め
関節技(命中), 背負い固め
関節技(命中), 立ち足固め
一本背負い(攻撃), 格闘
一本背負い(命中), 投げ飛ばし
張り手(攻撃), 格闘
張り手(命中), @戦闘アニメ_打突攻撃;打撃
ぶちかまし(攻撃), 格闘
ぶちかまし(命中), @戦闘アニメ_連打攻撃;強打
ジャブ, 連打
カウンター(準備), 発光 白
カウンター(攻撃), 格闘
カウンター(命中), @戦闘アニメ_打突攻撃;打撃
ストレート(攻撃), スーパーパンチ 白
ストレート(命中), 強打
