
汎用
妖精の守り袋, 音再生 Reload(3).wav
万能薬, 回復魔法泡
ＳＰドリンク, 回復魔法泡 Charge.wav
スーパーＳＰドリンク, 回復魔法泡 Charge.wav
呪い(汎用)(攻撃), -
呪い(汎用)(命中), ダメージ 黒 Inori.wav
魔法の剣(汎用)(準備), 剣 Charge.wav
魔法の剣(汎用)(攻撃), 斬撃
魔法の剣(汎用)(命中), 大斬撃
魔法の槍(汎用)(準備), パイク Charge.wav
魔法の槍(汎用)(攻撃), 刺突
魔法の槍(汎用)(命中), 大刺突
魔法の斧(汎用)(準備), 銀の斧 Charge.wav
魔法の斧(汎用)(攻撃), 振り下ろし
魔法の斧(汎用)(命中), 唐竹割り
魔法の弓(汎用)(準備), 弓矢 Charge.wav
魔法の弓(汎用)(攻撃), 弓矢 Beam.wav
魔法の弓(汎用)(命中), 大刺突
伝説の剣(汎用)(準備), 神剣
伝説の剣(汎用)(攻撃), 斬撃
伝説の剣(汎用)(命中), 大斬撃
伝説の槍(汎用)(準備), パイク
伝説の槍(汎用)(攻撃), 刺突
伝説の槍(汎用)(命中), 大刺突
伝説の斧(汎用)(準備), 巨大斧
伝説の斧(汎用)(攻撃), 振り下ろし
伝説の斧(汎用)(命中), 唐竹割り
伝説の弓(汎用)(準備), 弓矢
伝説の弓(汎用)(攻撃), 弓矢
伝説の弓(汎用)(命中), 大刺突
スタッフ(汎用), 杖
魔力弾(汎用)(準備), スクロール
魔力弾(汎用), 気弾

海賊(ダガー)(汎用)
ダガー, 投げナイフ

山賊(ダガー)(汎用)
ダガー, 投げナイフ

暗殺者(汎用)
ダガー, 投げナイフ

上級暗殺者(汎用)
ダガー, 投げナイフ

汎用ファンタジー
###通常###
カトラス, カトラス
ショートソード, ショートソード
ロングソード, ソード
ボウガン, クロスボウ
ランスチャージ, ランス突撃
スピア, スピア
ジャベリン, 投げ槍
グレートアックス, 鉄の斧
トマホーク, トマホーク投擲
グレートソード, 大剣
ショートボウ, 弓矢
ロングボウ, 弓矢
大砲, 大砲
スリング, スリングショット
メイス, メイス
ダガー, ナイフ
マジックインパクト(準備), 粒子集中 桃
マジックインパクト(攻撃), 斬撃 Whiz.wav
マジックインパクト(命中), 超斬撃 Explode.wav
暗殺術(攻撃), 格闘
暗殺術(命中), 打撃
暗殺術(命中), ダメージ Stab.wav
暗殺術(命中), 立ち固め
暗殺術(命中), 刺突 //刺突は手刀のイメージ
必殺の一撃(攻撃), 振る武器突撃 -.bmp
必殺の一撃(命中), 刺突突撃
レイピア, レイピア
エルヴンボウ, 弓矢
ウィップ, 鞭
ハンドアックス, 片刃斧投擲
バトルアックス, 両刃斧
ミスリルアックス, 銀の斧
応急手当, ディレイ 5 Sharara.wav
早撃ち(準備), -
早撃ち(攻撃), ピストル
早撃ち(命中), 銃弾
ピストル, ピストル
長銃, ライフル _GetWPBN(ライフル３) 40
ダミー(身代わりの術), ダミー 身代わりの術
弓, 和弓
刀, 日本刀
長槍, 和槍
火縄銃, 火縄銃
石火矢, クロスボウ
手裏剣, 手裏剣
忍者刀, 脇差
火遁の術, 火炎放射
雷神の術, 大電撃
小刀, 脇差
札(準備), お札
札(攻撃), お札 Whiz.wav
札(命中), 飛沫 白
式神(準備), お札 Page.wav;狼召喚 Whiz.wav
式神(攻撃), 狼
式神(命中), 噛み付き
招雷, 落雷
奇門遁行, 五芒星 黒
魔力弾, 気弾
妖刀, 妖刀
###魔法###
ターンアンデット(攻撃), 羽
ターンアンデット(命中), 光柱
ホーリーライト, ＭＡＰフラッシュ
キュアーウーンズ, 回復魔法
ヒール, 回復魔法
ダークネス(攻撃), 魔法放射 黒
ダークネス(命中), 煙 黒
ポイズン(攻撃), 逆五芒星 黒
ポイズン(命中), 粒子集中 黒
カース(攻撃), 六芒星 黒
カース(命中), ダメージ 黒 Ghost.wav
ファイア, 炎投射
ライトニング, 落雷
ブリザード, 吹雪
エクスプロージョン(攻撃), 粒子集中 赤
エクスプロージョン(命中), 大爆発
スリープ(攻撃), 魔法放射 桃
スリープ(命中), 煙 桃
ストーンブラスト, 岩弾
イリュージョンフォレスト(準備), 風 Wind.wav
イリュージョンフォレスト(攻撃), ＭＡＰ発光 緑 Charge(2).wav
イリュージョンフォレスト(命中), -
ダークフォース, 中ビーム 黒

