
汎用
###汎用アイテム###
攻撃無効化(重力障壁), バリア 重力障壁 BeamCoat.wav
攻撃無効化(電磁障壁), バリア 電磁障壁 BeamSaber.wav
攻撃無効化(精神障壁), BeamCoat.wav
予備弾薬, 音再生 Reload.wav
リフレッシュタブ, 回復魔法泡
アイスマインドドリンク, 回復魔法泡 Charge.wav
イリュージョンドリンク, 回復魔法泡 Charge.wav;気力ＤＯＷＮ
ハイテンションパウダー, 気力ＵＰ
興奮剤, ユニット変色 赤 Charge.wav
神経加速剤, オーラ上昇 緑 Charge.wav
ビームサーベル(汎用), ビームサーベル 桃
ビームライフル(汎用), ビームライフル 桃
プラズマランチャー(汎用), 球電 Charge(High).wav
プラズマランチャー(汎用)(命中), 放電 BeamSaber.wav
ガンマレイ(汎用), 小ビーム 緑 Beam.wav
ガンマレイ(汎用)(命中), 小ビーム 緑 Beam.wav
ミサイルランチャー(汎用), ミサイルランチャー
徹甲弾(汎用)(準備), ピストル
徹甲弾(汎用)(攻撃), ピストル Gun.wav
徹甲弾(汎用)(命中), 刺突 Stab.wav
炸裂弾(汎用)(準備), ピストル
炸裂弾(汎用)(攻撃), ピストル Gun.wav
炸裂弾(汎用)(命中), 小爆発 Explode(Small).wav
ショック弾(汎用)(準備), ピストル
ショック弾(汎用)(攻撃), ピストル Gun.wav
ショック弾(汎用)(命中), ダメージ 黄 BeamSaber.wav
###自動兵器###
バルカン砲(自動兵器), バルカン
レーザー砲(自動兵器), 小ビーム
ロケット弾(自動兵器), ミサイル
６連ミサイル(自動兵器), 小型ミサイル 6
狙撃ライフル(自動兵器), 対物ライフル _GetWPBN(スナイパーライフル１) 48
レールガン(自動兵器), レールガン
広域火炎放射(自動兵器), ＭＡＰ火炎弾
火炎放射(自動兵器), 炎投射
広域ＥＳＰジャマー, ＭＡＰダークネス
指向性ＥＳＰジャマー, 中ビーム 黒
睡眠ガス(自動兵器)(攻撃), ＭＡＰ煙
睡眠ガス(自動兵器)(命中), 煙

人間(ＳＦ)
###警官###
スタンロッド(準備), スタンロッド
スタンロッド(攻撃), 斬撃
スタンロッド(命中), 打撃 -.wav;放電
ソニックピストル(準備), ピストル
ソニックピストル(攻撃), 音波
ソニックピストル(命中), 音波
催涙弾(準備), 閃光手榴弾
催涙弾(攻撃), 白兵武器;実弾発射 _GetWPBN(閃光手榴弾) 32 Swing.wav;ＭＡＰ煙 白
催涙弾(命中), 煙 白
スタンサーベル(準備), スタンロッド
スタンサーベル(攻撃), 斬撃
スタンサーベル(命中), 斬撃 -.wav;放電
スタンショットガン(準備), ビームショットガン
スタンショットガン(攻撃), ビームショットガン 黄
スタンショットガン(命中), ビームショットガン 黄;放電
###軍隊###
単分子ナイフ(準備), 振る武器 _GetWPBN(ビームナイフ(黄)) 32 BeamSaber.wav
単分子ナイフ(攻撃), 斬撃
単分子ナイフ(命中), 光斬撃 黄 小
レーザーピストル, レーザーガン(２) 青
レーザーライフル, ビームライフル 青
スナイパーライフル, ビームライフル _GetWPBN(スナイパーライフル１) 48 桃
スナイピング(準備), 射撃武器 _GetWPBN(スナイパーライフル１) 48
スナイピング(攻撃), ロックオン;ビームライフル _GetWPBN(スナイパーライフル１) 48 桃
スナイピング(命中), 小ビーム 桃
高周波ナイフ(準備), 振る武器 _GetWPBN(ビームナイフ(青)) 32 BeamSaber.wav
高周波ナイフ(攻撃), 斬撃
高周波ナイフ(命中), クリティカル斬撃
サブマシンガン, サブマシンガン _GetWPBN(新型サブマシンガン) 40
ソリッドシューター, グレネード
単分子ワイヤー(攻撃), １ＷＡＹ射出
単分子ワイヤー(命中), ダメージ
フレシェットガン(準備), レーザーガン(２)
フレシェットガン(攻撃), 手持ち発射 _GetWPBN(レーザーガン) 32 対象ユニットＩＤ _GetWPBN(ニードル連射) 32
フレシェットガン(命中), ニードル連射
毒ガス(攻撃), 煙 緑
毒ガス(命中), 煙 緑
殺人ガス(攻撃), ＭＡＰ煙 緑
殺人ガス(命中), 煙 緑
レーザーブレード, ライトセイバー 青
パイルバンカー(準備), ドリルスピア
パイルバンカー(攻撃), ドリルスピア突撃
パイルバンカー(命中), 打撃;強打 Crash.wav
ミサイルポッド, 小型ミサイル 4
広域ＥＳＰジャマー(攻撃), ＭＡＰダークネス 黒 Noise.wav
広域ＥＳＰジャマー(命中), ダメージ 黒
