
沙耶の唄
肉切り包丁,                出刃包丁
斧,                        片刃斧
いじる(攻撃),              触手乱舞 桃
いじる(命中),              重力圧縮 桃 Bubble.wav
狩り(攻撃),                飛びかかり
狩り(命中),                大刺突 桃
捕食,                      触手乱舞 桃
鉄パイプ,                  鉄パイプ
拳銃,                      ニューナンブ
滅多打ち(準備),            鉄パイプ
滅多打ち(攻撃),            白兵回転
滅多打ち(命中),            連打
スプレー缶(攻撃),          火炎放射 Chaff.wav
スプレー缶(命中),          液体噴射 -.wav
スピリタスウォッカ(攻撃),  光弾 白 Bow.wav
スピリタスウォッカ(命中),  炎
魔法瓶入り液体窒素(準備),  閃光手榴弾
魔法瓶入り液体窒素(攻撃),  閃光手榴弾
魔法瓶入り液体窒素(命中),  凍結
改造猟銃,                  ショットガン
