
無限の住人
双月(準備), 突く武器 EFFECT_MUG_Sougetsu.bmp
双月(攻撃), 突く武器突撃 EFFECT_MUG_Sougetsu.bmp
双月(命中), 刺突
小天狗(準備), 振る武器 EFFECT_MUG_Kotengu.bmp
小天狗(攻撃), なぎ払い
小天狗(命中), 刺突
阿修羅(準備), 左右別武器  EFFECT_MUG_Mumei.bmp - - Weapon\EFFECT_Chain01.bmp -
阿修羅(攻撃), なぎ払い
阿修羅(命中), 斬撃
夜叉(準備), ヌンチャク
夜叉(攻撃), 斬撃
夜叉(命中), 斬撃
女蠡(準備), 突く武器 EFFECT_MUG_Merabi.bmp
女蠡(攻撃), 刺突
女蠡(命中), 刺突
男転(準備), 振る武器 EFFECT_MUG_Okorobi.bmp
男転(攻撃), 斬撃
男転(命中), 斬撃
妹守辰政(準備), 脇差 二刀流;振る武器 EFFECT_MUG_ImonokamiTatsumasa.bmp
妹守辰政(攻撃), 連斬撃
妹守辰政(命中), 連斬撃
無銘(準備), 左右別武器 EFFECT_MUG_Mumei.bmp - - Weapon\EFFECT_Chain01.bmp -
無銘(攻撃), 振り回し EFFECT_MUG_Mumei.bmp
無銘(命中), 斬撃
阿吽(準備), 振る武器 EFFECT_MUG_Aun.bmp
阿吽(攻撃), 振り上げ;振り下ろし
阿吽(命中), 振り上げ;振り下ろし
四道(準備), 振る武器 EFFECT_MUG_Shido.bmp 二刀流
四道(攻撃), なぎ払い;斬撃
四道(命中), なぎ払い;斬撃
滅多斬り(準備), ヌンチャク;突く武器 EFFECT_MUG_Merabi.bmp;振る武器 EFFECT_MUG_Shido.bmp;左右別武器 EFFECT_MUG_Mumei.bmp - - Weapon\EFFECT_Chain01.bmp -;突く武器 EFFECT_MUG_Sougetsu.bmp;振る武器 EFFECT_MUG_Aun.bmp;振る武器 EFFECT_MUG_ImonokamiTatsumasa.bmp
滅多斬り(攻撃), 斬撃;刺突;振り下ろし;連斬撃;乱突;振り上げ;刺突;斬撃乱舞
滅多斬り(命中), 斬撃;刺突;なぎ払い;連斬撃;乱突;振り上げ;刺突;斬撃乱舞
滅多斬り(とどめ), 決め文字 卍 赤 Bazooka.wav
阻止(烏), 中心回転武器防御 烏 EFFECT_MUG_Karasu(R).bmp Slash(4).wav
阻止(烏), 中心回転武器防御 烏 EFFECT_MUG_Karasu(L).bmp Slash(4).wav
懐剣, 忍者刀
クトネシリカ, ドス
殺陣・黄金蟲(準備), 小柄
殺陣・黄金蟲(攻撃), ニードル連射;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
殺陣・黄金蟲(命中), 乱突
日本刀, 脇差
烏(準備), 中心回転武器 EFFECT_MUG_Karasu(R).bmp
烏(準備), 中心回転武器 EFFECT_MUG_Karasu(L).bmp
烏(攻撃), -;Whiz.wav
烏(命中), 斬撃
烏・二連(準備), 左右別武器 EFFECT_MUG_Karasu(R).bmp - - EFFECT_MUG_Karasu(L).bmp -
烏・二連(攻撃), 中心回転武器 EFFECT_MUG_Karasu(R).bmp -.wav;中心回転武器 EFFECT_MUG_Karasu(L).bmp Whiz.wav
烏・二連(命中), 回転斬撃
足狙い(準備), 仕込み刃
足狙い(攻撃), 斬撃
足狙い(命中), 刺突
グラントルコ, 仕込み刃
仕込み刀, 突剣
匕首(閑馬)(準備), ナイフ
匕首(閑馬)(攻撃), 黒斬撃
匕首(閑馬)(命中), 黒斬撃
井上真改蟲殺, 妖刀
春翁(準備), 三節棍
春翁(攻撃), なぎ払い;斬撃
春翁(命中), 斬撃
匕首, ナイフ
