
宇宙警察
ＳＰシューター(準備), 射撃武器 EFFECT_SEN28_SPShooter.bmp
ＳＰシューター(攻撃), 光弾 白
ＳＰシューター(命中), 光弾 白
ディーナックル(準備), 突く武器 EFFECT_SEN28_D-Knuckle.bmp
ディーナックル(攻撃), 打突
ディーナックル(命中), 強打 bazooka.wav
ディーロッド(攻撃), 斬撃
ディーロッド(攻撃), 刺突
ディーロッド(命中), 強打 Crash.wav
ディースティック(攻撃), 刺突
ディースティック(攻撃), 振り上げ
ディースティック(命中), 強打 Whip.wav
マイクロエネルギーボム(攻撃), 斬撃
マイクロエネルギーボム(命中), ＭＡＰ爆発
ディーバズーカ(準備), 射撃武器 EFFECT_SEN28_D-Bazooka.bmp 64
ディーバズーカ(攻撃), 大キャノン砲 2
ディーバズーカ(命中), 超爆発
ディーリボルバー(準備), 射撃武器 EFFECT_SEN28_D-Revolver.bmp
ディーリボルバー(攻撃), 内蔵ガトリング
ディーリボルバー(命中), 内蔵ガトリング;連続爆発
ＤＲマックスパワー(S)(準備), EFFECT_SEN28_D-Revolver.bmp
ＤＲマックスパワー(S)(攻撃), 火炎弾
ＤＲマックスパワー(S)(命中), 大爆発
ＤＲマックスパワー(準備), 射撃武器 EFFECT_SEN28_D-Revolver.bmp UnitID(デカレッド・ＳＷＡＴモード);射撃武器 EFFECT_SEN28_D-Revolver.bmp UnitID(デカブルー・ＳＷＡＴモード);射撃武器 EFFECT_SEN28_D-Revolver.bmp UnitID(デカグリーン・ＳＷＡＴモード);射撃武器 EFFECT_SEN28_D-Revolver.bmp UnitID(デカイエロー・ＳＷＡＴモード);射撃武器 EFFECT_SEN28_D-Revolver.bmp UnitID(デカピンク・ＳＷＡＴモード)
ＤＲマックスパワー(攻撃), 実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav UnitID(デカレッド・ＳＷＡＴモード);実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav UnitID(デカブルー・ＳＷＡＴモード);実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav UnitID(デカグリーン・ＳＷＡＴモード);実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav UnitID(デカイエロー・ＳＷＡＴモード);実弾発射 Fire\EFFECT_FlameThrowerHit(Red)07.bmp Bazooka.wav UnitID(デカピンク・ＳＷＡＴモード)
ＤＲマックスパワー(命中), 超爆発
フォーメーション(攻撃), 同時斬撃
フォーメーション(命中), 大爆発
ＳＰフォーメーション(攻撃), 同時斬撃
ＳＰフォーメーション(命中), 大爆発


デカレッド
ディーマグナム(準備), 射撃武器 EFFECT_SEN28_D-Magnum01.bmp
ディーマグナム(準備), 射撃武器 EFFECT_SEN28_D-Magnum02.bmp
ディーマグナム(攻撃), 光弾 赤
ディーマグナム(命中), 光弾 赤
ジュウクンドー(準備), 射撃武器 EFFECT_SEN28_D-Magnum01.bmp
ジュウクンドー(準備), 射撃武器 EFFECT_SEN28_D-Magnum02.bmp
ジュウクンドー(攻撃), 格闘;光弾 赤
ジュウクンドー(命中), 強打;爆発 赤
ダブルショット(準備), 左右別武器 EFFECT_SEN28_D-Magnum01.bmp - - EFFECT_SEN28_D-Magnum02.bmp - -
ダブルショット(攻撃), ２連光弾 赤 速;２連光弾 赤 速;２連光弾 赤 速
ダブルショット(命中), ２連光弾 赤 速;２連光弾 赤 速;２連光弾 赤 速
ハイブリッドマグナム(準備), 射撃武器 EFFECT_SEN28_HybridMagnum.bmp
ハイブリッドマグナム(攻撃), 粒子集中 赤 対象ユニットＩＤ;大キャノン砲 Bazooka.wav
ハイブリッドマグナム(命中), 大爆発 赤


デカレッド・ＳＷＡＴモード
ジュウクンドー(SWAT)(攻撃), 格闘;内蔵ガトリング
ジュウクンドー(SWAT)(命中), 強打;連続爆発


デカレッド・バトライザー
エナジーブレード, エナジーブレード 赤
バトライザーショット, 中ビーム 赤
ファイヤードライブ(攻撃), 粒子集中 赤 対象ユニットＩＤ;大キャノン砲 Bazooka.wav
ファイヤードライブ(命中), 大爆発 赤


デカレッド・ブラストモード
ＨＢマグナムカスタム(準備), -
ＨＢマグナムカスタム(攻撃), 光弾 赤
ＨＢマグナムカスタム(命中), 光弾 赤
ジュウクンドー(準備), -
ジュウクンドー(攻撃), 格闘;光弾 赤
ジュウクンドー(命中), 強打;爆発 赤
ダブルＨＢショット(準備), -
ダブルＨＢショット(攻撃), ２連光弾 赤 速;２連光弾 赤 速;２連光弾 赤 速
ダブルＨＢショット(命中), ２連光弾 赤 速;２連光弾 赤 速;２連光弾 赤 速
ハイブラストマグナム(準備), -
ハイブラストマグナム(攻撃), 粒子集中 赤 対象ユニットＩＤ;大キャノン砲 Bazooka.wav
ハイブラストマグナム(命中), 大爆発 赤


デカレッド・ディーソードベガ
ディーソードベガ(準備), 振る武器 EFFECT_SEN28_D-SwordVega.bmp
ディーソードベガ(攻撃), 斬撃
ディーソードベガ(命中), 斬撃
赤座剣法・雷神剣(準備), 振る武器 EFFECT_SEN28_D-SwordVega.bmp
赤座剣法・雷神剣(攻撃), 振り下ろし
赤座剣法・雷神剣(命中), 唐竹割り


赤座伴番
ジュウクンドー(攻撃), 格闘;光弾 白
ジュウクンドー(命中), 強打;爆発


デカブルー
ディーロッド(準備), 振る武器 EFFECT_SEN28_D-Rod(Blue).bmp
ディースナイパー(準備), 射撃武器 EFFECT_SEN28_D-Sniper.bmp
ディースナイパー(攻撃), 中ビーム 青
ディースナイパー(命中), 中ビーム 青
ブルーフィニッシュ(斬)(準備), 振る武器 EFFECT_SEN28_D-Rod(Blue).bmp
ブルーフィニッシュ(斬)(攻撃), 粒子集中 青 対象ユニットＩＤ;スーパータックル 青
ブルーフィニッシュ(斬)(命中), 光斬撃 青 Crash.wav;大爆発 青
ブルーフィニッシュ(準備), 射撃武器 EFFECT_SEN28_D-Sniper.bmp
ブルーフィニッシュ(攻撃), 粒子集中 青 対象ユニットＩＤ;中ビーム 青
ブルーフィニッシュ(命中), 中ビーム 青;大爆発 青
ブルーＦ＆グリーンＣ(準備), 同時振る武器 画像ファイル=EFFECT_SEN28_D-Rod(Blue).bmp=EFFECT_SEN28_D-Rod(Green).bmp
ブルーＦ＆グリーンＣ(攻撃), 同時粒子集中 色=青=緑;同時スーパータックル 色=青=緑
ブルーＦ＆グリーンＣ(命中), 光なぎ払い 青 Slash.wav;光なぎ払い 緑 Slash.wav;光斬撃 青 Crash.wav;光斬撃 緑 Crash.wav;大爆発 青;大爆発 緑;超爆発
#フォーメーションＦ１


デカブルー・ＳＷＡＴモード
ダブルディーリボルバー(準備), 左右別武器 EFFECT_SEN28_D-Revolver.bmp - - EFFECT_SEN28_D-Revolver.bmp - -
ダブルディーリボルバー(攻撃), 内蔵ガトリング;内蔵ガトリング
ダブルディーリボルバー(命中), 内蔵ガトリング;内蔵ガトリング;連続爆発;連続爆発


デカブルー(マシンハスキー)
ディースナイパー(準備), 射撃武器 EFFECT_SEN28_D-Sniper.bmp
ディースナイパー(攻撃), 中ビーム 青
ディースナイパー(命中), 中ビーム 青
ジャンプショット(準備), 射撃武器 EFFECT_SEN28_D-Sniper.bmp
ジャンプショット(攻撃), 中ビーム 青;中ビーム 青;中ビーム 青
ジャンプショット(命中), 中ビーム 青;中ビーム 青;中ビーム 青


戸増宝児
左アッパー, アッパー


デカグリーン
ディーロッド(準備), 振る武器 EFFECT_SEN28_D-Rod(Green).bmp
ディーブラスター(準備), 射撃武器 EFFECT_SEN28_D-Blaster.bmp
ディーブラスター(攻撃), 中ビーム 緑
ディーブラスター(命中), 中ビーム 緑
ジャンプキック, スーパーキック 緑
グリーンクラッシュ(準備), 振る武器 EFFECT_SEN28_D-Rod(Green).bmp
