#狂科学ハンターＲＥＩ・ｆｏｒ・ＳＲＣデータ
#エフェクトデータ
#----------------------------------------------------------------------------

汎用
ナイフ, Swing.wav
ナイフ(命中), Slash.wav
拳銃, Gun.wav
マシンガン, MachineGun.wav
格闘, Punch.wav
格闘(命中), FightHit(1).wav
生体衝撃波, GunPod.wav
生体衝撃波(命中), Crash.wav
生体電撃, Thunderbolt.wav
八十九式小銃, MachineCannon.wav
単分子ワイヤー, Swing.wav
単分子ワイヤー(命中), Slash(3).wav
爪, Swing.wav
爪(命中), Slash.wav
噛みつき, Swing.wav
噛みつき(命中), Stab.wav
地上掃射, MachineCannon.wav
30mmバルカン砲, MachineCannon.wav
野獣の群れ, GunPod.wav
野獣の群れ, 2;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav
贖罪の球, LaserGun.wav
贖罪の球(命中), Explode(Far).wav
ライヒ・ガン, Beam.wav
ライヒ・ガン, Explode.wav
ＰＳジャマー, Hide.wav
ＰＳジャマー(命中), -
ＰＳジャマー(クリティカル), Computer.wav


狂科学ハンター
冷気, Whiz.wav
魔玉(準備), Reload(4).wav
魔玉, Swing.wav
魔玉(命中), BreakOff.wav
魔玉操・冷扇衝(準備), 2;Reload(4).wav;4;Snap(E).wav
魔玉操・冷扇衝, 2;Stab.wav;3;Thunder.wav
魔玉操・冷扇衝(命中), Thunder.wav
魔玉操・冷扇衝(クリティカル), Thunderbolt.wav
魔玉操(準備), Reload(4).wav
魔玉操, Swing.wav
魔玉操(解説), 玲は魔玉操を繰り出した
魔玉操(解説), 玲は魔玉操を放った
魔玉操(解説), 放たれた魔玉が、目標めがけて飛来する
魔玉操(解説), 放たれた魔玉同士が干渉し合い、相手を打ち砕く力となる
魔玉操(解説), 放たれた魔玉が、千差万別の変化をみせる
魔玉操(氷雪)(準備), Reload(4).wav
魔玉操(氷雪), Swing.wav
魔玉操(氷雪)(解説), 玲は魔玉操を繰り出した
魔玉操(氷雪)(解説), 玲は魔玉操を放った
魔玉操(氷雪)(解説), 放たれた魔玉が、目標めがけて飛来する
魔玉操(氷雪)(解説), 放たれた魔玉同士が干渉し合い、相手を打ち砕く力となる
魔玉操(氷雪)(解説), 放たれた魔玉が、千差万別の変化をみせる
魔玉操(命中), 「魔玉操・火焔葬輪っ！」;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;8;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;「魔玉操・火焔葬輪っ！」
魔玉操(命中), 「魔玉操――」;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;8;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;;「魔玉操――火焔葬輪！」
魔玉操(氷雪)(命中), 「<I>魔玉操・火焔葬輪</I>」;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;8;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;「<I>魔玉操・火焔葬輪</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;8;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;「<I>魔玉操――火焔葬輪</I>」
魔玉操(命中), 「魔玉操――」;3;Beam.wav;5;Explode.wav;「魔玉操――獄炎衝！」
魔玉操(命中), 「魔玉操・獄炎衝！」;3;Beam.wav;5;Explode.wav;「魔玉操・獄炎衝！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;3;Beam.wav;5;Explode.wav;「<I>魔玉操――獄炎衝</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・獄炎衝</I>」;3;Beam.wav;5;Explode.wav;「<I>魔玉操・獄炎衝</I>」
魔玉操(命中), 「魔玉操――」;1;Jet.wav;5;Explode.wav;「魔玉操――爆龍砕っ！」
魔玉操(命中), 「魔玉操・爆龍砕！」;1;Jet.wav;5;Explode.wav;「魔玉操・爆龍砕っ！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;1;Jet.wav;5;Explode.wav;「魔玉操――爆龍砕</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・爆龍砕</I>」;1;Jet.wav;5;Explode.wav;「魔玉操・爆龍砕</I>」
魔玉操(命中), 「魔玉操――」;2;Missile.wav;2;Missile.wav;2;Missile.wav;5;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;「魔玉操――反龍震！！」
魔玉操(命中), 「魔玉操・反龍震！！」;2;Missile.wav;2;Missile.wav;2;Missile.wav;5;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;「魔玉操・反龍震！！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;2;Missile.wav;2;Missile.wav;2;Missile.wav;5;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;「魔玉操――反龍震</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・反龍震</I>」;2;Missile.wav;2;Missile.wav;2;Missile.wav;5;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;「魔玉操・反龍震</I>」
魔玉操(命中), 「魔玉操――」;2;Breath.wav;2;Breath.wav;8;Explode(Long).wav;「魔玉操――微塵双龍っ！！」
魔玉操(命中), 「魔玉操・微塵双龍っ！！」;2;Breath.wav;2;Breath.wav;8;Explode(Long).wav;「魔玉操・微塵双龍っ！！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;2;Breath.wav;2;Breath.wav;8;Explode(Long).wav;「<I>魔玉操――微塵双龍</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・微塵双龍</I>」;2;Breath.wav;2;Breath.wav;8;Explode(Long).wav;「<I>魔玉操・微塵双龍</I>」
魔玉操(命中), 「魔玉操――」;2;Storm.wav;5;Storm.wav;「魔玉操――螺旋砕環っ！！」
魔玉操(命中), 「魔玉操・螺旋砕環っ！！」;2;Storm.wav;5;Storm.wav;「魔玉操・螺旋砕環っ！！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;2;Storm.wav;5;Storm.wav;「<I>魔玉操――螺旋砕環</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・螺旋砕環</I>」;2;Storm.wav;5;Storm.wav;「<I>魔玉操・螺旋砕環</I>」
魔玉操(命中), 「魔玉操――」;2;Cannon.wav;8;Explode(Far).wav;「魔玉操――天神華っ！」
魔玉操(命中), 「魔玉操・天神華っ！」;2;Cannon.wav;8;Explode(Far).wav;「魔玉操・天神華っ！」
魔玉操(氷雪)(命中), 「<I>魔玉操――</I>」;2;Cannon.wav;8;Explode(Far).wav;「<I>魔玉操――天神華</I>」
魔玉操(氷雪)(命中), 「<I>魔玉操・天神華</I>」;2;Cannon.wav;8;Explode(Far).wav;「<I>魔玉操・天神華</I>」
魔玉操・天龍槌(準備), 2;Reload(4).wav;5;Swing.wav
魔玉操・天龍槌, Storm.wav
魔玉操・天龍槌(命中), Storm.wav
魔玉操・天龍槌(クリティカル), Shock(Low).wav
魔玉操・龍震波(準備), 2;Reload(4).wav;5;Swing.wav
魔玉操・龍震波, GunPod.wav
魔玉操・龍震波(命中), 2;Shock(Low).wav;2;Shock(Low).wav;2;Shock(Low).wav
絶対零度, Storm.wav
絶対零度(命中), EvilEye.wav
魔玉操・空間断裂(準備), 2;Reload(4).wav;5;Swing.wav
魔玉操・空間断裂, Hittyuu.wav
魔玉操・空間断裂(命中), Slash(4).wav
魔玉操・火龍葬輪(準備), 2;Reload(4).wav;5;Swing.wav
魔玉操・火龍葬輪, 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav
魔玉操・火龍葬輪(命中), Explode.wav
魔玉操・紅蓮地獄(準備), 2;Reload(4).wav;5;Swing.wav
魔玉操・紅蓮地獄, Charge(High).wav
魔玉操・紅蓮地獄(命中), Explode(Long).wav
魔玉操・菩薩翔(準備), 2;Reload(4).wav;5;Swing.wav
魔玉操・菩薩翔, -
