ポリマー
ローラー(命中), Punch.wav
幻影破裏拳, Storm.wav
真空片手独楽(命中), 5;Storm.wav;2;Shock(Low).wav
突撃(ポリマーホーク), Jet.wav
突撃(ポリマーマシン), Bike.wav
天空蹴り(命中), 2;Swing.wav;2;Punch.wav
破裏拳流格闘術(クリティカル), 2;Swing.wav;2;BreakOff.wav
破裏拳流格闘術(クリティカル), 2;Swing.wav;2;Punch.wav
破裏拳流格闘術(クリティカル), 2;Swing.wav;2;Shock(Low).wav
破裏拳流格闘術(命中), 2;BreakOff.wav;2;BreakOff.wav
破裏拳流格闘術(命中), 2;BreakOff.wav;2;Punch.wav
破裏拳流格闘術(命中), 2;Punch.wav;2;BreakOff.wav
破裏拳流格闘術(命中), 2;Punch.wav;2;Punch.wav
変形(ポリマーグランパス), Splash.wav
変形(ポリマードリル), Drill.wav
変形(ポリマーホーク), Jet.wav
変形(ポリマーマシン), Bike.wav
変形(ポリマーローラー), Bike.wav
