空の境界
当て身, 格闘
当て身(命中), 打撃 BreakOff.wav
ナイフ投擲, 投げナイフ
死線切り(準備), フェイスアップ KARA_RyougiShiki(M).bmp - Hittyuu.wav
死線切り(準備), ナイフ
死線切り(準備), ナイフ
死線切り(攻撃), ナイフ突撃;斬撃
死線切り(命中), 斬撃
死線切り(とどめ), 音再生 Inori.wav
死線切り(とどめ), 音再生 Inori.wav
死線切り(とどめ), 音再生 Inori.wav
死線切り(とどめ), 縦分割 Inori.wav
死線切り(とどめ), 横分割 Inori.wav
#総何度も何度も分割止めはウザイので一定確率のみで
死線切り(刀)(準備), フェイスアップ KARA_RyougiShiki(M).bmp - Hittyuu.wav
死線切り(刀)(準備), 日本刀
死線切り(刀)(準備), 日本刀
死線切り(刀)(攻撃), 日本刀突撃;斬撃
死線切り(刀)(命中), 斬撃
死線切り(刀)(とどめ), 音再生 Inori.wav
死線切り(刀)(とどめ), 音再生 Inori.wav
死線切り(刀)(とどめ), 音再生 Inori.wav
死線切り(刀)(とどめ), 縦分割 Inori.wav
死線切り(刀)(とどめ), 横分割 Inori.wav
死線切り(追加)(攻撃), ナイフ突撃;斬撃
死線切り(追加)(命中), 斬撃
死線切り(追加)(とどめ), 音再生 Inori.wav
死線切り(追加)(とどめ), 音再生 Inori.wav
死線切り(追加)(とどめ), 音再生 Inori.wav
死線切り(追加)(とどめ), 縦分割 Inori.wav
死線切り(追加)(とどめ), 横分割 Inori.wav
死点突き(準備), フェイスアップ KARA_RyougiShiki(M).bmp - Hittyuu.wav 衝撃
死点突き(攻撃), ナイフ突撃;刺突
死点突き(命中), 刺突 Shock(low).wav
死点突き(とどめ), Inori.wav
死点突き(刀)(準備), フェイスアップ KARA_RyougiShiki(M).bmp - Hittyuu.wav 衝撃
死点突き(刀), 日本刀突撃;刺突
死点突き(刀)(命中), 刺突 Shock(low).wav
死点突き(刀)(とどめ), Inori.wav
阻止(死線断ち), 切り払い
九字兼定, 日本刀
アンサズのルーン(準備), 五芒星 BeamSaber.wav
アンサズのルーン, 炎投射
幻燈機械, 黒豹 AntiAirMissile.wav
幻燈機械(命中), 噛み付き
封印の匣(攻撃), 多触手 黒 AntiAirMissile.wav
封印の匣(命中), 重力圧縮 Stab.wav
AzoLto(攻撃), 打撃突撃;打突
AzoLto(命中), 爆発
結界・六道境界(武装)(攻撃), 六芒星 黒 対象ユニットＩＤ;六芒星 黒
堕獄, 打突 
堕獄(命中), 強打 FightHit(3).wav
金剛訳・粛, 重力圧縮
金剛訳・粛【MAP】, ＭＡＰブラックホール
魔術弾(攻撃), 火炎弾 緑 Beam.wav
魔術弾(命中), 光球 緑 Grass.wav
火炎術(準備), オーラ上昇 赤 Boot.wav
火炎術(攻撃), 斬撃;粒子集中 赤 Swing(2).wav 相手ユニットＩＤ 
火炎術(命中), 火柱
火炎術(解説), $(ユニット)から飛び散った血がガソリンのように燃え上がる
捕食(攻撃), 打撃突撃
捕食(命中), 噛み付き;噛み付き;噛み付き;粒子噴射 赤 Inori.wav
思念波(命中), Glass.wav
歪曲の視線(準備), フェイスアップ KARA_AsagamiFujino(Distortion).bmp - Whiz.wav 衝撃
歪曲の視線(準備), -
歪曲の視線(準備), -
歪曲の視線(命中), 超打 Crash.wav
歪曲の視線【MAP】(準備), フェイスアップ KARA_AsagamiFujino(Distortion).bmp - Whiz.wav 衝撃
歪曲の視線【MAP】(命中), 超打 Crash.wav
妖精の弾丸(攻撃), ６ＷＡＹ射出 AntiAirMissile.wav
妖精の弾丸(命中), 拡散ビーム 緑
統一言語, 音波

