リヴィエラ
アイアンソード, ソード
ミスリルの剣, ソード
グランセイバー, ソード
聖者の槍(準備), スピア
聖者の槍(攻撃), なぎ払い
聖者の槍(命中), なぎ払い
炎のロゼアタック, 火炎放射
神剣エクセリオン(準備), 振る武器 EFFECT_RIVIERA_Excelion.bmp 32 発光
神剣エクセリオン(攻撃), 斬撃
神剣エクセリオン(命中), 雷斬撃 Slash.wav
ダブルスラッシュ(準備), 振る武器 EFFECT_RIVIERA_Excelion.bmp 32 発光
ダブルスラッシュ(攻撃), 斬撃;なぎ払い
ダブルスラッシュ(命中), 連斬撃
破邪聖刻(準備), スピア
破邪聖刻(攻撃), 斬撃;なぎ払い;振り下ろし
破邪聖刻(命中), 斬撃;なぎ払い;雷斬撃 Slash.wav
無双六連斬(準備), ソード
無双六連斬(攻撃), 斬撃乱舞
無双六連斬(命中), 斬撃乱舞;飛沫 白 Explode.wav
神威天昇斬(準備), ソード
神威天昇斬(攻撃), 斬撃;なぎ払い;振り下ろし
神威天昇斬(命中), 斬撃;なぎ払い;振り下ろし;@戦闘アニメ_振り上げ攻撃;2;-.wav;光柱
告死ディザレスタ(準備), オーラ上昇 白;振る武器 EFFECT_RIVIERA_Excelion.bmp 32 発光
告死ディザレスタ(攻撃), 斬撃;なぎ払い;振り上げ
告死ディザレスタ(命中), 斬撃;なぎ払い;振り上げ;「てやっ！！」;@戦闘アニメ_振り下ろし攻撃;1;Inori.wav;2;White.bmp 480 480;1;Clear;1;Inori.wav;2;White.bmp 480 480;1;Clear;光柱;2;-.wav;羽
マジカルシュート(準備), 杖
マジカルシュート(攻撃), 白兵武器
マジカルシュート(命中), 発光 Explode.wav
マジカルインパクト(準備), 杖
マジカルインパクト(攻撃), 白兵武器;光投射 白
マジカルインパクト(命中), 飛沫 Explode.wav
フレアディザスタ(準備), 本
フレアディザスタ(攻撃), 魔法放射 Beamshot.wav;ＭＡＰ炎
フレアディザスタ(命中), 炎
フレイスコール(準備), 杖
フレイスコール(攻撃), 白兵武器;炎投射
フレイスコール(命中), 炎
フレイムスロワー(準備), 杖
フレイムスロワー(攻撃), 振り下ろし;炎打ち下ろし
フレイムスロワー(命中), 超爆発
イノセントスフィア(準備), 本
イノセントスフィア(攻撃), 魔法陣 緑;ＭＡＰ光噴出 緑
イノセントスフィア(命中), 飛沫 緑
プロミネンス(準備), 杖
プロミネンス(攻撃), なぎ払い;光投射 赤
プロミネンス(命中), 連続爆発;@戦闘アニメ_振り上げ攻撃;2;-.wav;火柱;炎
カラミティフレア(準備), 魔法集中 赤 Beamshot.wav;杖
カラミティフレア(攻撃), 振り下ろし;火炎弾;火炎弾;火炎弾
カラミティフレア(命中), 連続爆発;@戦闘アニメ_振り上げ攻撃;火柱;「それっ！！」;@戦闘アニメ_白兵武器攻撃;2;-.wav;超爆発
漆黒の大鎌, 大鎌
ヴァンパイアナイト, 蝙蝠
Ｓコンビネーション(準備), 大鎌
Ｓコンビネーション(攻撃), 斬撃;なぎ払い
Ｓコンビネーション(命中), 斬撃;なぎ払い Slash.wav
Ｓデストラクション(準備), 大鎌
Ｓデストラクション(攻撃), 斬撃;なぎ払い;振り上げ
Ｓデストラクション(命中), 斬撃乱舞
Ｓアブソリュート(準備), 大鎌
Ｓアブソリュート(攻撃), 振り下ろし;なぎ払い;黒斬撃
Ｓアブソリュート(命中), 振り下ろし;なぎ払い;振り上げ;飛沫 黒
Ｓイリュージョン(準備), 魔法集中 青;大鎌
Ｓイリュージョン(攻撃), 斬撃;振り下ろし;振り上げ
Ｓイリュージョン(命中), 振り下ろし;振り上げ;氷柱 Ice.wav;「やぁっ！！」;@戦闘アニメ_斬撃攻撃;大斬撃;2;-.wav;飛沫 青
エルフィンボウ, 弓矢
キリングショット, 小柄
アローレイン(準備), 弓矢
アローレイン(攻撃), 弓矢;矢;矢
アローレイン(命中), 連突
ボルテックレイド(準備), 弓矢
ボルテックレイド(攻撃), 弓矢
ボルテックレイド(命中), 矢;落雷
ＣＣ－グレネード(攻撃), 白兵武器
ＣＣ－グレネード(命中), 爆発;大放電
ガトリングシュート(準備), 弓矢
ガトリングシュート(攻撃), 弓矢;矢;矢;矢;矢
ガトリングシュート(命中), 乱突
スターダスト(準備), 魔法集中 黄;弓矢
スターダスト(攻撃), 弓矢;矢;矢;矢
スターダスト(命中), 連突;電撃;「えーいっ！！」;@戦闘アニメ_弓矢攻撃;大電撃
エストック, エストック
バニッシュ(準備), 魔法集中 白
バニッシュ(攻撃), 魔法陣 白
バニッシュ(命中), 粒子噴射 白
プレスト(準備), エストック
プレスト(攻撃), 連突
プレスト(命中), 連突
ヴィヴァーチェ(準備), エストック
ヴィヴァーチェ(攻撃), 連突
