ＬＯＭ
ミスリルソード, Swing.wav
ミスリルソード(命中), Slash.wav
三連斬, 2;Swing.wav;2;Swing.wav;Swing.wav
三連斬(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
朧薙ぎ, Swing.wav
朧薙ぎ(命中), 2;Punch.wav;Slash.wav
無音殺(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
真三段斬り, Swing.wav
真三段斬り(命中), 2;Slash.wav;2;Swing.wav;2;Slash.wav;2;Swing.wav;Slash.wav
黄龍, 3;Charge.wav;Swing.wav
黄龍(命中), Explode(Nuclear).wav
ミスリルランス, Swing.wav
ミスリルランス(命中), Stab.wav
旋風槍, Storm.wav
疾風龍突, Swing.wav
疾風龍突(命中), Shock(Low).wav
光弾槍, Beam.wav
光弾槍(命中), Explode.wav
百花乱舞, 1;Swing.wav;1;Swing.wav;Swing.wav
百花乱舞(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
青龍, 4;Charge.wav;Bazooka.wav
オブシダンソード, Swing.wav
オブシダンソード(命中), Slash.wav
居合い, Swing.wav
居合い(命中), Saber.wav
エリアルブレード, Whiz.wav
エリアルブレード(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
レーザーブレード, 4;BeamSaber.wav;Swing.wav
レーザーブレード(命中), Saber.wav
十文字斬, 2;Swing.wav;Swing.wav
十文字斬(命中), 2;Slash.wav;Slash.wav
運命の剣, 4;Flair.wav;Swing.wav
運命の剣(命中), Glass.wav
まんまるドロップ, Sharara.wav
ぱっくんチョコ, Sharara.wav
癒しの煌き, Flair.wav
エタンセルの黒柱, Swing.wav
エタンセルの黒柱(命中), Shock(Low).wav
シャドーウォール, 3;Swing.wav;Whiz.wav
爆殺, 3;Swing.wav;Explode(Nuclear).wav
スーパースラッガー, Swing.wav
スーパースラッガー(命中), Crash.wav
ブレイジングハンマー, 4;Charge.wav;Swing.wav
ブレイジングハンマー(命中), Crash.wav
ソルブレイド, Swing.wav
ソルブレイド(命中), Slash.wav
インパルス, Whiz.wav
インパルス(命中), Explode.wav
幻脚一刀(命中), 3;Punch.wav;2;Swing.wav;Slash.wav
奈落へ落ちろ, Fold.wav
奈落へ落ちろ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
神速のヌンチャク, 1;Swing.wav;Swing.wav
落陽(命中), 2;Punch.wav;Crash.wav
ヒステリックラン, 3;Charge.wav;Stairs(Run).wav
乱撃骸貫, 3;Whiz.wav;1;Swing.wav;1;Swing.wav;Swing.wav
乱撃骸貫(命中), Punch(3).wav
背刃襲, 4;Charge.wav
背刃襲(命中), 2;Swing.wav;Crash.wav
ドラグーンアクス, Swing.wav
ドラグーンアクス(命中), Slash.wav
ドライブホーク, Swing.wav
ドライブホーク(命中), Slash.wav
地閃殺, Whiz.wav
地閃殺(命中), Crash.wav
ジョルト(命中), Slash.wav
ソウルスラスト, 3;Swing.wav;Warship.wav
ソウルスラスト(命中), Shock(Low).wav
脳天唐竹割り, 3;Swing.wav;Flair.wav
脳天唐竹割り(命中), Explode.wav
ドラグーンナイフ, 1;Swing.wav;Swing.wav
ドラグーンナイフ(命中), 1;Saber.wav;Saber.wav
スナイプダガー, 1;bow.wav;bow.wav
スナイプダガー(命中), 1;Stab.wav;Stab.wav;
空閃殺, Whiz.wav
空閃殺(命中), Saber.wav
クナイ舞, Whiz.wav
クナイ舞(命中), 1;Saber.wav;1;Saber.wav;Saber.wav
暗殺(命中), 4;Explode.wav;Slash.wav
いなづまキック(命中), Thunder.wav
ジャイアントスイング(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;;Crash.wav
天襲連撃(命中), Combo.wav
プレゼントにゃ, Bomb.wav
プレゼントにゃ(命中), Explode(Far).wav
魔法のフライパン, Swing.wav
魔法のフライパン(命中), Crash.wav
ウッドスライサー, Storm.wav
ロックストリーム, 1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
ロックストリーム(命中), Explode.wav
ロックチャージ, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
ロックチャージ(命中), Explode.wav
ローズバニッシュ, Whiz.wav
カボチャ落とし, Whiz.wav
カボチャ落とし(命中), Explode(Nuclear).wav
魔法のほうき, Swing.wav
魔法のほうき(命中), BreakOff.wav
ファイアストーム, fire.wav
ファイアスクラッチ, Whiz.wav
ファイアスクラッチ(命中), fire.wav
プラチナスピア, BeamShot.wav
プラチナスピア(命中), Glass.wav
ノヴァプリズナー, Charge(High).wav
ノヴァプリズナー(命中), Explode.wav
爪(命中), Slash.wav
バブルウェポン, Bubble.wav
サイクロンスピア, Shock(Low).wav
スプラッシュブレード, Charge(High).wav
スプラッシュブレード(命中), Splash.wav
トルネードバイパー, 3;Wind.wav;Whiz.wav
