デュバイル
攻撃無効化(土の破片), スモールシールド
格闘, 打突
護剣フェルミノード, ソード
フェルミノード投擲(攻撃), 投剣
フェルミノード投擲(命中), 刺突; 火柱
炎の拳(準備), 炎 対象ユニットＩＤ
炎の拳(攻撃), 打突
炎の拳(命中), 炎
炎の剣フェルミノード, 炎剣

モノバイル
ノーマルモード, 煙
素石を燃やす, オーラ 黄
素石を燃やす(解説), $(ユニット)は自分の炉に素石を入れて燃やした
運搬(解説), $(ユニット)は$(相手ユニット)を抱え、少し先まで飛んだ。
体当たり, タックル
格闘, 打突
ファイアマグ, 火炎弾
杖, 錫杖
治療, オーラ
治療(解説), $(ユニット)は$(相手ユニット)に治療を施した
ナスターシャ, 光圧縮
治癒唱文, 回復魔法 Explode.wav
治癒唱文(解説), $(ユニット)は$(相手ユニット)に治癒唱文を唱えた
消毒唱文, 回復魔法 Explode.wav
消毒唱文(解説), $(ユニット)は$(相手ユニット)に消毒唱文を唱えた
消毒唱文（暴発）, 回復魔法 Explode.wav
消毒唱文（暴発）(解説), $(ユニット)は$(相手ユニット)に消毒唱文を唱えたが、制御に失敗した
剣, ソード
チタニウムスパイク, ネジ連射
捕食, 噛み付き
捕食(解説), $(ユニット)は巨大な口で$(相手ユニット)を丸呑みにしようとした
攻撃無効化(軟性), $(ユニット)の軟らかな身体が$(相手武器)の威力を吸収した
ジンクジップ, ベアリング
斬撃, 斬撃
塩素ガス, ＭＡＰ煙 緑
氷の針, ニードル
冷気, 吹雪
蹴り, キック
バーストロン（近接）(攻撃), Snap.wav
バーストロン（近接）(命中), 爆発
デラ・バーストロン, Snap.wav;ＭＡＰ大爆発
バーストロン（遠距離）(攻撃), Snap.wav
バーストロン（遠距離）(命中), 大爆発
クイック・デス・シルバー(攻撃), ホーミングレーザー 黒
クイック・デス・シルバー(命中), 包囲ビーム 黒
パンチ, 打突
強拳, スーパーパンチ
風圧, 気斬
刺突剣, レイピア
銃弾操作, サブマシンガン
サブマシンガン, サブマシンガン
