
ＨＥＲＯ
風の翼, 5;Wind.wav
風の翼(命中), 3;Whiz.wav
炎の翼, 5;Fire.wav
炎の翼(命中), 2;Punch.wav
秘石弾, 3;Beam.wav
秘石弾(命中), 2;Explode(Small).wav
ビッグバン, 5;Fire.wav
ビッグバン(命中), 3;Explode(Small).wav
トルネード, 10;Wind.wav
トルネード(命中), 5;Whiz.wav
ドラゴニックファイヤー, 10;Fire.wav
ドラゴニックファイヤー(命中), 5;Explode.wav
ギガフレア, 8;Charge.wav
ギガフレア(命中), 5;Explode.wav
超人変身, 8;Sharara.wav
ハイパーモード(超人ヒーロー(光の翼)), 8;BeamCoat.wav
聖王剣, 2;Swing.wav
聖王剣(命中), 2;Slash.wav
剣風, 5;Whiz.wav
剣風(命中), 3;Slash.wav
超神器・聖王剣, 2;Swing.wav
超神器・聖王剣(命中), 2;Slash.wav;5;Explode.wav
光の翼, 3;Saber.wav
光の翼(命中), 3;Explode(Small).wav
漢の拳(命中), 3;Bazooka.wav
バーストウィング, 10;Fire.wav
羽手裏剣, 2;Bow.wav
羽手裏剣(命中), 1;Stab.wav;1;Stab.wav;2;Stab.wav
ウィングカッター, 2;Swing.wav;1;Swing.wav
ウィングカッター(命中), 1;Slash.wav;1;Slash.wav;2;Slash.wav
黒薔薇, 5;Sharara.wav
黒薔薇(クリティカル), 5;PiyoPiyo.wav
蔦の髪, 3;Swing.wav
蔦の髪(命中), 2;Whip.wav
茨の髪, 3;Swing.wav
茨の髪(命中), 2;Whip.wav
花吹雪, 5;Sharara.wav
花吹雪(命中), 8;MicroMissile.wav
薬草の種, 5;Fold.wav
棍, 2;Swing.wav
棍(命中), 2;Punch.wav
我竜, 2;Swing.wav
我竜(命中), 3;BreakOff.wav
紅龍見参, 10;Fire.wav
紅龍見参(命中), 3;Explode(Small).wav
キリト, 2;Swing.wav
キリト(命中), 4;Slash.wav
羽の刃, 2;Swing.wav;1;Swing.wav
羽の刃(命中), 1;Slash.wav;1;Slash.wav
氷の刃, 3;Glass.wav
氷の刃(命中), 6;Crash.wav
氷波, 5;Beam.wav
氷波(命中), 3;Glass.wav
氷剣, 3;Glass.wav
氷剣(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
アイスボンバー, 5;Storm.wav
アイスボンバー(命中), 5;Explode.wav
聖龍天臨, 15;Charge(long).wav
聖龍天臨(命中), 5;Explode.wav
ダークブリザード, 5;Storm.wav
ダークブリザード(命中), 8;MultipleRocketLauncher.wav
魔人の波動, 5;Beam.wav
魔人の波動(命中), 3;Explode(Small).wav
猛殺, 15;Charge(long).wav
猛殺(命中), 5;Bazooka.wav
ヘルズ・ストーム_マックス, 8;Charge.wav;10;Storm.wav
分身(不死身の体), 5;Fold.wav
ミラー, 3;Flair.wav
ミラー(クリティカル), 3;BeamShot.wav
ブラックバブル, 3;Bubble.wav
ブラックバブル(クリティカル), 5;PiyoPiyo.wav
攻撃無効化(血の鎧), 3;BeamCoat.wav
巨人の左腕, 5;Swing.wav
巨人の左腕(命中), 3;BreakOff.wav
魔人の左腕, 2;Swing.wav
鮫歯の左腕, 5;Swing.wav
鮫歯の左腕(命中), 3;Stab.wav
魔神の左腕, 2;Swing.wav
兄貴の拳(命中), 2;Punch.wav
呪い刀・破修羅, 2;Swing.wav;2;BreakOff.wav
呪い刀・破修羅(命中), 4;Slash.wav
呪縛陣, 3;Flair.wav
呪縛陣(クリティカル), 3;BeamShot.wav
幻杖・ルーンメイス, 1;Swing.wav
幻杖・ルーンメイス(命中), 3;Punch.wav
神魔の力, 8;AntiShipMissile.wav
神魔の力(命中), 8;Explode(Nuclear).wav
攻撃無効化(ルーンメイス), 3;BeamCoat.wav
聖霊結界, 3;Flair.wav
バリア発動(聖霊結界), 3;BeamCoat.wav
霊獣ティラノ, 3;Beam.wav
霊獣ティラノ(命中), Punch.wav
霊龍ナーガ, 3;Beam.wav
霊龍ナーガ(命中), 8;Thunder.wav
巨龍ラードーン, 3;Beam.wav
巨龍ラードーン(命中), 3;Bazooka.wav
変幻, 3;Beam.wav
変幻(クリティカル), 3;Cat.wav
リング, 2;Swing.wav
リング(命中), 3;Slash.wav
ゴーモラの炎, 3;Beam.wav
ゴーモラの炎(命中), 10;Fire.wav
魍鬼羅刹炎, 5;Whiz.wav
魍鬼羅刹炎(命中), 8;MicroMissile.wav
餓鬼猛殺炎, 8;Fire.wav
餓鬼猛殺炎(命中), 5;Warship.wav
呪力波, 5;Beam.wav
呪力波(命中), 3;Explode(Small).wav
魔王の眼, 8;AntiShipMissile.wav
魔王の眼(命中), 5;Explode.wav
反射(空間操作), 3;Glass.wav
胞子, 3;Whiz.wav
胞子(クリティカル), 3;PowerDown.wav
岩の拳(命中), 2;Punch.wav
ロックバイパー, 3;Whiz.wav
ロックバイパー(命中), 3;Bazooka.wav
英雄覇奥義, 15;Charge(long).wav;5;Beam.wav


