
英雄伝説４
クロスブレード, Swing.wav
クロスブレード(命中), Saber.wav
ナイトブリンガー, Swing.wav
ナイトブリンガー(命中), Saber.wav
ダーク, Swing.wav
ダーク(命中), Slash.wav
バゼラード, Swing.wav
バゼラード(命中), Stab.wav
ククリ, Swing.wav
ククリ(命中), Slash.wav
ラプチャーロッド(命中), Whip.wav
ゼピュロスハンマ(命中), Crash.wav
ヒートスラッシュ, Whiz.wav
ヒートスラッシュ(命中), 3;Swing.wav;Slash.wav
ダブルファング, Swing.wav
ダブルファング(命中), 3;Slash.wav;3;Swing.wav;Slash.wav
ソニックスラッシュ(準備), BeamSaber.wav
ソニックスラッシュ, Swing.wav
ソニックスラッシュ(命中), Slash.wav
ブレイブラッシュ(準備), Glass.wav;1;White.bmp 480 480;Clear
ブレイブラッシュ, Whiz.wav
ブレイブラッシュ(命中), 5;Slash.wav;2;Slash.wav;5;Slash.wav;Slash.wav
ロングスマッシャー, Swing.wav
ロングスマッシャー(命中), Saber.wav
すずかけ落とし, Swing.wav
すずかけ落とし(命中), 3;Saber.wav;Saber.wav
オールアタック(準備), 2;MouseWhisle.wav;MouseWhisle.wav
オールアタック, Swing.wav
オールアタック(命中), Saber.wav
漆黒の翼(準備), Glass.wav;1;Black.bmp 480 480;Clear
漆黒の翼, Swing.wav
漆黒の翼(命中), 2;Saber.wav;5;Saber.wav;2;Saber.wav;5;Saber.wav;Saber.wav
スピット・ニードル, Swing.wav
スピット・ニードル(命中), Stab.wav
影縫い(準備), BeamSaber.wav
影縫い, 2;Swing.wav;Swing.wav
影縫い(クリティカル), Sword.wav
ニードル・シャワー, 2;Swing.wav;5;Swing.wav;1;Swing.wav;5;Swing.wav;2;Swing.wav;Swing.wav
ニードル・シャワー(命中), 2;Stab.wav;5;Stab.wav;1;Stab.wav;5;Stab.wav;2;Stab.wav;Stab.wav
ヘッドクラッシュ(命中), Crash.wav
ジャスティスハンマー(準備), Sword.wav
ジャスティスハンマー(命中), Crash.wav
メテオブレイカー(準備), Glass.wav;1;White.bmp 480 480;Clear
メテオブレイカー(命中), 4;Shock(low).wav;7;Shock(low).wav;5;Sword.wav;Crash.wav
ラップ・ビー・ラップ(命中), Punch.wav
オニオンスライサー(命中), Slash.wav
レジーナラッシュ(命中), 2;Whip.wav;Whip.wav
バインドウィップ(命中), -.wav
バインドウィップ(クリティカル), Whip.wav
ドラゴンティル(命中), 2;Whip.wav;3;Whip.wav;2;Whip.wav;2;Whip.wav;3;Whip.wav
雷光斬(準備), Sword.wav
雷光斬, Swing.wav
雷光斬(命中), Slash.wav
剣風閃(準備), Sword.wav
剣風閃, Swing.wav
剣風閃(命中), Slash.wav
雷神斬(命中), 3;Slash.wav;10;Slash.wav;Sword.wav
雷王降臨斬(準備), Glass.wav;1;White.bmp 480 480;Clear
雷王降臨斬, Sword.wav
雷王降臨斬(命中), 4;Slash.wav;1;Slash.wav;1;Slash.wav;3;Slash.wav;10;Slash.wav;Sword.wav
風の子守歌, Sharara.wav
風の子守歌(命中), -
風の子守歌(クリティカル), Bubble.wav
バニッシュロッド(命中), Punch(3).wav
スラップラッシュ(命中), 5;Slash.wav;Slash.wav
ディバインロッド(準備), Flair.wav
ディバインロッド, Swing.wav
ディバインロッド(命中), Punch(3).wav
水激衝, BeamShot.wav
