
# ▼
# anime全部できてません。誰か作ってください。


汎用
跋扈の剣・鳳(準備), 日本刀 Reload(5).wav
跋扈の剣・鳳(攻撃), 日本刀突撃 Whiz.wav
跋扈の剣・鳳(命中), なぎ払い Saber.wav
跋扈の剣・鳳(命中), 斬り上げ Slash(4).wav
跋扈の剣・鳳(命中), ビームサーベル 白 Slash.wav
跋扈の剣・鳳(命中), @戦闘アニメ_なぎ払い攻撃 Slash(2).wav 相手ユニットＩＤ
跋扈の剣・麟(準備), 日本刀 Reload(5).wav
跋扈の剣・麟(攻撃), 日本刀突撃 Whiz.wav
跋扈の剣・麟(命中), なぎ払い Saber.wav
跋扈の剣・麟(命中), 斬り上げ Slash(4).wav
跋扈の剣・麟(命中), ビームサーベル 白 Slash.wav
跋扈の剣・麟(命中), @戦闘アニメ_なぎ払い攻撃 Slash(2).wav 相手ユニットＩＤ
跋扈の剣・亀(準備), 日本刀 Reload(5).wav
跋扈の剣・亀(攻撃), 日本刀突撃 Whiz.wav
跋扈の剣・亀(命中), なぎ払い Saber.wav
跋扈の剣・亀(命中), 斬り上げ Slash(4).wav
跋扈の剣・亀(命中), ビームサーベル 白 Slash.wav
跋扈の剣・亀(命中), @戦闘アニメ_なぎ払い攻撃 Slash(2).wav 相手ユニットＩＤ
跋扈の剣・龍(準備), 日本刀 Reload(5).wav
跋扈の剣・龍(攻撃), 日本刀突撃 Whiz.wav
跋扈の剣・龍(命中), なぎ払い Saber.wav
跋扈の剣・龍(命中), 斬り上げ Slash(4).wav
跋扈の剣・龍(命中), ビームサーベル 白 Slash.wav
跋扈の剣・龍(命中), @戦闘アニメ_なぎ払い攻撃 Slash(2).wav 相手ユニットＩＤ

## 南部十四年式自動拳銃(誰彼)
## グロック17(誰彼)


強化兵
格闘術(攻撃), タックル
格闘術(命中), 連打 FightHit(1).wav
格闘術(命中), 強打 Bazooka.wav
格闘術(命中), 投げ飛ばし Shock(Low).wav
小刀投擲(攻撃), 投げナイフ Saber.wav
小刀投擲(命中), 刺突 Stab.wav
小刀(攻撃), ナイフ突撃 Saber.wav
小刀(命中), 刺突 Stab.wav
小刀(命中), @戦闘アニメ_なぎ払い攻撃 Slash(2).wav 相手ユニットＩＤ
炸裂弾, 手榴弾
突撃(攻撃), タックル
突撃(命中), 超打 Warship.wav
短刀(攻撃), 脇差突撃
短刀(命中), 刺突 Stab.wav
短刀(命中), @戦闘アニメ_なぎ払い攻撃 Slash(2).wav 相手ユニットＩＤ

