
エスパー
投影, 分身 bow.wav 投影
エネルギー吸収球, 暗黒バリア Charge(High).wav エネルギー吸収球
幻覚, 泡球
バインドリング(準備), フープ Charge.wav
バインドリング(攻撃), フープ Saber.wav 相手ユニットＩＤ
バインドリング(命中), Stab.wav;1;Stab.wav;1;Stab.wav
サイコソード(準備), エナジーブレード 黄色
サイコソード(攻撃), -
サイコソード(命中), エナジーブレード 黄色 Sword.wav
サイコリング(攻撃), フープ Saber.wav 相手ユニットＩＤ
サイコリング(命中), 斬撃乱舞 Saber.wav;1;Saber.wav;1;Saber.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
サイコスピア(準備), エナジーブレード 黄色 Charge.wav
サイコスピア(攻撃), 投擲武器 Bitmap\Anime\Beam\EFFECT_BeamHit(Yellow)05.bmp 発光 速 残像
サイコスピア(命中), 超斬撃 Explode.wav
サイコブラスト(準備), 光噴出 黄色 Charge(Long).wav
サイコブラスト(攻撃), 波動放射 黄色 速
サイコブラスト(命中), 連続大爆発 Explode(Nuclear).wav
エネルギー吸収球, 重力弾
サイコショット(準備), -
サイコショット(攻撃), 気斬 黄色
サイコショット(命中), 飛沫 黄色 Whip.wav
サイコショック(準備), -
サイコショック(攻撃), 分身打撃
サイコショック(命中), 大電撃
サイコキネシス(準備), -
サイコキネシス(攻撃), デフォルト UnitOn(2).wav
サイコキネシス(命中), 強打 Crash.wav
ハイパーモード(超人ロック(第２段階)), @戦闘アニメ_フラッシュ発動 白 HyperExplode.wav
ハイパーモード(ロード＝レオン(覚醒)), @戦闘アニメ_フラッシュ発動 赤 HyperExplode.wav
サイコショット(強)(準備), -
サイコショット(強)(攻撃), 拡散ビーム 黄色
サイコショット(強)(命中), 包囲ビーム 黄色 黄色


一般人
催眠ガス, 煙
ウイングブレード, スーパータックル
ハンドグレネード, グレネード
ファイヤフライ, ミサイル 4
アームバルカン, 機関砲
ファイヤモウル, ドリルミサイル
ファイヤモウル(命中), 大爆発
対空ミサイル, ミサイル 4
熱線, 中ビーム 赤
スタンナー, スタンロッド
ハンドレーザー, レーザーガン(２) 黄色
プラズマガン, ビームランチャー 黄色
エスパージャマー, 音波
エスパージャマー(Ｍ), 音波
Ｒ・Ｍ・ジャマー, 音波




