
#鉄拳・アニメーションデータ#
#※１：一部共通技(三島一家、デビルとエンジェル、ロウ親子、シャオユウと美晴など)が上です。それ以降は、個別技です。
#※２：吉光の一部アニメーションはソウルキャリバーと共通です。

#３Ｄリアルタイプ型格ゲー(鉄拳、デッドオアアライブ、バーチャファイターなど)は、飛び道具がないのでアニメーシ
#ョンが微妙です。同じような物が多いですが、ご了承ください。
#(指定が似通ってしまうのは、仕様と言う事でお願いします)


鉄拳
魔神拳(攻撃), 打突
魔神拳(命中), 強打
超ぱちき(攻撃), ヘッドバット
超ぱちき(命中), タックル
右踵落とし(攻撃), 振り下ろし
右踵落とし(命中), 強打
風神拳(攻撃), タックル
風神拳(命中), 強打
鬼瓦(攻撃), タックル
鬼瓦(命中), 超打
金剛槍掌(準備), -
金剛槍掌, 打突
金剛槍掌(命中), 強打
螺旋幻魔脚(攻撃), タックル
螺旋幻魔脚(命中), 連打
雷神拳(攻撃), タックル
雷神拳(命中), 強打
真・鬼神滅裂(攻撃), タックル
真・鬼神滅裂(命中), 超打
アルティメットタックル(攻撃), タックル
アルティメットタックル(命中), 強打
崩拳(攻撃), 打突
崩拳(命中), 打突
三宝龍(攻撃), 格闘
三宝龍(命中), 連打
裏疾風, タックル
鳩尾(攻撃), タックル
鳩尾(命中), 強打
鉄山靠(攻撃), タックル
鉄山靠(命中), 強打
万聖龍王拳(攻撃), 打突
万聖龍王拳(命中), 打突;超打
雀連手, 打突
烏龍盤打, 打突
宙転断空脚, タックル
宙転断空脚(命中), 強打
雀連架推掌, 格闘
飛燕流舞(攻撃), 格闘
飛燕流舞(命中), 投げ飛ばし
レフトプラズマブレード, なぎ払い
レフトプラズマブレード(命中), 強打
ライジングブレード, タックル
ライジングブレード(命中), 強打
ローリングライトキック(攻撃), タックル
ローリングライトキック(命中), 強打
エアファング(攻撃), タックル
エアファング(命中), 強打
ライトキックコンボ(攻撃), 格闘
ライトキックコンボ(命中), 格闘
キリングボーグ(攻撃), 振り下ろし
キリングボーグ(命中), 打撃
左連拳(攻撃), 格闘
左連拳(命中), 連打
スライディング(攻撃), タックル
スライディング(命中), 打撃
寸剄(攻撃), 打突
寸剄(命中), 打撃
サマーソルトキック(攻撃), アッパー
サマーソルトキック(命中), アッパー
ダブルサマーソルト(攻撃), アッパー;アッパー
ダブルサマーソルト(命中), アッパー;アッパー
ドラゴンジャッジメント(攻撃), 格闘
ドラゴンジャッジメント(命中), 連打
ドラゴンファング, 打突
ドラゴンファング(命中), 超打
卍裏拳・壱, 打突
合掌, 日本刀
合掌(命中), 斬撃
忍法卍芟(攻撃), タックル
忍法卍芟(命中), 連打
鬼薊(攻撃), 日本刀;タックル
鬼薊(命中), 連打
不惑(攻撃), -
不惑(命中), 強打
アニマルぱちき(攻撃), ヘッドバット
アニマルぱちき(命中), タックル
ライトキックコンボ(攻撃), タックル
ライトキックコンボ(命中), 連打
キリングボーグ(攻撃), 振り下ろし
キリングボーグ(命中), 超打
_ドロップキック(攻撃), キック
_ドロップキック(命中), 強打
ジャイアントスイング(攻撃), 格闘
ジャイアントスイング(命中), ジャイアントスイング
８９３・Ｋ(攻撃), 格闘
８９３・Ｋ(命中), 強打
シャイニングウィザード, タックル
サテライトドロップキック(攻撃), キック
サテライトドロップキック(命中), 強打
ブルータルサイクロン(攻撃), タックル
ブルータルサイクロン(命中), 連打
ターンラリアット(攻撃), タックル
ターンラリアット(命中), 超打
ワンツースリー(攻撃), 格闘
ワンツースリー(命中), 格闘
ドラゴニックハンマー, 打突
ソニックファング, 打突
ハートブレイクショット(攻撃), 打突
ハートブレイクショット(命中), 打撃
スピットファイアＣ(攻撃), 連打
スピットファイアＣ(命中), 連打
ヘルファイア(攻撃), 打突
ヘルファイア(命中), 超打
ストマックキック(攻撃), 格闘
ストマックキック(命中), 打撃
ヒールバズーカ, 格闘
ヒールバズーカ(命中), 強打
アイアンタックル, タックル
パームラッシュ(攻撃), 格闘
パームラッシュ(命中), 連打
バックドロップ(攻撃), -
バックドロップ(命中), 投げ飛ばし
クレイグキャノン(攻撃), タックル
クレイグキャノン(命中), 超打
左肘打ち(攻撃), 打突
左肘打ち(命中), 打突
飛び二段蹴り(攻撃), タックル
飛び二段蹴り(命中), 打撃;打撃
胴抜き(攻撃), タックル
胴抜き(命中), 打撃
正拳二段突き(攻撃), 打突;打突
正拳二段突き(命中), 強打;強打
羅刹門・改(攻撃), 格闘
羅刹門・改(命中), 格闘
直突き(攻撃), 打突
直突き(命中), 超打
シルバーウィップ, 格闘
シルバーウィップ(命中), 強打 Whip.wav
シルバーヒール, 格闘
シルバーヒール(命中), 強打
リーナックルコンボ(攻撃), 格闘
リーナックルコンボ(命中), 連打
スキャンキックスロー(攻撃), 格闘
スキャンキックスロー(命中), 強打;投げ飛ばし
マシンガンキック(攻撃), 格闘
マシンガンキック(命中), 連打
クレイグキャノン(攻撃), タックル
クレイグキャノン(命中), 超打
ヴァイオレットサマー, アッパー
ヴァイオレットサマー(命中), 強打
リーサマー, アッパー
リーサマー(命中), 強打
シルバーサイクロン(攻撃), なぎ払い
シルバーサイクロン(命中), 超打
ファールキック(攻撃), タックル
ファールキック(命中), 強打
ディヴァインキャノン(攻撃), タックル
ディヴァインキャノン(命中), 強打
連撃双掌破(攻撃), 格闘
連撃双掌破(命中), 連打;強打
ハンティングキックコンボ(攻撃), 格闘
ハンティングキックコンボ(命中), 連打
ハンティングスワン(攻撃), タックル
ハンティングスワン(命中), 超打
蛇突双撃(攻撃), 格闘
蛇突双撃(命中), 強打;強打
蛇双拳(攻撃), 格闘
蛇双拳(命中), 格闘
石頭(攻撃), ヘッドバッド
石頭(命中), 強打
飛空脚(攻撃), タックル
飛空脚(命中), タックル
雷光中段脚(攻撃), 格闘
