鋼の錬金術師
錬成枷, 格闘
武器破壊(準備), Slap.wav
武器破壊(攻撃), 格闘
武器破壊(命中), 装甲破壊
錬成柱(準備), Slap.wav
錬成柱(攻撃), -
錬成柱(命中), 石柱
防具破壊(準備), Slap.wav
防具破壊(攻撃), 格闘
防具破壊(命中), 装甲破壊
錬成槍(準備), Slap.wav
錬成槍(攻撃), 投げ槍
錬成槍(命中), 投げ槍
錬成砲(準備), Slap.wav
錬成砲(攻撃), 大砲
錬成砲(命中),爆発
義肢甲剣(準備), Slap.wav
義肢甲剣(攻撃), 斬撃
義肢甲剣(命中), 斬撃
連続錬成(準備), Slap.wav
連続錬成(攻撃), -
連続錬成(命中), 石柱;乱打;投げ槍
煙幕奇襲(準備), -
煙幕奇襲(攻撃), 大気放出 橙
煙幕奇襲(命中), 旋風 橙;スーパータックル 黒
旦那(準備), -
旦那(攻撃), -
旦那(命中), 超打
地形変動(準備), Slap.wav
地形変動(攻撃), -
地形変動(命中),岩柱;巨岩落下
錬成焔・局所攻撃(準備), -
錬成焔・局所攻撃(攻撃), Snap(E).wav
錬成焔・局所攻撃(命中), 光噴出 赤
錬成焔・広域攻撃(準備), -
錬成焔・広域攻撃(攻撃), Snap(E).wav
錬成焔・広域攻撃(命中), ＭＡＰ炎の壁
錬成焔(準備), -
錬成焔(攻撃), Snap(E).wav
錬成焔(命中), 炎の壁
援護攻撃／ホークアイ, ボルトアクションライフル
ハンドガン, ピストル
ハヤテ号, 狼
スナイパーライフル, ボルトアクションライフル
ハンドガンx2, ピストル;ピストル
ショットガン, ショットガン
錬成弾, 岩弾
芸術的コラボレーション(準備), -
芸術的コラボレーション(攻撃), 乱打
芸術的コラボレーション(命中), 乱打;石柱
ロケット砲, ロケットランチャー
地割れ(準備), -
地割れ(攻撃), -
地割れ(命中), 石柱
人体破壊(準備), -
人体破壊(攻撃), 格闘
人体破壊(命中), 球体破裂 赤
柳葉刀, 青龍刀
硬化爪, 斬撃乱舞
苦無, 連突
苦無投げ, クナイ
爆弾, 爆弾
飛器, クナイ
遠隔錬成(準備), -
遠隔錬成(攻撃), -
遠隔錬成(命中), 石柱
遠隔錬成トラップ(準備), -
遠隔錬成トラップ(攻撃), -
遠隔錬成トラップ(命中), 岩柱
刺身包丁, 出刃包丁
肉切り包丁, 中華包丁
マグナム, ピストル
クロコダイル, 大型チェーンソー
岩石投げ, 岩
粘着唾液, 気弾 青
粘着唾液連打, 気弾 青
粘着唾液牽引, 気弾 青
射出針, ニードル連射
竜巻, ＭＡＰ強風
衝撃波, ＭＡＰ超爆発
光線, ＭＡＰビーム
雷, 落雷
爪(ラスト), 刺突;斬撃
空間飲み, 大ビーム 黒
捕食, 咬み付き接近
蛇腕, 触手 橙
刀腕, 斬撃
尻尾, アッパー
爪, 爪
咬みつき, 咬み付き接近
サーベル二刀流, サーベル 二刀流
憤怒, 横大斬撃;唐竹割り
鎖, 分銅
体当たり<Ｍ>(準備), -
体当たり<Ｍ>(攻撃), スーパータックル
体当たり<Ｍ>(命中), 強打
体当たり<Ｍ>, スーパータックル
体当たり, スーパータックル
影, 大拡散ビーム 黒
錬成爆破(準備), -
錬成爆破(攻撃), -
錬成爆破(命中), 大爆発
