##２００３年１２月１１日：新規作成

#闘神伝・バトルアニメーションデータ#

#該当(あるいは近いもの)がない場合は、指定なしです。
#一部、パイロットダイアログに影響がある物はカット(指定なし)しています。

#一部の技で闘神伝昴に流用している物もあります。

##２００４年５月２日付修正
#一部技のエフェクトミスを修正。

###２００４年８月２２日修正
#１、炎魔烈襲砕のアニメーション追加(白虎～も同じ)。
#２、誤動作するアニメーションを修正。(ジ・エンド)
#３、未指定の物を追加(ラストジャッジなど…)


##フルメンバー＋ガイア、ショウ、トレーシー、カオス、闘神兵
##(ショウ、エイジ、カイン、闘神兵で一部共通アニメーションがあります)

闘神伝
蹴撃弾(攻撃), タックル
蹴撃弾(命中), 強打
流星脚(攻撃), スーパーキック
流星脚(命中), スーパーキック
裂空斬(攻撃), 気弾
裂空斬(命中), 爆発
飛昇斬(攻撃), アッパー
飛昇斬(命中), 連斬撃
骸割り(攻撃), タックル
骸割り(命中), 唐竹割り
炎刃修羅破(攻撃), 火炎弾
炎刃修羅破(命中), 炎
地獄門(攻撃), タックル
地獄門(命中), 斬撃乱舞
百鬼猛襲剣(攻撃), タックル
百鬼猛襲剣(命中), 斬撃乱舞
レイジング・サン(攻撃), -
レイジング・サン(命中), 打撃
ショルダー・クラッシュ(攻撃), -
ショルダー・クラッシュ(命中), 打撃
ソニック・スラッシュ(攻撃), 気弾
ソニック・スラッシュ(命中), 爆発
デッドリー・レイズ(攻撃), アッパー
デッドリー・レイズ(命中), 連斬撃
レインボー・スプラッシュ(攻撃), -
レインボー・スプラッシュ(命中), 乱打
ヘルズ・ゲート(攻撃), タックル
ヘルズ・ゲート(命中), 乱打
ヘルズ・インフェルノ(攻撃), タックル
ヘルズ・インフェルノ(命中), 斬撃乱舞
愛・Ｒ・Ｉ・Ｂ・Ｏ・Ｎ(攻撃), -
愛・Ｒ・Ｉ・Ｂ・Ｏ・Ｎ(命中), 打撃
アークスラッシュ(攻撃), タックル
アークスラッシュ(命中), タックル
シックルダンシング(攻撃), アッパー
シックルダンシング(命中), 強打
ソアーウィンド(攻撃), アッパー
ソアーウィンド(命中), 斬撃
ロリポップ(攻撃), -
ロリポップ(命中), 強打
キューティーホーネット(攻撃), タックル
キューティーホーネット(命中), 連打
キスキスキッス(攻撃), タックル
キスキスキッス(命中), -
スターダスト・ナイト(攻撃), タックル
