
##２００３年９月９日修正
#一部、武装を統合したりしたエフェクトを削除。エフェクト追加

闘神伝
裂空斬, Saber.wav
裂空斬(命中), Saber.wav
流星脚, Jet.wav
流星脚(命中), Punch.wav
骸割り(命中), Punch.wav
飛昇斬, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
飛昇斬(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
デッドリー・レイズ, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
デッドリー・レイズ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
レイジング・サン, Swing.wav
レイジング・サン(命中), Punch.wav
飛翔斬, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
飛翔斬(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
死昇斬, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
死昇斬(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
閃光牙, Swing.wav
閃光牙(命中), Punch.wav
地獄門(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
レインボー・スプラッシュ, Snap(E).wav
レインボー・スプラッシュ(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;Punch.wav;2;Punch.wav;Punch.wav
ヘルズ・インフェルノ(命中), 2;Punch(3).wav;5;Punch.wav;2;Punch(2).wav;4;Punch(2).wav;4;Punch.wav;2;Slash.wav;2;Slash.wav
ソニック・スラッシュ, Saber.wav
ソニック・スラッシュ(命中), Saber.wav
炎魔烈襲砕, Whiz.wav
炎魔烈襲砕(命中), Combo.wav
ソアーウィンド(命中), Slash.wav
アークスラッシュ(命中), Crash.wav
ロリポップ, Sharara.wav
キューティーホーネット, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
キューティーホーネット(命中), Punch(4).wav
フレンチキッス, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
デス, 2;Saber.wav;2;Saber.wav
デス(命中), 2;Slash.wav;5;Combo.wav
サザンクロス(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav
サザンクロス, Stairs(Run).wav
コフィン(命中), 3;Slash.wav;3;Slash.wav
ヘルムクラッシュ, 2;Jet.wav
ヘルムクラッシュ(命中), Shock(Low).wav
エンジェル・ティアーズ, 2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
エンジェル・ティアーズ(命中), Crash.wav
グランド・クロス, 2;Swing.wav;10;Shock(Low).wav
グランド・クロス(命中), MicroMissile.wav
曇破, Explode.wav
曇発破, Explode.wav
喝砲烈, Swing.wav
喝砲烈(命中), Punch.wav
轟怒曇, 2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Explode(Small).wav
轟怒曇(命中), Explode(Small).wav
猿的曇破, Explode.wav
猿的曇発破, Explode.wav
猿・二つ, 2;Whiz.wav;2;Whiz.wav
猿的喝砲烈, Swing.wav
猿的喝砲烈(命中), Punch.wav
猿的轟怒曇, 2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Explode(Small).wav
猿的轟怒曇(命中), Explode(Small).wav
猿的怒々曇発破, 2;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;4;Explode(Small).wav
疾風突き, Swing.wav
疾風突き(命中), Combo.wav
豪力風神, 2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
豪力風神(命中), 2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
豪力雷神, 2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Bazooka.wav
豪力雷神(命中), Explode.wav
豪力天舞, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
豪力天舞(命中), Combo.wav
超力門土砲, 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav
大地の怒り, Bazooka.wav
爆裂大自然(命中), 2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav
副腕, 2;Swing.wav;2;Swing.wav
副腕(命中), Punch(2).wav
火の赤, FastGun.wav
火の赤(命中), FastGun.wav
風の緑(命中), Combo.wav
水の青, Charge(High).wav
終末の闇, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
終末の闇(命中), Punch(4).wav
終の黒, 3;Charge(Long).wav;10;Bazooka.wav
外道ガス, Whiz.wav
邪道ウェイブ, 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav
残酷カッター(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
超無残搾り, FastGun.wav
地獄轟火, 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav
地獄爆破, Explode.wav
木端微塵, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
木端微塵(命中), Drill.wav
エレクトロダイナマイツ, Shock(Low).wav
エレクトロダイナマイツ(命中), Explode(Small).wav
エレクトロスパルタン, 1;Swing.wav;1;Swing.wav;1;Swing.wav
エレクトロスパルタン(命中), Punch(2).wav
ジャックポット, Swing.wav
ジャックポット(命中), Slash.wav
エレクトロシャドウ(命中), Punch.wav
ハニームーン(命中), 3;Swing.wav;5;Punch.wav
Ｉ．Ｍ．Ｃ．(命中), Shock(Low).wav
ブルッドチーク(命中), 3;Punch(2).wav;5;Punch(3).wav;6;Saber.wav;2;Punch.wav
ペイルスライダー(命中), 3;Swing.wav;5;Punch.wav;6;Swing.wav;2;Punch.wav
扇, Glass.wav
牡丹, FastGun.wav
燕(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
魔竜刃(命中), 2;Slash.wav;7;Saber.wav;5;Slash.wav;10;Combo.wav
五十嵐, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
五十嵐(命中), Combo.wav
業火の紅, AntiShipMissile.wav
業火の紅(命中), Combo.wav
翼, 2;Swing.wav;2;Swing.wav
翼(命中), Punch(2).wav
イーグル・レイジ, 2;Bow.wav;2;Bow.wav
イーグル・レイジ(命中), 2;Stab.wav;2;Stab.wav
ファイアー・ホーク, Fire.wav
ファイアー・ホーク(命中), Crash.wav
コカトリス, Whiz.wav
コカトリス(命中), Combo.wav
フェニックス, 2;Bow.wav;2;Bow.wav;2;Bow.wav
フェニックス(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav
イレース, Whiz.wav
イレース(命中), Saber.wav
リセット, 2;Swing.wav
リセット(命中), 2;Slash.wav
シュレッド, 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
シュレッド(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
デリート, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
デリート(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
ハルマゲドン, MicroMissile.wav
ハルマゲドン(命中), Combo.wav
ラストジャッジ, Sharara.wav
ラストジャッジ(命中), Combo.wav
デリンジャー, Gun.wav
ショットガン, 2;Reload.wav;2;Cannon.wav 
メガブーム, 2;Reload.wav;2;Cannon.wav 
ピースメーカー, 1;Gun.wav;4;Cannon.wav;1;Gun.wav;4;Cannon.wav;1;Gun.wav;4;Cannon.wav;1;Gun.wav;4;Cannon.wav
ヴァームザリッパー, 1;Gun.wav;4;Cannon.wav;1;Gun.wav;4;Cannon.wav;1;Gun.wav;4;Cannon.wav;1;Gun.wav;4;Cannon.wav;1;Gun.wav;4;Cannon.wav
硫酸かけ, Splash.wav 
空中射撃, Gun.wav
デスマリオネット, 3;Bow.wav
デスマリオネット(命中), 3;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;8;Gun.wav
警棒, Saber.wav
全弾発射(準備), 2;Reload.wav
全弾発射, 5;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;5;Reload.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;5;Reload.wav;2;Gun.wav
不死蝶(命中), Combo.wav
夢鉄砲, Swing.wav
夢鉄砲(命中), Punch.wav
地雷震, Shock(Low).wav
地雷震(命中), Explode(Small).wav
颪, Swing.wav
颪(命中), Stab.wav
トカレフ, Gun.wav
フレイム・マッシャー(命中), 5;Drill.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
リバーサル・レイズ(命中), 5;Drill.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
リバーサル・トラップ(命中), 5;Drill.wav;2;Saber.wav;2;Saber.wav
フレイム・クラッシャー(命中), 5;Drill.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
ナイトロジェン・ブレス, Saber.wav
ナイトロジェン・ブレス(命中), Saber.wav
ナイトロジェン・ブラスト, 2;Saber.wav;2;Saber.wav
ナイトロジェン・ブラスト(命中), Saber.wav
ミッドナイト・ビヨンド, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ミッドナイト・ビヨンド(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
アイアン・ヘブン(命中), 2;Slash.wav;4;Slash.wav;4;Slash.wav;4;Slash.wav;8;Slash.wav
レッグ・ドライバー, 2;Swing.wav;3;Bow.wav
レッグ・ドライバー(命中), Stab.wav
スパーク・フレアー, 3;Swing.wav;3;Bow.wav;3;Swing.wav;3;Bow.wav;3;Swing.wav;3;Bow.wav;3;Swing.wav;3;Bow.wav;3;Swing.wav;3;Bow.wav;3;Swing.wav;3;Bow.wav;3;Swing.wav;3;Bow.wav
スパーク・フレアー(命中), 2;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav
ルナティック・ペイン(命中), 2;Punch(3).wav;5;Punch.wav;2;Punch(2).wav;4;Punch(2).wav;4;Punch.wav;2;Slash.wav;2;Slash.wav
ブレイク・ライズ, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ブレイク・ライズ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
ムーンソバット, Swing.wav
ムーンソバット(命中), Punch.wav
イドの剣, MicroMissile.wav
イドの剣(命中), Punch(4).wav;9;Punch(4).wav;9;Punch(4).wav
ガトリング砲, Gun.wav
ローリングシステム, 2;Swing.wav;7;Swing.wav;7;Swing.wav;7;Swing.wav;7;Swing.wav
ローリングシステム(命中), 2;Punch(2).wav;5;Punch(2).wav;5;Punch(2).wav;5;Punch(2).wav;5;Punch(2).wav
ナイトメアクラッシュ(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wavStairs(Run).wav
ナイトメアクラッシュ, Stairs(Run).wav
ジェノサイドクラッシャー, 2;Saber.wav;2;Saber.wav
ジェノサイドクラッシャー(命中), 2;Slash.wav
キリングソード, 2;Jet.wav
キリングソード(命中), Shock(Low).wav
エボニー・スライサー, 2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
エボニー・スライサー(命中), Crash.wav
バーサーカー・ブラスト, 2;Swing.wav;10;Shock(Low).wav
バーサーカー・ブラスト(命中), MicroMissile.wav
スターエクセキューション, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
スターエクセキューション(命中), 2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav
ヘイトリッドワルツ(命中), 3;Whip.wav;3;Whip.wav;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav
ゴールデンバレリーナ(命中), 2;Whip.wav;2;Whip.wav;2;Whip.wav
