#闘神伝昴・バトルアニメーションデータ#

#該当(あるいは近いもの)がない場合は、指定なしです。

##８月２２日付修正
#１、一部キャラのアニメーションミスを修正。

闘神伝昴
流星脚(攻撃), タックル
流星脚(命中), 強打
裂空斬(攻撃), 地表衝撃波
裂空斬(命中), 爆発
飛昇斬(攻撃), アッパー
飛昇斬(命中), 連斬撃
骸割り(攻撃), タックル
骸割り(命中), 唐竹割り
空刃螺旋絶刀(攻撃), 火炎弾
空刃螺旋絶刀(命中), 炎
地獄門(攻撃), 火炎弾
地獄門(命中), タックル;斬撃乱舞
百鬼猛襲剣(攻撃), タックル
百鬼猛襲剣(命中), 斬撃乱舞
レイジング・サン(攻撃), アッパー;気弾
レイジング・サン(命中), 打撃
ショルダー・クラッシュ(攻撃), タックル
ショルダー・クラッシュ(命中), 打撃;電撃
ソニック・スラッシュ(攻撃), 気弾
ソニック・スラッシュ(命中), 爆発
デッドリー・レイズ(攻撃), アッパー
デッドリー・レイズ(命中), 連斬撃
レインボー・スプラッシュ(攻撃), タックル
レインボー・スプラッシュ(命中), 乱打;電撃
ヘルズ・ゲート(攻撃), タックル
ヘルズ・ゲート(命中), 乱打
ヘルズ・インフェルノ(攻撃), タックル
ヘルズ・インフェルノ(命中), 斬撃乱舞
コンセクティブ・ギア(攻撃), ヌンチャク
コンセクティブ・ギア(命中), 強打
アルティメイト・マグナム(攻撃), ヌンチャク
アルティメイト・マグナム(命中), 爆発
スラント・シュート(攻撃), タックル
スラント・シュート(命中), 超打
キャノン・ウェイブ(攻撃), タックル
キャノン・ウェイブ(命中), 連打
ボイステレス・ダンシング(攻撃), タックル
ボイステレス・ダンシング(命中), 連打;連打;連打;連打
スカイハイ・デストロイヤー(攻撃), タックル
スカイハイ・デストロイヤー(命中), 乱打
サンダー・クラッカー(攻撃), タックル
サンダー・クラッカー(命中), 連打;爆発
朱雀の弓(攻撃), 振り下ろし
朱雀の弓(命中), 強打
イーグル・レイジ(攻撃), 弓矢
イーグル・レイジ(命中), 刺突
スワニー・スワップ(攻撃), アッパー
スワニー・スワップ(命中), 斬撃
コカトリス(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
コカトリス(命中), 乱打
デスティニー・アロー(攻撃), 弓矢
デスティニー・アロー(命中), 刺突;粒子噴射
ロング・バケーション(攻撃), アッパー
ロング・バケーション(命中), 強打
ファイアレス・シャーク(攻撃), 連気弾;連気弾
ファイアレス・シャーク(命中), 強打
キャプテン・シルバー(攻撃), タックル
キャプテン・シルバー(命中), 斬撃;斬撃
ファイア・ボヘミアン(攻撃), 和槍
ファイア・ボヘミアン(命中), 炎
ワイルド・ファング(攻撃), タックル
ワイルド・ファング(命中), 踏み潰し
スカイ・ボヘミアン(攻撃), -
スカイ・ボヘミアン(命中), 超打
ウィンド・ボヘミアン(攻撃), 中ビーム
ウィンド・ボヘミアン(命中), 中ビーム
ウルフィー・クラッシュ(攻撃), 気弾
ウルフィー・クラッシュ(命中), オールレンジ
ローズ・ハリケーン(攻撃), -
ローズ・ハリケーン(命中), 強打
フラワー・レボリューション(攻撃), 地表衝撃波
フラワー・レボリューション(命中), 強打
ローザ・シネンシス(攻撃), デフォルト Whiz.wav
ローザ・シネンシス(命中), 強打
クレセント・ムーン(攻撃), 小ビーム
クレセント・ムーン(命中), 小ビーム
フラワー・ガーデン(攻撃), タックル
フラワー・ガーデン(命中), 光柱
ローズ・タイフーン(攻撃), 連突
ローズ・タイフーン(命中), 連突
ローズ・レボリューション(攻撃), タックル
ローズ・レボリューション(命中), 斬撃乱舞
冷氷鬼(攻撃), 氷弾
冷氷鬼(命中), 凍結
玄武の盾(攻撃), タックル
玄武の盾(命中), 斬撃
火炎鬼(攻撃), 火炎弾
火炎鬼(命中), 炎
式神(攻撃), お札
式神(命中), 強打
真月の舞(攻撃), タックル
真月の舞(命中), 強打
鬼車(攻撃), 火炎弾
鬼車(命中), 炎
真月発光(攻撃), 発光
真月発光(命中), 超打
奈落鬼(攻撃), デフォルト Whiz.wav
奈落鬼(命中), 超打
格闘(攻撃), 格闘
格闘(命中), 格闘
ジェノサイド・キャノン(攻撃), 内蔵ガトリング
ジェノサイド・キャノン(命中), 内蔵ガトリング
ディバイディング・キャノン(攻撃), 内蔵ガトリング
ディバイディング・キャノン(命中), 内蔵ガトリング
ビースト・シュート(攻撃), -
ビースト・シュート(命中), 内蔵ガトリング
サイバリット・キャノン(攻撃), ミサイル
サイバリット・キャノン(命中), 爆発
ギガ・ファントム(攻撃), 大ビーム
ギガ・ファントム(命中), 大ビーム
セット・レディ(攻撃), タックル
セット・レディ(命中), 連打
ファイナル・キャノン(攻撃), 大ビーム
ファイナル・キャノン(命中), 大ビーム
アトミック・キャノン(攻撃), ミサイル
アトミック・キャノン(命中), 連続爆発
飛燕脚(攻撃), アッパー
飛燕脚(命中), 強打
卍丸(攻撃), 手裏剣
卍丸(命中), 斬撃
半月の舞(攻撃), アッパー
半月の舞(命中), 斬撃
白百合固め(攻撃), -
白百合固め(命中), 投げ飛ばし
月雫(攻撃), 隕石
月雫(命中), 大爆発
無双抜刀(攻撃), タックル
無双抜刀(命中), 斬撃乱舞
月下白百合(攻撃), タックル
月下白百合(命中), スクリュードライバー
シリテア(攻撃), 小ビーム
シリテア(命中), 小ビーム
ナルキッソス(攻撃), タックル
ナルキッソス(命中), タックル
アドラスティア(攻撃), 地表衝撃波
アドラスティア(命中), 強打
ギラティア(攻撃), -
ギラティア(命中), 強打
アストライア(攻撃), -
アストライア(命中), 爆発
ハイピリオン(攻撃), 発光
ハイピリオン(命中), 強打
デュオニッソス(攻撃), タックル
デュオニッソス(命中), 斬撃乱舞
カロン(攻撃), 地表衝撃波
カロン(命中), 爆発;爆発
テレストー(攻撃), 小ビーム
テレストー(命中), 小ビーム
エンセラダス(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
エンセラダス(命中), 連打
セレストー(攻撃), 大剣
セレストー(命中), 大斬撃
プロテウス(攻撃), -
プロテウス(命中), 超打
トライトン(攻撃), -
トライトン(命中), 超打
アスクレピオス(攻撃), -
アスクレピオス(命中), 乱打
キック(攻撃), -
キック(命中), 強打
空中射撃(攻撃), リボルバー
空中射撃(命中), 銃弾
硫酸グレネードランチャー(攻撃), グレネードランチャー
硫酸グレネードランチャー(命中), 強打
デリンジャー(攻撃), リボルバー
デリンジャー(命中), 銃弾
アッパー４５(攻撃), リボルバー
アッパー４５(命中), 銃弾
バイナリーアタック(攻撃), タックル
バイナリーアタック(命中), 銃弾;銃弾
ヴァームザリッパー(攻撃), サブマシンガン
ヴァームザリッパー(命中), サブマシンガン
デスマリオネット(攻撃), サブマシンガン
デスマリオネット(命中), サブマシンガン
フラッシュ・バック(攻撃), -
フラッシュ・バック(命中), 銃弾;銃弾

エイジ＝シンジョウ(闘神伝昴)
裂空斬(攻撃), 火炎弾
裂空斬(命中), 炎
死昇斬(攻撃), アッパー
死昇斬(命中), 斬撃乱舞;炎
骸割り(攻撃), タックル
骸割り(命中), 唐竹割り;大爆発
業火の紅(攻撃), 太刀
業火の紅(命中), 炎
真・地獄門(攻撃), 火炎弾
真・地獄門(命中), タックル;斬撃乱舞
真・百鬼猛襲剣(攻撃), タックル
真・百鬼猛襲剣(命中), 斬撃乱舞;斬撃乱舞
真・炎刃修羅破(攻撃), 大斬撃
真・炎刃修羅破(命中), 大斬撃;炎
