
風の谷のナウシカ
ストロボ光弾, Bomb.wav
ストロボ光弾(クリティカル), Inori.wav
鏑弾, 3;Gun.wav;Dolphin.wav
鏑弾(クリティカル), Inori.wav
短銃, Gun.wav
長銃, Rifle.wav
幻覚, Whiz.wav
幻覚(クリティカル), Inori.wav
含み針, Bow.wav
含み針(命中), Stab.wav
超常の力, Storm.wav
超常の力(命中), Crash.wav
超常の力(命中), Combo.wav
精神波, Hittyuu.wav
精神波(命中), Hide.wav
怪力, Swing.wav
怪力(命中), Crash.wav
熱線, LaserGun.wav
熱線(命中), Explode(Small).wav
巨神の火, Beam.wav
巨神の火(命中), Explode(Nuclear).wav
裁きの光, 4;Beam.wav;Explode(Nuclear).wav
裁きの光(命中), Explode(Small).wav
瘴気, -.wav
瘴気(クリティカル), Inori.wav
突進, MicroMissile.wav
突進(命中), Crash.wav
捕食, Fold.wav
捕食(命中), Hide.wav
機銃, MachineGun.wav
主砲, Cannon.wav
手榴弾, Bomb.wav
手榴弾(命中), Explode(Small).wav
地蟲, Fold.wav
地蟲(クリティカル), Bubble.wav
