使い人
体術(命中), Punch.wav
裂空刃, Whiz.wav
真魔鎌刃, Whiz.wav
魔剣槍牙, MultipleRocketLauncher.wav
烈砕斬, AntiAirMissile.wav
牙裂斬, 1;AntiAirMissile.wav;1;AntiAirMissile.wav;1;AntiAirMissile.wav
霊華塵界招, Beam.wav
霊覇封盡, Wind.wav
霊覇封盡(命中), Whiz.wav
霊覇天盡, Wind.wav
霊覇天盡(命中), Whiz.wav
魔烈風塵(準備), Wind.wav
魔烈風塵, MultipleRocketLauncher(Light).wav
魔烈風塵(命中), Explode.wav
魔覇烈昇斬舞, Storm.wav
魔覇皇龍盡, AntiShipMissile.wav
魔覇皇龍盡(命中), Explode(Nuclear).wav
霊覇鳳翼天盡, 1;AntiShipMissile.wav;1;AntiShipMissile.wav;1;AntiShipMissile.wav;1;AntiShipMissile.wav;1;AntiShipMissile.wav;1;AntiShipMissile.wav;1;AntiShipMissile.wav
霊覇鳳翼天盡(命中), Explode(Nuclear).wav
火炎弾, Cannon.wav
火炎柱陣, Bazooka.wav
火炎柱陣(命中), Fire.wav
天覇爆炎陣, Fire.wav
天覇爆炎陣(命中), Explode.wav
爆砕塵(命中), Bazooka.wav
爆炎煉牙, Fire.wav
爆炎流, Breath.wav
烈火爆炎燼, Bazooka.wav
天覇爆炎陣, Explode.wav
白炎滅灰燼, Fire.wav
降臨灰燼霊神, Warship.wav
天照降来, Fire.wav
天照降来(命中), Explode(Nuclear).wav
水招珠, Splash.wav
水招珠(命中), -.wav
覇泉霊柩, Splash.wav
覇泉霊柩(命中), Bubble.wav
蒼封聖流, Splash.wav
蒼封聖流(命中), -.wav
聖破銀雨, Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
聖破銀雨(命中), -.wav
天臨瀑布, Splash.wav
天臨瀑布(命中), Explode.wav
水龍召喚(命中), Explode.wav
砂礫槍柱, Sword.wav
蓋遷陣,	Breath.wav
砂礫槍柱, 2;Sword.wav;2;Sword.wav;2;Sword.wav
覇竜瓦礫槍(命中), Explode.wav
破邪の剣(命中), Explode.wav
念治療, Bubble.wav
