餓狼ＭＯＷ
ライジングタックル(命中), 3;Punch.wav;3;Punch.wav;Punch.wav
烈風拳, 4;Whiz.wav
烈風拳(命中), Punch.wav
ハードエッジ, Cannon.wav
ハードエッジ(命中), Punch.wav
クラックカウンター, 2;Sword.wav;Swing.wav
クラックカウンター(命中), Slash.wav
真空投げ(命中), 6;Swing.wav;5;Bazooka.wav
真空投げ(クリティカル), 1;「<BIG>フンッ！ ハァァァァァ……もらったぁぁ！！</BIG>」;Crash.wav;「<BIG>フンッ！ ハァァァァァ……もらったぁぁ！！</BIG>」
真空投げ(クリティカル), 1;「<BIG>フンッ！ ハァァァァァ……羅刹！！</BIG>」;Crash.wav;「<BIG>フンッ！ ハァァァァァ……羅刹！！</BIG>」
ダブル烈風拳, 4;Storm.wav;4;Whiz.wav
ダブル烈風拳(命中), Punch.wav
レイジングストーム, Storm.wav
レイジングストーム(命中), Shock(Low).wav
シャインナックル, Beam.wav
シャインナックル(命中), 5;Punch.wav;5;Combo.wav;Whip.wav
デッドリーレイブ・ネオ(命中), 12;Punch(4).wav;5;Combo.wav;Crash.wav
マックスダンク(命中), Punch(2).wav
パワーチャージ(命中), Crash.wav
パワーウェイブ, 3;Whiz.wav
パワーウェイブ(命中), Punch.wav
クラックシュート(命中), Punch(2).wav
ラウンドウェイブ, Explode.wav
ラウンドウェイブ(命中), Explode.wav
パワーダンク(命中), 4;Punch.wav;Explode(Small).wav
パワーゲイザー(命中), Explode(Small).wav
バスターウルフ, Cannon.wav
バスターウルフ(命中), 4;Crash.wav;Explode.wav
トリプルゲイザー, 5;Explode(Small).wav;5;Explode(Small).wav;Explode(Small).wav
トリプルゲイザー(命中), 5;Explode(Small).wav;5;Explode(Small).wav;Explode(Small).wav
発気掌, Cannon.wav
発気掌(命中), Punch.wav
連撃蹴(命中), Punch(2).wav
双掌進(命中), 5;Combo.wav;Punch.wav
虎尾脚, Whiz.wav
虎尾脚(命中), Punch.wav
斜上腿(命中), Punch(4).wav
天昇乱姫, BeamCoat.wav
天昇乱姫(命中), 1;FallDown.wav;6;「<B><BIG>昇ぉ―――乱！</BIG></B>」;1;Charge.wav;「<B><BIG>昇ぉ―――乱！ はぁぁぁぁぁ！！</BIG></B>」
双掌天蓮華(命中), 3;Combo.wav;3;Combo.wav;3;Combo.wav;2;Bomb.wav;Crash.wav
回転ドンファン, Drill.wav
回転ドンファン(命中), Punch(2).wav
飛翔脚(命中), 3;Combo.wav;Punch.wav
紫電脚(命中), Shock(Low).wav
足ビンタ(命中), Combo.wav
空砂塵(命中), Punch(3).wav
雷鳴斬, Thunder.wav
雷鳴斬(命中), Shock(Low).wav
スーパードンファン脚(命中), 6;Shock(Low).wav;9;Punch(3).wav;Crash.wav
雷鳴弾, 4;Swing.wav;Thunder.wav
雷鳴弾(命中), Explode.wav
オレ様鳳凰脚(命中), 4;「<B><BIG>始まるぜぇ……！</BIG></B>」;1;「<B><BIG>始まるぜぇ…！ オ</BIG></B>」;2;Punch.wav;1;「<B><BIG>始まるぜぇ……！ オレ</BIG></B>」;2;Punch.wav;1;「<B><BIG>始まるぜぇ……！ オレ様</BIG></B>」;2;Punch.wav;2;Punch.wav;1;「<B><BIG>始まるぜぇ……！ オレ様の</BIG></B>」;2;Combo.wav;1;「<B><BIG>始まるぜぇ……！ オレ様の一人</BIG></B>」;4;Combo.wav;1;「<B><BIG>始まるぜぇ……！ オレ様の一人舞台――！</BIG></B>」;4;Combo.wav;4;Combo.wav;1;Thunder.wav;「<B><BIG>始まるぜぇ……！ オレ様の一人舞台――！.ヒャッホーウッ！！</BIG></B>」
半月斬(命中), 3;Saber.wav;Saber.wav
灼火蹴(命中), Punch(4).wav
流星落(命中), 4;Punch.wav;Fire.wav
鳳翼天翔脚(命中), 3;Saber.wav;6;Saber.wav;3;Fire.wav;3;Fire.wav;3;Fire.wav;Fire.wav
鳳凰脚(命中), 1;「<B><BIG>あーたたたたたたたたたたた！</BIG></B>」;3;Combo.wav;3;Combo.wav;3;Combo.wav;3;Combo.wav;1;「<B><BIG>あーたたたたたたたたたたた！.鳳凰脚――！！</BIG></B>」;2;Slash.wav;2;Slash.wav;2;Slash.wav;1;Fire.wav;「<B><BIG>あーたたたたたたたたたたた！.鳳凰脚――！！</BIG></B>」
風牙(クリティカル), 1;「<BIG>孔牙っ！！</BIG>」;Crash.wav;「<BIG>孔牙っ！！</BIG>」
風牙(クリティカル), 1;「<BIG>旋牙っ！！</BIG>」;Punch.wav;「<BIG>旋牙っ！！</BIG>」
風牙(クリティカル), 1;「<BIG>弓牙っ！！</BIG>」;Punch.wav;「<BIG>弓牙っ！！</BIG>」
風牙(クリティカル), 1;「<BIG>滑牙っ！！</BIG>」;Punch.wav;「<BIG>滑牙っ！！</BIG>」
風牙, Bazooka.wav
風牙(命中), Punch.wav
雷牙(命中), Combo.wav
猛虎硬爬山, Bazooka.wav
猛虎硬爬山(命中), Shock(Low).wav
震牙, Bazooka.wav
震牙(命中), Crash.wav
龍牙(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;Stab.wav
零牙, Bazooka.wav
天龍烈牙, Bazooka.wav
零牙(命中), 1;「<B><BIG>目障りだ……！</BIG></B>」;7;Shock(Low).wav;10;Reload.wav;1;「<B><BIG>目障りだ……！ 消えろおっ！！</BIG></B>」;1;BreakOff.wav;「<B><BIG>目障りだ……！ 消えろおっ！！</BIG></B>」
天龍烈牙(命中), 1;「<B><BIG>フンッ！</BIG>」;5;Punch.wav;1;「</B><B><BIG>フンッ！ セイッ！</BIG></B>」;8;Shock(Low).wav;1;「<B><BIG>フンッ！ セイッ！ 砕けろぉっ！！</BIG></B>」;1;Crash.wav;「<B><BIG>フンッ！ セイッ！ 砕けろぉっ！！</BIG></B>」
ローリングサンダー(命中), Punch(2).wav
バッフルズ, Storm.wav
バッフルズ(命中), Shock(Low).wav
ハリア・ビー, Bomb.wav
ハリア・ビー(命中), Combo.wav
ディ・ハインド, Swing.wav
ディ・ハインド(命中), 3;Punch.wav;4;Combo.wav;Punch.wav
ガブルトマホーク, Swing.wav
ガブルトマホーク(命中), Punch.wav
クレイジーイワン, Swing.wav
クレイジーイワン(命中), Slash.wav
メニメニトービードゥ, MachineCannon.wav
メニメニトービードゥ(命中), 4;FastGun.wav;FastGun.wav
オーロラ, Swing.wav
オーロラ(命中), 4;Combo.wav;1;Null.wav;4;Combo.wav;1;Null.wav;4;Combo.wav;4;Null.wav;1;「（ちゅっ）」;UnitOn.wav
アンニュイ・マドモアゼル, Flair.wav
アンニュイ・マドモアゼル(命中), 1;「<B><SIZE=13>こいつぅ…….ムカツク</SIZE></B>」;3;Combo.wav;1;「<B><SIZE=13>こいつぅ…….ムカツクムカツク</SIZE></B>」;3;Combo.wav;1;「<B><SIZE=13>こいつぅ…….ムカツクムカツクムカツクぅ！！</SIZE></B>」;3;Combo.wav;1;「<B><SIZE=13>こいつぅ…….ムカツクムカツクムカツクぅ！！ ムキー！！</SIZE></B>」;10;Crash.wav;「<B><SIZE=13>こいつぅ…….ムカツクムカツクムカツクぅ！！ ムキー！！</SIZE></B>.<small>……あ～らごめんあそばせ、オホホ</small>」
龍閃拳(命中), Punch.wav
飛燕疾風脚(命中), Punch(2).wav
虎閃脚(命中), Punch.wav
暫烈拳(命中), Combo.wav
極限虎砲(命中), 3;Slash.wav;3;Slash.wav;Slash.wav
覇王翔吼拳(準備), Charge.wav
覇王翔吼拳, Bazooka.wav
覇王翔吼拳(命中), Crash.wav
龍虎乱舞(命中), 12;FastGun.wav;6;Slash.wav;3;Slash.wav;3;Slash.wav;Slash.wav
手裏剣, 2;Swing.wav;Swing.wav
手裏剣(命中), 2;Stab.wav;Stab.wav
空破弾(命中), Punch.wav
落下斬, Whiz.wav
唐草斬り, Swing.wav
超必殺手裏剣, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;4;Swing.wav;Swing.wav
超必殺手裏剣(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;4;Stab.wav;Slash.wav
奥義・超必殺竜巻(命中), 3;Slash.wav;3;Slash.wav;Slash.wav
超爆炎苦無, 14;MachineCannon.wav;Cannon.wav
超爆炎苦無(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;Explode.wav
究極奥義・超爆炎竜巻(命中), Fire.wav
アクティブテュポーン, Missle.wav
アクティブテュポーン(命中), 4;Swing.wav;Shock(Low).wav
ポセイドンウェーブ, 8;Stairs(Run).wav;Swing.wav
グリドロスーパーキック, Cannon.wav
グリドロスーパーキック(命中), Crash.wav
イカロスクラッシュ(命中), 5;Bomb.wav;Falldown.wav
オリンポスオーバー, 5;Bomb.wav
ヘラクレススルー(命中), 6;Swing.wav;Crash.wav
