鬼哭街
臥龍尾(命中), Punch.wav
轟雷功, Thunder.wav
戴天流剣技, Saber.wav
戴天流剣技(命中), Stab.wav
戴天流剣技(命中), Slash.wav
連環套路, 2;Saber.wav;1;Saber.wav;2;Saber.wav;3;Saber.wav;Saber.wav
連環套路(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
黒手烈震波, Swing.wav
黒手烈震波(命中), FightHit(1).wav
紫電掌, Swing.wav
紫電掌(命中), Thunder.wav
双撃紫電掌, Swing.wav;2;Swing.wav
双撃紫電掌(命中), Thunder.wav
阻止(六塵散魂無縫剣), 0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav
六塵散魂無縫剣, 0.5;Saber.wav;0.5;Saber.wav;0.5;Saber.wav;0.5;Saber.wav;0.5;Saber.wav;0.5;Saber.wav;0.5;Saber.wav;0.5;Saber.wav;0.5;Saber.wav;Saber.wav
六塵散魂無縫剣(命中), 0.5;Stab.wav;0.5;Stab.wav;0.5;Stab.wav;0.5;Stab.wav;0.5;Stab.wav;0.5;Stab.wav;0.5;Stab.wav;0.5;Stab.wav;0.5;Stab.wav;Stab.wav
神速刺突, 5;Explode.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
神速刺突(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
丹鳳朝陽, AntiAirMissile.wav
丹鳳朝陽(命中), Explode(Far).wav
左穿花手, Cannon.wav
左穿花手(命中), Explode(Small).wav
闖少林, 2;Cannon.wav;AntiShipMissile.wav
闖少林(命中), 1;Bazooka.wav;1;Bazooka.wav;1;Bazooka.wav;Bazooka.wav
阿修羅憤怒弾(準備), Chaff.wav;Transform.wav 
阿修羅憤怒弾, 1;Cannon.wav;1;Cannon.wav;1;Cannon.wav;1;Cannon.wav;1;Cannon.wav;Cannon.wav
阿修羅憤怒弾(命中), 1;Bazooka.wav;1;Bazooka.wav;1;Bazooka.wav;1;Bazooka.wav;1;Bazooka.wav;1;Bazooka.wav;MicroMissile.wav
急落鷹爪, Saber.wav
急落鷹爪(命中), Stab.wav
早天鷹翔, Whiz.wav
早天鷹翔(命中), Slash.wav
鷹爪連撃, 1;Whiz.wav;1;Saber.wav;Saber.wav
鷹爪連撃(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
一嘴双爪繚乱舞, 1;Saber.wav;1;Whiz.wav;1;Saber.wav;1;Whiz.wav;1;Saber.wav;Saber.wav
一嘴双爪繚乱舞(命中), 1;Swing.wav;1;Stab.wav;1;Slash.wav;1;Stab.wav;1;Slash.wav;Slash.wav
ワイヤーロッド(準備), BeamSaber.wav
ワイヤーロッド, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
ワイヤーロッド(命中), 2;Slash(3).wav;2;Slash(3).wav;2;Slash(3).wav;2;Slash(3).wav;2;Slash(3).wav;2;Slash(3).wav
鴛鴦脚, 2;BeamShot.wav;1;BeamShot.wav;BeamShot.wav
鴛鴦脚(命中), Bazooka.wav
外家拳法(命中), Punch.wav
浮萍拐, Swing.wav
浮萍拐(命中), Combo.wav
護手鉤＆浮萍拐, Swing.wav
護手鉤＆浮萍拐(命中), Combo.wav
阿吽覆滅陣, 3;AntiShipMissile.wav;2;<SIZE=48><B>　　　阿　　　</B></SIZE>;3;AntiAirMissile.wav;5;<SIZE=48><B>　　　吽　　　</B></SIZE>;Explode(Nuclear).wav;<SIZE=48><B>　　 覆滅 　　</B></SIZE>
擲箭, Whiz.wav
擲箭(命中), Stab.wav
棗核箭, Whiz.wav
棗核箭(命中), Stab.wav
影縫八卦, 3;Whiz.wav;2;Whiz.wav;1;Whiz.wav;1;Whiz.wav;2;Whiz.wav;Whiz.wav;3;Whiz.wav;2;Whiz.wav
影縫八卦(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;Stab.wav
幻影錯綜刺, 1;Whiz.wav;5;Whiz.wav;2;Whiz.wav;5;Whiz.wav;3;Whiz.wav;Whiz.wav
幻影錯綜刺(命中), 1;Stab.wav;1;Stab.wav;2;Stab.wav;2;Stab.wav;3;Stab.wav;Stab.wav
飛爪・飛鐃, Whiz.wav
飛爪・飛鐃(命中), Slash.wav
クラッキング, 5;WindowOpen.wav;Computer.wav
クラッキング(クリティカル), Chaff.wav
網絡蠱毒, 5;WindowOpen.wav;Computer.wav
網絡蠱毒(命中), Chaff.wav
機銃, MachineGun.wav
ＦＡＥ榴散弾, Bazooka.wav
ＦＡＥ榴散弾(命中), Explode(Far).wav
高周波振動バイス, Drill.wav
5.56mm多連装チェーンガン, MachineGun.wav
20mm携行レールガン, 1;Explode(Nuclear).wav;Rifle.wav
20mm携行レールガン, 1;Shock(low).wav;Explode.wav

汎用
Ｐ９０, MachineGun.wav
