
上弦の伍・玉壺
テレポート, 緊急テレポート Bubble.wav 壺移動


鬼滅の刃
格闘, 格闘
日輪刀, 日本刀
斧, トマホーク
流流舞い(炭)(準備), 日本刀
流流舞い(炭)(攻撃), 回転斬撃 水色
流流舞い(炭)(命中), 大斬撃 水色
流流舞い(準備), 妖刀
流流舞い(攻撃), 回転斬撃 水色
流流舞い(命中), 大斬撃 水色
流流舞い(ザ)(準備), 日本刀
流流舞い(ザ)(攻撃), 回転斬撃 白
流流舞い(ザ)(命中), 大斬撃 白
打ち潮(炭)(準備), 日本刀
打ち潮(炭)(攻撃), なぎ払い 水色
打ち潮(炭)(命中), 津波;横大斬撃 水色
打ち潮(準備), 妖刀
打ち潮(攻撃), なぎ払い 水色
打ち潮(命中), 津波;横大斬撃 水色
打ち潮(ザ)(準備), 日本刀
打ち潮(ザ)(攻撃), なぎ払い 白
打ち潮(ザ)(命中), 横大斬撃 白 Splash.wav
滝壺(炭)(準備), 日本刀
滝壺(炭)(攻撃), 白兵連撃 水色
滝壺(炭)(命中), 光球放出 水色 Splash.wav
滝壺(準備), 妖刀
滝壺(攻撃), 白兵連撃 水色
滝壺(命中), 光球放出 水色 Splash.wav
滝壺(ザ)(準備), 日本刀
滝壺(ザ)(攻撃), 白兵連撃 白
滝壺(ザ)(命中), 光球放出 白 Splash.wav
水車(炭)(準備), 日本刀
水車(炭)(攻撃), 会話 竈門炭治郎 "水の呼吸 弐ノ型" 固定;ディレイ 2;会話 竈門炭治郎 "水の呼吸 弐ノ型 <b>水車</b>" 固定;回転 Swing.wav 1 速 -;連続描画 Bullet\EFFECT_BeamRingCutter(Blue)[01-04].bmp 64 2 2 前面 - Wind.wav - - 方向判定 - 下辺
水車(炭)(攻撃), 会話 竈門炭治郎 "水の呼吸 弐ノ型・改" 固定;ディレイ 2;会話 竈門炭治郎 "水の呼吸 弐ノ型・改 <b>横水車</b>" 固定;なぎ払い大炎斬撃 水色 Swing.wav
水車(炭)(命中), 円弧斬撃 青 Drill.wav
水車(準備), 妖刀
水車(攻撃), 回転 Swing.wav 1 速 -;連続描画 Bullet\EFFECT_BeamRingCutter(Blue)[01-04].bmp 64 2 2 前面 - Wind.wav - - 方向判定 - 下辺
水車(命中), 円弧斬撃 青 Drill.wav
水車(ザ)(準備), 日本刀
水車(ザ)(攻撃), 回転 Swing.wav 1 速 -;連続描画 Bullet\EFFECT_BeamRingCutter(White)[01-04].bmp 64 2 2 前面 - Wind.wav - - 方向判定 - 下辺
水車(ザ)(命中), 円弧斬撃 白 Drill.wav
ねじれ渦(炭)(準備), 日本刀
ねじれ渦(炭)(攻撃), @戦闘アニメ_スピン開始 水色 Charge.wav
ねじれ渦(炭)(命中), 竜巻 青 Slash(4).wav
ねじれ渦(準備), 妖刀
ねじれ渦(攻撃), @戦闘アニメ_スピン開始 水色 Charge.wav
ねじれ渦(命中), 竜巻 青 Slash(4).wav
ねじれ渦(ザ)(準備), 妖刀
ねじれ渦(ザ)(攻撃), @戦闘アニメ_スピン開始 水色 Charge.wav
ねじれ渦(ザ)(命中), 竜巻 青 Slash(4).wav
生生流転(炭)(準備), 日本刀
