
#　　エフェクトらしいエフェクトがあんまりないんで、いつも以上に適当です。

アルル＝ナジャ
ブレインダムド, 発光
ばよばよ, 発光
ばよえ～ん, 発光
イリュージョン, 発光
ファイアー, 火炎弾
アイスストーム, 氷弾
ばよひひひ～, 発光
ジュゲム, 発光;爆発
ブレインダムド(Ｄ), 発光
ばよばよ(Ｄ), 発光
ばよえ～ん(Ｄ), 発光
イリュージョン(Ｄ), 発光
ファイアー(Ｄ), 火炎弾
アイスストーム(Ｄ), 氷弾
ばよひひひ～(Ｄ), 発光
ジュゲム(Ｄ), 発光;爆発
わんだふりゃ魔導砲, 巨大ビームランチャー

シェゾ＝ウィグィィ
ルアク・ウォイド, 発光
スリープ, 発光
ファイアー, 火炎弾
アイスストーム, 氷弾
リバイア, 発光
闇の剣, 呪剣
アレイアード, 光球 ブラック
アレイアード・ロン, 光球 ブラック
アレイアード・スペシャル, 光球 ブラック
飛びかかる, タックル

闇の剣(魔導物語)
闇の剣, 呪剣
連続斬撃, 呪剣;連斬撃

ルルー(魔導物語)
破岩掌, 超アッパー
背負い投げ, 投げ飛ばし
女王ウィップ, 鞭
ルルービーム, 大ビーム
女王乱舞, 乱打

ミノタウロス(魔導物語)
咆哮, 音波
殺人的一撃, 巨大斧
連続攻撃, 巨大斧;連斬撃
渾身の一撃, 巨大斧突撃

闇の貴公子サタン
吸収, タックル
サタンソード(攻撃), １ＷＡＹ射出
サタンソード(命中), 斬撃
連続攻撃(攻撃), １ＷＡＹ射出
連続攻撃(命中), 斬撃;斬撃

ルーンロード(魔導物語)
アイスストーム, 氷弾
氷の拳, スーパーパンチ ブルー
氷の衣, 発光 ブルー

魔導物語
襲いかかる, タックル
白い粉, 煙 白
尻尾, 刺突
くちばし, 刺突
獄, 発光 ブラック
腐獄, 発光 ブラック
怨獄, 発光 ブラック
怨, 発光 ブラック
腐撃破, 発光 ブラック
四つの爪, 爪撃 二刀流;
飛びかかる, 爪撃
猛火の如き風, 旋風 レッド
爪, 爪撃
連続攻撃(爪), 爪撃;爪撃
妖しく光る目(攻撃), 邪眼解放
妖しく光る目(命中), 魔法集中 レッド
噛みつき, 噛み付き
真空の刃, 気斬
格闘, 連打
体液, 飛沫
ぷよぷよあたっく, タックル
うなって攻撃, タックル
ぷよぷよファイト, タックル
冷たい手, パンチ
赤い液体, 飛沫 レッド
キック, キック
急降下キック, スーパーキック
分身攻撃, キック;キック
平手打ち, パンチ
お茶, 飛沫 グリーン
太鼓, 音波
体当たり, タックル
ナスファイアー, 火炎放射
箒(攻撃), 斬撃
箒(命中), ダメージ
ファイアー, 火炎弾
アイス, 氷弾
箒の舞(攻撃), 斬撃乱舞
箒の舞(命中), 乱打
メテオ, 流星
踊り(攻撃), 回転;音符
踊り(命中), 回転
お歌, 音符
耳をつんざく歌声, 音符
光の帯, 旋回光弾 ホワイト
ひれパンチ, 打突
必殺回し蹴り, スピンキック
ふぃっしゅ！, 発光
風邪をうつす, 波動放射
わっ！, 文字発射 わっ
笛を吹く, 音符
笛(攻撃), 斬撃
笛(命中), ダメージ
毒水, 飛沫
毒爪, 爪撃
石化, 小ビーム イエロー
毒バエ, 蜂
脳みそを吸い取る, タックル
頭突き, ヘッドバッド
誘惑からのビンタ(攻撃), 眼球;パンチ
誘惑からのビンタ(命中), 打突
憑依, タックル
冷気, 吹雪
ひっかく, 爪撃
ファイアーブレス, 火炎放射
グレートファイアー, 超火炎放射
ドラコスペシャル, 乱打
ダグアカイザン, 発光
ヨグ・ストーム, 発光 レッド
毒の霧, 煙
空手チョップ, パンチ
刀, 日本刀
鼻をかむ, 飛沫
激怒パンチ(攻撃), パンチ
激怒パンチ(命中), 超打
不思議なダンス, 回転
血を吸う, タックル
連続攻撃(体), タックル;タックル;タックル
壮絶な声, 音波;音波;音波
突き刺さる悲鳴, 音波;音波;音波
強烈な波動, 音波;音波;音波
吸血, タックル
闇のムチ, 鞭
剣を横に振るう, 薙ぎ払い
剣, 剣
邪気, 魔法放射 ブラック
炎, 火炎放射
