リリカルなのは
ディバインバスター・ＦＰ(解説), $(ユニット)はディバインバスター・フルパワーの呪文を唱えた。
レイジングハート・ＥＸ(解説), $(ユニット)はレイジングハート・エクセリオンで攻撃をかけた。
フラッシュインパクト(解説), $(ユニット)はレイジングハートに魔力を込めて攻撃をかけた。
フラッシュインパクト(ＥＸ)(解説), $(ユニット)はレイジングハート・エクセリオンに魔力を込めて攻撃をかけた。
ディバインバスター・ＥＸ(解説), $(ユニット)はディバインバスター・エクステンションの呪文を唱えた。
エクセリオンバスターＦＢ(解説), $(ユニット)はエクセリオンバスター・フォースバーストの呪文を唱えた。
ＥＸバスターＡ．Ｃ．Ｓ(解説), $(ユニット)はエクセリオンバスター・Ａ．Ｃ．Ｓ．の呪文を唱えた。
サイズスラッシュ(解説), $(ユニット)はサイズスラッシュで攻撃をかけた。
アークセイバー(解説), $(ユニット)はアークセイバーで攻撃をかけた。
ハーケンスラッシュ(解説), $(ユニット)はハーケンスラッシュで攻撃をかけた。
ハーケンセイバー(解説), $(ユニット)はハーケンセイバーで攻撃をかけた。
ＰＬ・ファランクスシフト(解説), $(ユニット)はフォトンランサー・ファランクスシフトの呪文を唱えた。
プラズマザンバーＢ(解説), $(ユニット)はプラズマザンバーブレイカーの呪文を唱えた。
バリアブレイク(解説), $(ユニット)はバリアブレイクで攻撃をかけた。
ラウンドガーダー・ＥＸ(解説), $(ユニット)はラウンドガーダー・エクステンドの呪文を唱えた。
ＰＬ・マルチショット(解説), $(ユニット)はフォトンランサー・マルチショットの呪文を唱えた。
スティンガーブレイドＥＳ(解説), $(ユニット)はスティンガーブレイド・エクスキューションシフトの呪文を唱えた。
シュランゲバイセン・Ａ(解説), $(ユニット)はシュランゲバイゼン・アングリフで攻撃をかけた。
旅の鏡(解説), $(ユニット)は旅の鏡で攻撃をかけた。
赤竜召喚(解説), $(ユニット)は赤竜を召喚して攻撃をかけた。
シュワルツ・ヴィルクング(解説), $(ユニット)はシュワルツ・ヴィルクングで攻撃をかけた。
ＰＬ・ジェノサイドシフト(解説), $(ユニット)はフォトンランサー・ジェノサイドシフトの呪文を唱えた。
