
リリカルなのは
##なのは##
攻撃無効化(プロテクション), バリア Flair.wav プロテクション
攻撃無効化(プロテクション・パワード), バリア Flair.wav プロテクション・パワード
レストリクトロック(準備), ミッド式魔法陣 Hittyuu.wav 桃 背面
レストリクトロック(攻撃), レストリクトロック
レストリクトロック(命中), 飛沫 桃 BeamCoat.wav
レイジングハート(準備), 振る武器 EFFECT_NANOHA_RaisingHeart32.bmp Reload(4).wav
レイジングハート(攻撃), 振る武器突撃 EFFECT_NANOHA_RaisingHeart32.bmp
レイジングハート(命中), @戦闘アニメ_白兵武器攻撃;ダメージ FightHit(2).wav
フラッシュインパクト(準備), ミッド式魔法陣 Hittyuu.wav 桃 背面
フラッシュインパクト(攻撃), @戦闘アニメ_急降下攻撃共通 Anime\EFFECT_NANOHA_RaisingHeart32.bmp
フラッシュインパクト(命中), @戦闘アニメ_急降下命中共通 Anime\EFFECT_NANOHA_RaisingHeart32.bmp
ディバインバスター(準備), 粒子集中 Hittyuu.wav 桃;_
射撃武器 Anime\EFFECT_NANOHA_RaisingHeart248.bmp 48 Reload(5).wav
ディバインバスター(攻撃), ビームライフル 桃 Anime\EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 48
ディバインバスター(命中), 小ビーム 桃
ディバインシューター(準備), ミッド式魔法陣 桃 Hittyuu.wav 背面
ディバインシューター(攻撃), 拡散ビームライフル 桃 EFFECT_NANOHA_RaisingHeart248.bmp 48
ディバインシューター(命中), ビームショットキャノン 桃 Explode.wav
ディバインバスター・ＦＰ(準備), Hittyuu.wav;@足元巨大魔法陣_なのは 背面
ディバインバスター・ＦＰ(攻撃), 10;粒子集中 桃 Charge(High).wav 対象ユニットＩＤ;_
ビームランチャー EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 桃 48
ディバインバスター・ＦＰ(命中), 中ビーム 桃
ディバインバスター・ＦＢ(準備), Hittyuu.wav;@足元巨大魔法陣_なのは 背面
ディバインバスター・ＦＢ(攻撃), 10;粒子集中 桃 Charge(High).wav 対象ユニットＩＤ;_
拡散ビームライフル EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 桃 48
ディバインバスター・ＦＢ(命中), 拡散ビーム 桃
ディバインシューターＦＰ(準備), Hittyuu.wav;@足元巨大魔法陣_なのは 背面
ディバインシューターＦＰ(攻撃), 拡散ビームライフル EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 桃 48
ディバインシューターＦＰ(命中), 包囲ビーム 桃 Explode.wav;包囲ビーム 桃 Explode.wav
スターライトブレイカー(準備), Hittyuu.wav;@足元巨大魔法陣_なのは 背面;_
射撃武器 EFFECT_NANOHA_RaisingHeart2(ShootingMode)48.bmp 48 Reload(4).wav
スターライトブレイカー(攻撃), 10;粒子集中 桃 Charge(2).wav 対象ユニットＩＤ;_
バスタービームライフル EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 桃 48 Explode(Far).wav
スターライトブレイカー(命中), 大ビーム 桃 Explode(Far).wav
スターライトブレイカー＋(準備), Hittyuu.wav;@足元巨大魔法陣_なのは 背面;_
射撃武器 EFFECT_NANOHA_RaisingHeart2(ShootingMode)48.bmp 48 Reload(4).wav
スターライトブレイカー＋(攻撃), 巨大ビームランチャー Anime\EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 48 MicroMissile.wav
スターライトブレイカー＋(命中), 巨大ビーム 桃 Explode(Far).wav;超爆発 Explode(Nuclear).wav
レイジングハート・ＥＸ(準備), 振る武器 EFFECT_NANOHA_RaisingHeartExcellion.bmp Reload(4).wav
レイジングハート・ＥＸ(攻撃), 振る武器突撃 EFFECT_NANOHA_RaisingHeartExcellion.bmp
レイジングハート・ＥＸ(命中), @戦闘アニメ_白兵武器攻撃;ダメージ FightHit(2).wav
フラッシュインパクト(ＥＸ)(準備), ミッド式魔法陣 Hittyuu.wav 桃 背面
フラッシュインパクト(ＥＸ)(攻撃), @戦闘アニメ_急降下攻撃共通 Anime\EFFECT_NANOHA_RaisingHeartExcellion.bmp
フラッシュインパクト(ＥＸ)(命中), @戦闘アニメ_急降下命中共通 Anime\EFFECT_NANOHA_RaisingHeartExcellion.bmp
当て身技(バリアバースト), @戦闘アニメ_バリア発動 Flair.wav バリアバースト;@戦闘アニメ_大爆発命中
バリアバースト(命中), ダメージ Crash.wav
アクセルシューター(準備), ミッド式魔法陣 桃 Hittyuu.wav 背面
アクセルシューター(攻撃), 拡散ビームライフル 桃 EFFECT_NANOHA_RaisingHeartExcellion2.bmp
アクセルシューター(命中), 包囲ビーム 桃 Explode.wav;包囲ビーム 桃 Explode.wav
ディバインバスター(ＥＸ)(準備), 粒子集中 Hittyuu.wav 桃;_
射撃武器 Anime\EFFECT_NANOHA_RaisingHeartExcellion(BasterMode).bmp 64 Reload(5).wav
ディバインバスター(ＥＸ)(攻撃), ビームライフル 桃 Anime\EFFECT_NANOHA_RaisingHeartExcellion(BasterMode)(Fin).bmp 64.bmp 48
ディバインバスター(ＥＸ)(命中), 小ビーム 桃
ディバインバスター・ＥＸ(準備), -
ディバインバスター・ＥＸ(攻撃), -
ディバインバスター・ＥＸ(命中), 中ビーム 桃
エクセリオンバスター(準備), ミッド式魔法陣 桃 Hittyuu.wav 背面
エクセリオンバスター(攻撃), バスタービームライフル 桃 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode).bmp 64
エクセリオンバスター(命中), 大ビーム 桃
エクセリオンバスターＦＢ(準備), -
エクセリオンバスターＦＢ(攻撃), -
エクセリオンバスターＦＢ(命中), 大ビーム 桃;連続大爆発 6 Explode(Far).wav;超爆発 Explode(Nuclear).wav
ＥＸバスターＡ．Ｃ．Ｓ(準備), 射撃武器 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode).bmp Reload(4).wav
ＥＸバスターＡ．Ｃ．Ｓ(攻撃), -
ＥＸバスターＡ．Ｃ．Ｓ(命中), 大ビーム 桃;超爆発 Explode(Nuclear).wav
スターライトブレイカーex(準備), ミッド式魔法陣 桃 背面 Hittyuu.wav;_
EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp Reload(4).wav 64
スターライトブレイカーex(攻撃), -
スターライトブレイカーex(命中), 巨大ビーム 桃 Explode(Far).wav;_
連続大爆発 6 Explode(Far).wav;超爆発 Explode(Nuclear).wav
##フェイト##
攻撃無効化(ディフェンサー), バリア Flair.wav ディフェンサー
ライトニングバインド(準備), 粒子集中 Hittyuu.wav 黄
ライトニングバインド(攻撃), 魔法放射 黄
ライトニングバインド(命中), ミッド式魔法陣 黄 Hittyuu.wav;球電 Boot.wav
バルディッシュ(準備), 振る武器 EFFECT_NANOHA_Bardiche32.bmp Reload(4).wav
バルディッシュ(攻撃), 振る武器突撃 EFFECT_NANOHA_Bardiche32.bmp;斬撃
バルディッシュ(攻撃), 振る武器突撃 EFFECT_NANOHA_Bardiche32.bmp;なぎ払い
バルディッシュ(攻撃), 振る武器突撃 EFFECT_NANOHA_Bardiche32.bmp;振り上げ
バルディッシュ(攻撃), 振る武器突撃 EFFECT_NANOHA_Bardiche32.bmp;振り下ろし
バルディッシュ(命中), ダメージ Slash.wav
サイズスラッシュ(準備), 振る武器 EFFECT_NANOHA_Bardiche32.bmp Reload(4).wav;_
振る武器 EFFECT_NANOHA_Bardiche(ScytheForm)32.bmp TransForm.wav
サイズスラッシュ(攻撃), 振る武器突撃 EFFECT_NANOHA_Bardiche(ScytheForm)32.bmp FlyBy(High).wav
サイズスラッシュ(命中), @戦闘アニメ_斬撃攻撃;光斬撃 黄 中
サイズスラッシュ(命中), @戦闘アニメ_なぎ払い攻撃;光なぎ払い 黄 中
サイズスラッシュ(命中), @戦闘アニメ_振り上げ攻撃;光振り上げ 黄 中
サイズスラッシュ(命中), @戦闘アニメ_振り下ろし攻撃;光振り下ろし 黄 中
アークセイバー(準備), 振る武器 EFFECT_NANOHA_Bardiche32.bmp Reload(4).wav;_
振る武器 EFFECT_NANOHA_Bardiche(ScytheForm)32.bmp TransForm.wav
アークセイバー(攻撃), 回転投擲武器 Bullet\EFFECT_ShootingCutter(Yellow)01.bmp 発光 Swing(2).wav
アークセイバー(命中), シュートカッター 黄
サンダーフォール(準備), Hittyuu.wav;@足元巨大魔法陣_フェイト 背面
サンダーフォール(攻撃), -
サンダーフォール(命中), 大電撃
ＰＬ・ファランクスシフト(準備), Hittyuu.wav;@足元巨大魔法陣_フェイト 背面
ＰＬ・ファランクスシフト(攻撃), ファランクスシフト
ＰＬ・ファランクスシフト(命中), 拡散ビーム 黄 Thunder.wav;拡散ビーム 黄 Thunder.wav;超爆発 Explode(Far).wav
攻撃無効化(ディフェンサー・プラス), バリア Flair.wav ディフェンサー・プラス
バルディッシュ・アサルト(準備), 振る武器 EFFECT_NANOHA_BardicheAssult.bmp Reload(4).wav
バルディッシュ・アサルト(攻撃), 振る武器突撃 EFFECT_NANOHA_BardicheAssult.bmp;斬撃
バルディッシュ・アサルト(攻撃), 振る武器突撃 EFFECT_NANOHA_BardicheAssult.bmp;なぎ払い
バルディッシュ・アサルト(攻撃), 振る武器突撃 EFFECT_NANOHA_BardicheAssult.bmp;振り上げ
