グルグル
盗む, タックル
盗む(クリティカル), 盗み
カッコいいポーズ(攻撃), 発光 黄
カッコいいポーズ(命中), 発光 黄
キラキラ・自分の剣, ビームナイフ 白
短剣, ナイフ
勇者の拳, スーパーパンチ 赤
キラキラ・火の剣, ビームサーベル 赤
キラキラ・水の剣, ビームサーベル 青
キラキラ・風の剣, ビームサーベル 白
キラキラ・地の剣, ビームサーベル 橙
キラキラ・勇者の剣, ハイパービームサーベル 白
噛み付き, 噛み付き
さっぱり妖精召喚(準備), 六芒星
さっぱり妖精召喚(攻撃), -
さっぱり妖精召喚(命中), -
長い声のネコ(準備), 六芒星
長い声のネコ(攻撃), 音波
長い声のネコ(命中), 音波
ミグミグげきじょう(準備), 六芒星
ミグミグげきじょう(攻撃), -
ミグミグげきじょう(命中), -
すてきなお洋服(準備), 六芒星
すてきなお洋服(攻撃), -
すてきなお洋服(命中), -
くさいにおいのネコ(準備), 六芒星
くさいにおいのネコ(攻撃), 煙 黄
くさいにおいのネコ(命中), 煙 黄
魔法陣の杖, 杖
トーラ(準備), 六芒星
トーラ(攻撃), -
トーラ(命中), 炎
ツチヘビ(準備), 六芒星
ツチヘビ(攻撃), -
ツチヘビ(命中), ダメージ
プチ惑星(準備), 六芒星
プチ惑星(攻撃), 強風
プチ惑星(命中), -
トカゲのしっぽ(準備), 六芒星
トカゲのしっぽ(攻撃), 火炎放射
トカゲのしっぽ(命中), 火炎放射
へびいちご(準備), 六芒星
へびいちご(命中), キャノン砲 2
じいさん大活躍(準備), 六芒星
じいさん大活躍(命中), 格闘
ブレイクビー召喚(準備), 六芒星
ブレイクビー召喚(攻撃), 地表衝撃波
ブレイクビー召喚(命中), ダメージ
わかれのウインク(準備), 六芒星
わかれのウインク(攻撃), -
わかれのウインク(命中), 重力圧縮
ベームベーム召喚(準備), 六芒星
ベームベーム召喚(攻撃), 拡散ビーム 赤
ベームベーム召喚(命中), 拡散ビーム 赤
サイレン召喚(準備), 六芒星
サイレン召喚(攻撃), 音波
サイレン召喚(命中), 音波
矢, 矢
機雷, 爆弾
くまたいよう(準備), 六芒星
くまたいよう(攻撃), 光長距離 黄
くまたいよう(命中), 発光 黄
リンゴ爆弾(準備), リンゴ
リンゴ爆弾(命中), 爆発 Explode.wav
突撃, スーパータックル 黄
格闘, 格闘
キタキタ踊り(準備), バストアップ MCG_Kitakitaoyaji.bmp
キタキタ踊り(攻撃), 格闘
キタキタ踊り(命中), 格闘
キタキタ踊り(MAP)(準備), バストアップ MCG_Kitakitaoyaji.bmp
キタキタ踊り(MAP)(攻撃), -
キタキタ踊り(MAP)(命中), -
聖水, 聖水
スクロール(氷)(攻撃), 氷弾
魔雷砲, キャノン砲
神のいかずち(準備), 本
神のいかずち(攻撃), 落雷
神のいかずち(命中), 落雷
聖水剣(準備), 聖水;ビームサーベル 青
聖水剣(攻撃), ビームサーベル 青
聖水剣(命中), ビームサーベル突撃 青
解呪(準備), 本
洗礼の結界(準備), 本
星屑の剣(準備), ショートソード
星屑の剣(攻撃), ショートソード
星屑の剣(命中), 雷斬撃
衝撃波(攻撃), 地表衝撃波 橙
リンゴ爆弾(準備), リンゴ
リンゴ爆弾(命中), 爆発 Explode.wav
あやしいけむり, 煙
パンチグローブ,	アッパー
小型トマスキー, キャノン砲
魔砲トマスキー, 大キャノン砲
鉄の剣, 剣
ファイアー, 火炎弾
蛇, 蛇召喚
蛇の火(準備), 蛇
蛇の火(攻撃), 火炎放射
へっぽこ剣術, 剣
ナイフ投げ, 投げナイフ
盗賊のナイフ, ナイフ
ツタ, 触手 グリーン	
花マシンガン, 機関砲
闇の魔法剣, ビームサーベル 黒
バーニングフィンガーアタック, 必殺光線
ファイナルダークサンシャイン, 破壊光線
魔力砲, ビーム
火の息,	火炎放射	
大剣, 大剣	
犬化ガス, 煙	
双剣, ソード 二刀流
あくまの矢, 矢連射
あくまの火, 火炎放射 ブラック
空気の象, 強風
地獄の炎, 火炎放射 ブラック
暗黒太陽, 重力弾
体当たり, タックル
あくまの雷, 破壊光線
トゲ飛ばし, 岩弾
風圧弾, 強風
落雷, 落雷	
魔界の剣, 突剣
氷結ミサイル, 氷弾
からいものミサイル, スーパーミサイル 2
レーザー, ２連小ビーム
闇の手, 多触手 ブラック
大鎌, 大鎌突撃	
ギリガストム(MAP), ＭＡＰ波動放射 ブラック
ギリガストム, 波動放射 ブラック
槍, スピア突撃	
棍棒, 棒
急降下,	タックル
悪のマンダラ, 音波
爪, 爪撃
あやつる, 音波
じゃれる, タックル
カミカミ攻撃, 噛み付き
オノ, トマホーク投擲
ハリセン, ハリセン
自爆, ＭＡＰ爆発
火の雨, 火炎弾
石化ガス, 煙
石化ガス(MAP), ＭＡＰ煙
大暴れ, タックル
火炎弾,	火炎弾
突進, タックル
音波攻撃, ギター 音符
メイス,	メイス	
触手, 多触手 グリーン
死ぬまでもけもけさ踊り(攻撃), 魔法集中 黒
死ぬまでもけもけさ踊り(命中), -
地獄のタコ焼き(攻撃), 魔法集中 黒
地獄のタコ焼き(命中), 落下
噛み付き, 噛み付き
槍, スピア
魔力砲, 中ビーム 黒


