
魔界村
ヤリ, 2;Swing.wav;Swing.wav
ヤリ(命中), 2;Stab.wav;Stab.wav
焔のヤリ, Swing.wav
焔のヤリ(命中), Stab.wav
短剣, 1;Bow.wav;1;Bow.wav;Bow.wav
短剣(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
光のナイフ, 1;Beam.wav;1;Beam.wav;Beam.wav
光のナイフ(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
オノ, Swing.wav
オノ(命中), Slash.wav
大鎌, Swing.wav
大鎌(命中), Slash.wav
両断のオノ, Swing.wav
両断のオノ(命中), Slash.wav
タイマツ, Bomb.wav
タイマツ(命中), Fire.wav
火柱のタイマツ, Bomb.wav
火柱のタイマツ(命中), Explode(Small).wav
十字架, 1;Swing.wav;1;Swing.wav;Swing.wav
十字架(命中), Punch(3).wav
剣, Swing.wav
剣(命中), Slash.wav
イカルスの盾, Swing.wav
イカルスの盾(命中), Slash.wav
ボウガン, 2;Bow.wav;Bow.wav
ボウガン(命中), 2;Stab.wav;Stab.wav
追撃のボウガン, 2;Beam.wav;Beam.wav
追撃のボウガン(命中), 2;Stab.wav;Stab.wav
カマ, Swing.wav
カマ(命中), 1;Slash.wav;Slash.wav
真空のカマ, Swing.wav
真空のカマ(命中), 1;Slash.wav;Slash.wav
サイコキャノン, Beam.wav
サイコキャノン(命中), Explode(Small).wav
女神の腕輪, Beam.wav
女神の腕輪(命中), Explode(Small).wav
稲妻の魔法(準備), Charge.wav
稲妻の魔法, Thunder.wav
稲妻の魔法(命中), Whip.wav
雷竜の魔法(準備), Charge.wav
雷竜の魔法, Thunder.wav
雷竜の魔法(命中), Whip.wav
火球の魔法(準備), Charge.wav
火球の魔法, AntiShipMissile.wav
火球の魔法(命中), Fire.wav
竜巻の魔法(準備), Charge.wav
竜巻の魔法, MicroMissile.wav
竜巻の魔法(命中), Saber.wav
火竜の魔法(準備), Charge.wav
火竜の魔法, Breath.wav
火竜の魔法(命中), Fire.wav
ブルーキラー, FightHit(1).wav
ブルーキラー(命中), Crash.wav
光弾, Beam.wav
光弾(命中), Whip.wav
体当たり, Jet.wav
体当たり(命中), Crash.wav
蹂躙, 2;Shock(Low).wav;2;Shock(Low).wav;2;Shock(Low).wav;Shock(Low).wav
蹂躙(命中), Crash.wav
炎, Breath.wav
炎(命中), Fire.wav
レーザー, LaserGun.wav
レーザー(命中), Explode(Small).wav
全方位レーザー, 1;LaserGun.wav;1;LaserGun.wav;1;LaserGun.wav;1;LaserGun.wav;1;LaserGun.wav;LaserGun.wav
全方位レーザー(命中), Explode(Small).wav
