龍虎の拳
極限流連舞拳(命中), Punch(4).wav
猛虎雷神刹(命中), 2.5;Swing.wav;Punch.wav
虎煌拳, Beam.wav
虎煌拳(命中), Explode(Small).wav
飛燕疾風脚, Cannon.wav
飛燕疾風脚(命中), 2;Punch.wav;Bazooka.wav
虎砲(命中), Bazooka.wav
猛虎雷神剛(命中), Crash.wav
暫烈拳(命中), 12;FastGun.wav;Bazooka.wav
天地覇煌拳, Inori.wav
天地覇煌拳(命中), Explode(Nuclear).wav
龍虎乱舞(準備), Glass.wav;1;White.bmp 480 480;Clear
龍虎乱舞, Charge.wav
龍虎合一(準備), Glass.wav;1;White.bmp 480 480;Clear
龍虎合一, Charge.wav
龍虎合一(命中), -.wav
極限流連舞脚(命中), Punch(4).wav
龍斬翔, Saber.wav
龍斬翔(命中), Punch.wav
龍撃拳, Beam.wav
龍撃拳(命中), Explode.wav
飛燕旋風脚(命中), Combo.wav
龍牙(命中), Bazooka.wav
飛燕龍神脚, 2;Cannon.wav;Whiz.wav
飛燕龍神脚(命中), Shock(Low).wav
幻影脚(命中), 12;FastGun.wav;Bazooka.wav
無影疾風重段脚(命中), 2;Punch.wav;2;Punch.wav;6;Punch.wav;12;Combo.wav;Bazooka.wav
燕翼(命中), Shock(Low).wav
百烈ビンタ(命中), 2;Slap.wav;2;Slap.wav;2;Slap.wav;2;Slap.wav;2;Slap.wav;4;Slap.wav;Whip.wav
飛燕疾風拳(命中), Bazooka.wav
空牙(命中), 2;Bazooka.wav
空牙(クリティカル), Bazooka.wav
砕破, BeamShot.wav
砕破(命中), Shock(Low).wav
雷煌拳, 4;Cannon.wav;BeamShot.wav
雷煌拳(命中), Explode.wav
飛燕烈孔(命中), 4;Bazooka.wav;4;Bazooka.wav;4;Bazooka.wav;4;Bazooka.wav;Bazooka.wav
滅鬼斬空牙(命中), 8;Bazooka.wav;6;Shock(Low).wav;Crash.wav
飛燕鳳凰脚(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
飛燕鳳凰脚(クリティカル), 4;Cannon.wav;BeamShot.wav;Explode.wav
鬼神激(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
翔乱脚(命中), 2;BreakOff.wav;Combo.wav
真・鬼神撃(命中), 4;Bazooka.wav;6;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Crash.wav
ミラージュキック(命中), 4;Punch.wav;2;Punch.wav;2;Punch.wav;Punch.wav
ベノムストライク, Beam.wav
ベノムストライク(命中), Explode.wav
トルネードキック(命中), 2;Saber.wav;Saber.wav
トルネードキック(命中), Combo.wav
トラップショット, Saber.wav
トラップショット(命中), 2;BreakOff.wav;Combo.wav
サプライズローズ, Saber.wav
サプライズローズ(命中), Combo.wav
ダブルストライク, 8;Charge.wav;2;Beam.wav;Beam.wav
ダブルストライク(命中), 2;Explode.wav;Explode.wav
サイレントフラッシュ(命中), 4;Saber.wav;2;Saber.wav;4;Saber.wav;MicroMissile.wav
反射(滅身無投), 4;BreakOff.wav;Saber.wav
蝸牛掛け(命中), FallDown.wav
殺掌陰蹴(命中), 2;Slap.wav;Punch.wav
竜巻槍打(命中), 2;Punch.wav;2;Punch.wav;4;Punch.wav;Bazooka.wav
重ね当て, Saber.wav
重ね当て(命中), Sword.wav
藤堂流雷咆吼(命中), Whip.wav
白山桃(命中), 2;Punch.wav;Bazooka.wav
体崩し(命中), 2;BreakOff.wav;Punch.wav
如月流連拳脚(命中), Combo.wav
骨破斬り(命中), Slash.wav
天馬脚(命中), Combo.wav
気孔砲, Whiz.wav
気孔砲(命中), Explode(Small).wav
流影陣, 2;Swing.wav;BeamSaber.wav
流影陣(命中), Slash.wav
霞み斬り(命中), 1;Swing.wav;Slash.wav
斬鉄破, 2;Swing.wav;Saber.wav
斬鉄破(命中), Slash.wav
斬鉄蟷螂拳(命中), 2;Slash.wav;9;Combo.wav;1;Swing.wav;Slash.wav
ドラムショット(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;Punch.wav
グランドブラスター, Beam.wav
グランドブラスター(命中), Explode(Small).wav
スピニングランサー, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
スピニングランサー(命中), 8;Combo.wav;1;Swing.wav;Bazooka.wav
カリフォルニアロマンス, Swing.wav
カリフォルニアロマンス(命中), 1.5;Punch.wav;1.5;Punch.wav;Bazooka.wav
クロスダイビング, 2;Swing.wav;Jet.wav
クロスダイビング(命中), Crash.wav
ブラスターウェーブ(準備), Type.wav
ブラスターウェーブ, Thunder.wav
ライジングスピア, 1.5;Swing.wav;Punch.wav
