汎用
# 武器アイテム類
レーザー投光器, 巨大ビーム 白
レーザー銃(攻撃), 小ビーム 白
レーザー銃(命中), 炎 白
阻止(自動式サイト), ビームコート Beam.wav 迎撃
酸放射器, 放水銃 Weapon\EFFECT_Rifle01.bmp

８マン
# 共通
格闘, 格闘
高速攻撃(攻撃), @戦闘アニメ_テレポート発動 Whiz.wav 加速;透明化 対象ユニットＩＤ 反映
高速攻撃(命中), 分身打撃
電撃, ロケットパンチ Hand\EFFECT_Punch(Black)02.bmp 28
電撃(攻撃), ショックビームランチャー Hand\EFFECT_Punch(Black)02.bmp 28 発光 黄 Thunderbolt.wav
電撃(命中), 大電撃
怪力(攻撃), 格闘
怪力(命中), 強打
ピストル, ピストル
ナイフ, ナイフ
自動小銃, マシンガン Weapon\EFFECT_Rifle03.bmp
#８マン
レンズ光線(攻撃), 大拡散ビーム 白
レンズ光線(命中), -
武装解除(攻撃), @戦闘アニメ_テレポート発動 Whiz.wav 加速;透明化 対象ユニットＩＤ 反映
武装解除(命中), 風 Whiz.wav
武装解除(解説), $(ユニット)は超スピードで武器を取り上げようとした。
竜巻(攻撃), スーパータックル 黒;透明化 対象ユニットＩＤ 反映;周囲回転 8MAN_8manU.bmp Storm.wav 3;_
	@戦闘アニメ_竜巻命中 Storm.wav
竜巻(命中), 竜巻 Breath.wav
空気ハンマー(攻撃), スーパータックル 白 Storm.wav
空気ハンマー(命中), 超打 Crash.wav
８マンナイフ, 小柄
光線銃レーザー,ロケットパンチ Hand\EFFECT_Punch(Black)02.bmp 28
光線銃レーザー(攻撃), ダブルビームライフル 白 Hand\EFFECT_Punch(Black)02.bmp 28 Laser.wav
光線銃レーザー(命中), Laser.wav;特殊光線 白 -.wav
フォノンメーザー(攻撃), ニードルレーザー 青 Warning(3).wav
フォノンメーザー(命中), 飛沫;飛沫
超音波発信機, 音波
超高速振動(攻撃), @戦闘アニメ_テレポート発動 Drill(2).wav 超高速振動;透明化 対象ユニットＩＤ 反映
超高速振動(命中), 透明化 対象ユニットＩＤ 反映;乱打 Drill.wav
阻止(超高速度振動装置), 緊急テレポート Drill(2).wav 超高速振動
強化剤(解説), $(ユニット)はバックルからタバコ型の強化剤を取り出した。
透明化, @戦闘アニメ_テレポート発動 Drill(2).wav 超高速振動
透明化(解説), $(ユニット)は体を超高速で振動させ、透明になった。
# デーモン博士
神経棒(攻撃), 斬撃
神経棒(命中), 放電
電子蝙蝠(攻撃), 蝙蝠
電子蝙蝠(命中), 音波
超小型ミサイル, ミサイル
二段式短針ミサイル(攻撃), ミサイル
二段式短針ミサイル(命中), Explode(Small).wav;ニードル連射
#ミサイル一斉発射, ミサイル 4
ミサイル一斉発射, ホーミングミサイル
スパイ＝ボール(攻撃), Drill(2).wav;4
スパイ＝ボール(命中), 乱打 Drill.wav
# ００七
体当たり(攻撃), スーパータックル オレンジ
体当たり(命中), スーパータックル オレンジ Crash.wav
# ペドロ
鞭, 鞭
ハンマー, 大金槌
# 腸捻転
奇術, 桜吹雪
奇術, 煙
中国拳法(攻撃), ジャンプ
中国拳法(命中), スーパーキック
分身(奇術), @戦闘アニメ_煙攻撃 相手ユニットＩＤ
# アパッシュ
ナイフ投げ, 連投剣
# 超人サイバー
室温上昇(攻撃), フラッシュ 赤 Charge(Slow).wav
室温上昇(命中), 炎
マジックハンド(準備), 振る武器 Weapon\EFFECT_Nanbanbo01.bmp 二刀流
マジックハンド(攻撃), 連突
マジックハンド(命中), 回転斬撃
放電, ２連ショックビーム
# ００五
機関銃, マシンガン
# 魔女
肉体操作, 双眼球 赤
発火現象(攻撃), 発光 対象ユニットＩＤ
発火現象(命中), 炎
念動力(攻撃), ショックビーム パープル BeamSaber.wav
念動力(命中), ダメージ
炎の渦(攻撃), 周囲回転 Fire\EFFECT_Fire(Red)01.bmp Breath.wav 3
炎の渦(命中), 炎
地割れ, 岩柱 Earthquake.wav
阻止(念動力), ビームコート BeamSaber.wav 念動力
# 超人類
熱線銃, ビームライフル Weapon\EFFECT_ShockBeamGun01.bmp 赤
重力制御(攻撃), @ＳＰアニメ_威圧 相手ユニット 相手ユニット
重力制御(命中), 連打 BreakOff.wav
# 魔王
熱線, ２連ショックビーム 赤
# ビック
麻酔ガス, ＭＡＰ煙 Mist.wav
単針銃(攻撃), ショットガン Weapon\EFFECT_FLintlockGun01.bmp Missile.wav
単針銃(命中), ビームショットガン ホワイト Bazooka.wav
単針銃(とどめ), 貫通穴
# ＰＶ１号
削岩突撃(攻撃), 煙 オレンジ Drill(2).wav 対象ユニットＩＤ;透明化 対象ユニットＩＤ 反映
削岩突撃(命中), ドリル
削岩突撃(解説), $(ユニット)は地面に穴を開けて地中から攻撃した。
ドリル, ドリル
# 魔人コズマ博士
火炎放射, 火炎放射
溶解鉄(攻撃), 連気弾 赤
溶解鉄(命中), 炎
溶岩化(攻撃), 決め画像 \Map\lava\lava0004.bmp 64 Breath.wav 背面 対象ユニットＩＤ;_
	@戦闘アニメ_ＭＡＰ連続表示共通 "\Map\lava\lava00" 64 Earthquake.wav
溶岩化(命中), 炎
純金化(攻撃), 格闘
純金化(命中), 立ち固め 1;ユニット変色 イエロー
巨大化(攻撃), 透明化 対象ユニットＩＤ;決め画像 8MAN_DrCosmaU.bmp 128 Earthquake.wav 前面 対象ユニットＩＤ
巨大化(命中), 強打;透明化 対象ユニットＩＤ 解除
シールド防御(体質変化), ユニット変色 黒
# サイバーマシン
触手, 触手 黒
# マッド・マシン
破壊(ＭＭ)(攻撃), 甲殻鋏
破壊(ＭＭ)(命中), 甲殻鋏 Crash.wav;甲殻鋏 Crash.wav
破壊(ＭＭ)(解説), $(ユニット)たちは手当たりしだいに攻撃をしかけた。
# サイボーグマン
短機関銃, マシンガン
電気ムチ(攻撃), ニードルレーザー 白 Bow.wav
電気ムチ(命中), ダメージ BreakOff.wav;放電
加速攻撃, スーパータックル 青

