アームズ
ハイパーモード(ＡＲＭＳ覚醒), FlameThrower.wav
ブービートラップ(攻撃), Reload(3).wav
ブービートラップ(命中), 爆発
ブービートラップ(命中), 強打 Crash.wav
ブービートラップ(命中), ダメージ Explode.wav
ブービートラップ(命中), 投げ飛ばし
圧縮空気砲(攻撃), キャノン砲
圧縮空気砲(命中), ダメージ Explode.wav
レールガン(準備), 放電
レールガン(攻撃), キャノン砲
レールガン(命中), 超打 Explode.wav
ジャバウォックの爪(攻撃), 円弧斬撃 Swing.wav
ジャバウォックの爪(命中), 爪撃 黒 Inori.wav
反物質砲(準備), 粒子集中 黄
反物質砲(攻撃), 小ビーム 白 AntiShipMissile.wav
反物質砲(命中), 小ビーム 白 -.wav;オーラ 白 Explode(Nuclear).wav
ジャバウォック砲, 中ビーム 黒
赤熱化攻撃(準備), ユニット変色 赤 FlameThrower.wav
赤熱化攻撃(攻撃), 振り上げ Swing(2).wav
赤熱化攻撃(命中), 火柱
弾丸(攻撃), 護身銃 -.bmp;護身銃 -.bmp
弾丸(命中), 銃弾 Explode.wav
合気術, 投げ飛ばし
ミストルテインの槍(準備), 突く武器 Weapon\EFFECT_KnightLance01.bmp 48
ミストルテインの槍(攻撃), 刺突
ミストルテインの槍(命中), 大刺突
ミストルテインの槍(超振動)(準備), 連続描画 BeamWeapon\EFFECT_TwinBeamSaber(Pink)[00-02].bmp 112 3 1 BeamSaber.wav 保持
ミストルテインの槍(超振動)(攻撃), 振り回し BeamWeapon\EFFECT_TwinBeamSaber(Pink)02.bmp 112;斬撃
ミストルテインの槍(超振動)(命中), 大炎斬撃 桃 AntiShipMissile.wav
超音速の領域(攻撃), @戦闘アニメ_転移 Storm.wav;透明化
超音速の領域(命中), 包囲ビーム 白 Saber.wav
勇気の光(準備), @戦闘アニメ_光大噴出攻撃 白 対象ユニットＩＤ
勇気の光(攻撃), スーパータックル 白 Flyby.wav;透明化 対象ユニットＩＤ
勇気の光(命中), 透明化 反映 対象ユニットＩＤ;大ビーム 白 inori.wav;超打 -.wav
反射(アイギスの鏡), 変形 ARMS_QueenOfHeartU.bmp Charge.wav;1;バリア Beamcoat.wav アイギスの鏡
ハンドガン, ニューナンブ
スタンガン(準備), ニューナンブ
スタンガン(攻撃), 怪光線
スタンガン(命中), 電撃
情報支援, Flair.wav
飛器, クナイ
忍術, 打突
暗器(攻撃), @戦闘アニメ_転移 Wind.wav;透明化
暗器(命中), 立ち固め Saber.wav
ＡＲＭＳ殺し(攻撃), 白兵武器
ＡＲＭＳ殺し(命中), 黒斬撃
剣・ＡＲＭＳ殺し, ハイパービームサーベル 白
体術, 打突
閃光弾, ＭＡＰフラッシュ
包丁, 小柄
Beretta_M84x2(準備), 振る武器 Weapon\EFFECT_Pistol01.bmp Reload.wav 二刀流
Beretta_M84x2(攻撃), ピストル;ピストル
Beretta_M84x2(命中), 銃弾;銃弾
ハングワイヤー(攻撃), 格闘
ハングワイヤー(命中), 立ち固め Saber.wav
ロケットランチャー, 小型ミサイルランチャー
螺旋(攻撃), Charge(Silent).wav
螺旋(命中), 強打 BreakOff.wav
飛び蹴り, キック
暴力(攻撃), 乱打
暴力(命中), 乱打 Crash.wav
ブレードアーム(攻撃), 白兵武器 二刀流
ブレードアーム(命中), 斬撃 二刀流
魔弾タスラム(攻撃), ニードル連射
魔弾タスラム(命中), 連突 -.wav;2;超爆発
バロールの魔眼, ホーミングレーザー 紫
超音波(攻撃), 音波
超音波(命中), 粒子噴射 Acid.wav
全周囲超音波(攻撃), 音波
全周囲超音波(命中), 粒子噴射 Acid.wav
高周波ブレード(準備), Drill.wav
高周波ブレード(攻撃), 大斬撃 赤
高周波ブレード(命中), クリティカル斬撃
ブリューナクの槍(攻撃), 超ビーム 黄 AntiShipMissile.wav
ブリューナクの槍(命中), 超ビーム 黄
阻止(空間の断裂), バリア Whiz.wav 空間の断裂
空間の断裂, シュートカッター
魔剣アンサラー(攻撃), 大拡散ビーム 白 Whiz.wav
魔剣アンサラー(命中), @戦闘アニメ_振り回し攻撃 Beam2\EFFECT_MultiBeamHit(White)03.bmp 64 Saber.wav 相手ユニットＩＤ
攻撃無効化(神の卵), 暗黒バリア BeamSaber.wav 神の卵
神剣フラガラッハ(攻撃), 大斬撃 白
神剣フラガラッハ(命中), クリティカル斬撃
阻止(空間振動), バリア Whiz.wav 空間振動
空間振動, 怪光線
氷結, ＭＡＰオーラ 白
砲撃(攻撃), キャノン砲
砲撃(命中), ダメージ Explode.wav
電撃(攻撃), ヘッドバット
電撃(命中), 放電 Thunder.wav
バルカン砲, ガトリング
念動力(攻撃), 地面衝撃 Charge(Silent).wav
念動力(命中), 超打 Crash.wav
超振動ブレード(準備), ナイフ Drill.wav
超振動ブレード(攻撃), 斬撃
超振動ブレード(命中), クリティカル斬撃
SMG, サブマシンガン
超震動(攻撃), スーパーパンチ Drill.wav
超震動(命中), スーパーパンチ
破壊の渦(攻撃), スーパーパンチ乱舞 Drill.wav
破壊の渦(命中), スーパーパンチ乱舞
