ＢＡＳＴＡＲＤ
シールド防御, BeamCoat.wav
攻撃無効化, BeamCoat.wav
鋼雷破弾, 1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
地裂爆炎衝, 3;Breath.wav;3;Breath.wav;Breath.wav
空雷砲撃波, 5;Thunder.wav;Cannon.wav
爆炎障壁, Fire.wav
霊破火炎陣, MultipleRocketLauncher(Light).wav
霊破火炎陣(命中), 1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;BeamShot.wav
爆裂, Explode(Far).wav
魔弓閃光矢, LaserGun.wav
廃酸溶解, Bubble.wav
廃酸溶解(クリティカル), Fold.wav
天地爆烈,  5;Thunder.wav;3;Shock(Low).wav;3;Shock(Low).wav;Crash.wav
聖爆, Search.wav
獄炎爆烈弾, 2;Cannon.wav;2;Cannon.wav;2;Cannon.wav;Cannon.wav
爆霊地獄, Warship.wav
皇龍破(準備), Charge.wav
皇龍破, Breath.wav
炎魔焦熱地獄(準備), Fire.wav
炎魔焦熱地獄, Jet.wav
七鍵守護神(準備), Charge(High).wav
七鍵守護神, Interference.wav
死黒核爆烈地獄(準備), Charge(Long).wav
死黒核爆烈地獄, Explode(Nuclear).wav
退魔, Explode(Small).wav
癒しの指, Sharara.wav
月光の祈り, Sharara.wav
聖護幕, BeamCoat.wav
女神の口づけ, Sharara.wav
祝福, Sharara.wav
白銀の癒し手, 3;Cannon.wav;Sharara.wav
金色の癒し手, Sharara.wav
覇邪霊陣, BeamCoat.wav
スカッド・ボンバー(命中), Punch.wav
飛苦無, 1;Bow.wav;1;Bow.wav;Bow.wav
飛苦無(命中), Stab.wav
風車手裏剣, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
風車手裏剣(命中), Slash.wav
魔神剣, AntiAirMissile.wav
魔神剣(命中), 1;Slash.wav;Slash.wav
真・魔神剣, AntiShipMissile.wav
真・魔神剣(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
慶雲鬼忍剣(準備), 3;BeamSaber.wav;Reload.wav
慶雲鬼忍剣, Whiz.wav
慶雲鬼忍剣(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
魔神閃光断, BeamCoat.wav
魔神閃光断(命中), Shock(Low).wav
滅極渦雷球(クリティカル), Thunder.wav
牙狼獄雷破(命中), 3;Thunder.wav;Punch.wav
霊撃雷電襲, MultipleRocketLauncher(Light).wav
霊撃雷電襲(命中), 1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;BeamShot.wav
龍撃羅刹斬(命中),  5;Thunder.wav;Slash.wav
気裂(準備), Wind.wav
気裂, Storm.wav
気裂(命中), 2;Slash.wav;2;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
覇皇剣雷撃鷲爪斬(準備), BeamSaber.wav
覇皇剣雷撃鷲爪斬, Bazooka.wav
覇皇剣雷撃鷲爪斬(命中), 5;Thunder.wav;3;Slash.wav;Shock(Low).wav
超弾道雷撃剣(準備), BeamSaber.wav
超弾道雷撃剣, Bazooka.wav
超弾道雷撃剣(命中), 5;Thunder.wav;Shock(Low).wav
雷神王彗星斬(準備), BeamSaber.wav
雷神王彗星斬, Bazooka.wav
雷神王彗星斬(命中), 2;Slash.wav;5;Thunder.wav;Shock(Low).wav
轟雷(準備), Charge.wav
轟雷, 3;Thunder.wav;3;Thunder.wav;Thunder.wav
烈氷破弾, MachineCannon.wav
氷槍蛇撃, FastGun.wav
雪狼轟咆覇, MultipleRocketLauncher(Light).wav
雪狼轟咆覇(命中), 1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;BeamShot.wav
極零烈凍波, Storm.wav
帝王水龍瀑, Interference.wav
絶対零凍破(準備), Charge(Long).wav
絶対零凍破, Storm.wav
絶対零凍破(命中), Glass.wav
地縛根手(クリティカル), Whip.wav
触手の胸当て(命中), 2;Whip.wav;2;Whip.wav;Whip.wav
赤斬光破, LaserGun.wav
