マルチドライバー
大型ゴム弾(準備), 大筒
大型ゴム弾(攻撃), グレネード 
大型ゴム弾(命中), 強打
ジャックナイフターン, バックキック
体当たり, バックキック
格闘, 格闘
ブービートラップ(攻撃), -
ブービートラップ(命中), 小爆発
ブービートラップ(命中), 強打
スタン警棒(攻撃), スタンロッド突撃
スタン警棒(命中), 電撃
ネットシューター, ネット
マニピュレーター, 格闘
投石, 石
ハンドガン, ニューナンブ
ナイフ, ダガー

Ｄ－ＬＩＶＥ
催涙弾, ＭＡＰ煙
スタンガン(攻撃), 格闘
スタンガン(命中), 電撃
格闘術, 格闘
ゴム弾(準備), ピストル
ゴム弾(攻撃), ピストル
ゴム弾(命中), 強打
ブービートラップ(攻撃), -
ブービートラップ(命中), 小爆発
ブービートラップ(命中), 強打
閃光弾, ＭＡＰフラッシュ
軍隊格闘術, 乱打
格闘術, 乱打
手榴弾, 手榴弾
空中コンボ, アッパー;乱打;スピンキック
スローイングダガー, 小柄
ハンドガン, ニューナンブ
ナイフ格闘術, ナイフ突撃
投石, 石
ショットガン, ショットガン
怪力, 強打


