
幻想世界の住人
爪, 爪撃
死神の鎌, 大鎌
精神支配(攻撃), 魔法放射 黒 Whiz.wav
精神支配(命中), 魔法集中 黒 Search.wav
破壊への衝動(準備), 粒子集中 黒 Whiz.wav
破壊への衝動(攻撃), 波動放射 黒 Roar.wav
破壊への衝動(命中), 飛沫 黒 WarShip.wav
破壊と創造への衝動(準備), 粒子集中 白 Whiz.wav
破壊と創造への衝動(攻撃), 魔法放射 白 Charge(High).wav
破壊と創造への衝動(命中), 魔法放射 白 大 Charge(High).wav;3;飛沫 白 Glass.wav
言霊(攻撃), 魔法放射 青 Hittyuu.wav
言霊(命中), 魔法集中 青 Hittyuu.wav;発光 青 -.wav
活力, 回復魔法泡 Hittyuu.wav
魔楽譜の法(準備), ギター
魔楽譜の法(攻撃), 音波 Search.wav
魔楽譜の法(命中), 粒子噴射 黒 Search.wav
浄化の音色(準備), ピアノ
浄化の音色, 音符
ツチノコ, -
ツチノコ(命中), 打撃
セイントドラゴンブレス(準備), ;_
粒子集中 白 Charge(High).wav;2;粒子集中 白;粒子集中 白;4;_
Inori.wav;1;White.bmp 480 480;Clear;決め画像 Common\EFFECT_LightBall01.bmp -.wav
セイントドラゴンブレス(攻撃), 大ビーム 白 Explode(long).wav
セイントドラゴンブレス(命中), 大ビーム 白 Explode(long).wav;魔法放射 白 大 -.wav;光柱 Explode(Far).wav
封印の魔法陣(攻撃), 同時五芒星
封印の魔法陣(命中), 五芒星
冷気放射(攻撃), 吹雪 Storm.wav
冷気放射(命中), 吹雪 Storm.wav;凍結 Ice.wav
影縫い, ニードル
影縫い(命中), -
ワイバーン, 爪撃
ワイバーンの爪, 爪撃
ファイアブレス, 火炎放射
衝撃波(攻撃), ＭＡＰ波動放射 白
衝撃波(命中), 強打 Crash.wav
触手(攻撃), 多触手 白
触手(命中), 多触手 白;吸収 黒 BeamShot.wav
