#主砲

37mm砲,			1400, 1, 4, +10,  4, -, -, AABA,  +0, 実
48mm砲,			1400, 1, 4, +10,  6, -, -, AABA,  +0, 実
75mm砲,			1400, 1, 4, +10,  8, -, -, AABA,  +0, 実
88mm砲,			1400, 1, 4, +10, 10, -, -, AABA,  +0, 実
92mmスパルク,		1400, 1, 4,  +0,  8, -, -, AABA,  +5, 実
105mmキャノン,		1400, 2, 4,  -5, 12, -, -, AABA,  +0, 実
115mmロングＴ,		1400, 3, 5, -10, 12, -, -, AABA, -10, 実
120mmキャノン,		1500, 2, 4,  -5, 12, -, -, AABA,  +0, 実
125mmロングＴ,		1500, 3, 5, -10, 12, -, -, AABA, -10, 実
135mmキャノン,		1500, 2, 4,  -5, 14, -, -, AABA,  +0, 実
150mmキャノン,		1600, 2, 4,  -5, 12, -, -, AABA,  +0, 実
155mmスパルク,		1600, 1, 4,  +0, 10, -, -, AABA,  +5, 実
サンダーキャノン,	1600, 2, 4,  +5,  6, -, -, AABA,  +0, 雷実
165mmロングＴ,		1600, 3, 5, -10, 10, -, -, AABA, -10, 実
177mmアモルフ,		1700, 1, 4,  +5,  8, -, -, AABA, +10, 実
180mmバースト,		1700, 1, 3, +10, 10, -, -, AABA,  +5, 実
195mmキャノン,		1800, 2, 4,  -5, 12, -, -, AABA,  +0, 実
195mmバースト,		1800, 1, 3, +10, 10, -, -, AABA,  +5, 実
205mmキャノン,		1900, 2, 4,  -5,  8, -, -, AABA,  +0, 実
225mmヒュドラ,		2000, 1, 5,  +5,  8, -, -, AABA, +10, 実

Ｕシャーク砲,		1900, 1, 4,  +5,  8, -, -, AAAA,  +0, 実
ダイキャノン,		2000, 2, 5,  -5,  8, -, -, AABA, -10, 実
サウルス砲,		2100, 1, 4, -15,  8, -, -, AABA, -20, 実
205mm緋牡丹,		2000, 1, 4,  +5,  8, -, -, AABA,  +5, 実

#副砲

7.7mm機銃,		1000, 1, 3, +35, 24,  -, -, AABA, -10, 銃
9mm機銃,		1100, 1, 3, +30, 24,  -, -, AABA, -10, 銃
ガトリング砲,		1100, 1, 3, +25, 24,  -, -, AABA,  +5, 銃
ビームランサー,		1200, 1, 1, +55,  -,  5, -, AACA, -10, 射Ｂ
13mm機銃,		1200, 1, 3, +25, 24,  -, -, AABA, -10, 銃
9mmチェインガン,	1200, 1, 3, +30, 18,  -, -, AABA, +10, 銃
スマッシュホルン,	1200, 1, 3, +30,  -,  5, -, AAB-, +10, 音
11mmバルカン,		1200, 1, 3, +20, 18,  -, -, AABA,  -5, 銃
16mm機銃,		1300, 1, 3, +20, 18,  -, -, AABA, -10, 銃
サンダーブラスト,	1300, 2, 3, +20,  -, 10, -, AABA,  +5, 雷
アサルトレーザー,	1300, 1, 3, +30,  -, 10, -, AACA, -10, Ｂ
15mmバルカン,		1300, 1, 3, +20, 16,  -, -, AABA,  -5, 銃
バスターフルート,	1400, 2, 4, +20,  -, 15, -, AAB-, +15, 音
バーナードラゴン,	1400, 1, 3, +25,  -, 15, -, AADA,  +5, 火
22mmバルカン,		1400, 1, 3, +20, 16,  -, -, AABA,  -5, 銃
緋牡丹バルカン,		1400, 1, 3, +45, 16,  -, -, AABA,  +5, 銃
スネークガン,		1400, 1, 3, +35,  -, 15, -, AACA, -10, Ｂ
サンダーストーム,	1400, 2, 3, +20,  -, 20, -, AABA,  +5, 雷

#ＳＥ

タップダンサー,		1400, 2, 3,  +5, 2,  -, -, AABA,  +5, 銃Ｍ投L1
火炎放射器,		1500, 1, 2, +20, 4,  -, -, AADB, +10, 火Ｐ
ピッチングマシン,	1500, 1, 2, +15, 8,  -, -, AACB, +20, 実Ｐ
ナパームボンバー,	1500, 2, 3,  +0, 4,  -, -, AACB,  +5, 火Ｍ投L1
ＩＭヒステリック,	1600, 1, 3, +10, 4,  -, -, AABA, +10, 雷Ｍ拡
ＡＴＭミサイル,		1700, 3, 5, +15, 1,  -, -, AABA, -10, 実
ノーザンウインド,	1700, 1, 3, +10, 4,  -, -, AACB,  +0, 冷Ｍ拡
マニアックシェフ,	1800, 1, 3,  +0, 2,  -, -, AAAA, +10, 銃Ｍ拡
ソプラノトロン,		1900, 1, 3,  +5, 4,  -, -, AAC-,  +0, 音Ｍ拡
ＴＴフリーザ,		2000, 1, 3, +10, 2,  -, -, AACB,  -5, 冷Ｍ拡
サンバーンＸＸ,		2100, 1, 3,  +5, 3,  -, -, AABA,  +5, 火Ｍ拡
ＡＴＭ緋牡丹,		2400, 3, 5, +15, 2,  -, -, AABA, +10, 実
