
ＭＯＴＨＥＲ
ふつうのバット, Swing.wav
ふつうのバット(命中), Punch.wav
さいこうのバット, Swing.wav
さいこうのバット(命中), Punch.wav
いいフライパン, Swing.wav
いいフライパン(命中), Tub.wav
とびきりのフライパン, Swing.wav
とびきりのフライパン(命中), Tub.wav
ショックガン(準備), BeamSaber.wav
ショックガン, Gun(2).wav
ショックガン(命中), Punch.wav
エアガン(準備), Reload(5).wav
エアガン, Gun(2).wav
エアガン(命中), Stab.wav
レーザーガン, LaserGun.wav
レーザーガン(命中), LaserGun.wav
デスビーム, Beam.wav
デスビーム(命中), Explode.wav
ペンシルロケット, Missile.wav
ペンシルロケット(命中), Explode(Small).wav
ボム, Explode.wav
スーパーボム, Explode(Far).wav
ねばねばマシーン, Bow.wav
ねばねばマシーン(クリティカル), Fold.wav
鉄拳, Swing.wav
鉄拳(命中), FightHit(1).wav
アシガルソード, Swing.wav
アシガルソード(命中), Slash(2).wav
ＫＡＴＡＮＡ, Swing.wav
ＫＡＴＡＮＡ(命中), Slash(2).wav
ＰＫサンダーα,	Thunder.wav
ＰＫサンダーβ,	Thunderbolt.wav
ＰＫサンダーγ,	Thunder.wav
ＰＫサンダーγ(命中), MicroMissile.wav
ＰＫファイアーα, Fire.wav
ＰＫファイアーβ, AntiShipMissile.wav
ＰＫファイアーβ(命中), Fire.wav
ＰＫファイアーγ, Breath.wav
ＰＫファイアーγ(命中), MultipleRocketLauncher.wav
ＰＫファイアーΩ, Charge(High).wav
ＰＫファイアーΩ(命中), Explode(Nuclear).wav
ＰＫフリーズβ,	Wind.wav
ＰＫフリーズβ(命中), Sword.wav
ＰＫフリーズγ,	Storm.wav
ＰＫフリーズγ(命中), Glass.wav
ＰＫフリーズγ(クリティカル)(解説), $(相手ユニット)は危機的状態に陥った！
ＰＫフリーズΩ,	Storm.wav
ＰＫフリーズΩ(命中), 3;Glass.wav;3;Glass.wav;Glass.wav
ＰＫビームα, Flair.wav
ＰＫビームα(命中), Explode.wav
ＰＫビームβ, Beam.wav
ＰＫビームβ(命中), Explode.wav
ＰＫビームγ(準備), Charge.wav
ＰＫビームγ, LaserGun.wav
ＰＫビームγ(命中), Explode.wav
ＰＫビームΩ(準備), 3;Charge.wav;Charge.wav;Charge.wav
ＰＫビームΩ, Explode(Far).wav
ＰＫビームΩ(命中), Explode(Far).wav
ブレインショック, BeamShot.wav
ブレインショック(クリティカル), PiyoPiyo.wav
ブレインサイクロン, BeamShot.wav
ブレインサイクロン(クリティカル), PiyoPiyo.wav
パラライシス, BeamShot.wav
パラライシス(クリティカル), BeamSaber.wav
正体不明の攻撃, Interference.wav
正体不明の攻撃＜Ｍ＞, Interference.wav
正体不明の攻撃(解説), $(NickName(対象パイロット))からの攻撃の正体がつかめない！
正体不明の攻撃＜Ｍ＞(解説), $(NickName(対象パイロット))からの攻撃の正体がつかめない！
ライフアップα, Sharara.wav
ライフアップβ, Sharara.wav
ライフアップγ, Sharara.wav
ライフアップπ, 10;Charge(long).wav;2;Sharara.wav;2;Sharara.wav;2;Sharara.wav
ヒーリング, Sharara.wav
