ＲＥＤ
トマホーク投げ, 回転投擲武器 EFFECT_RED_Tomahawk.bmp 64
トマホーク, 斬撃武器 EFFECT_RED_Tomahawk.bmp 64
大型ナイフ, 斬撃武器 EFFECT_RED_S&WM03A7N.bmp 48
S&WM03A7_HateSong(準備), 射撃武器 EFFECT_RED_S&WM03A7.bmp 40
S&WM03A7_HateSong(攻撃), シングルショット EFFECT_RED_S&WM03A7.bmp 40 Rifle.wav
S&WM03A7_HateSong(命中), 銃弾
S&WM03A7_HateSong(とどめ), 貫通穴
HateSongｘ２(準備), 射撃武器 EFFECT_RED_S&WM03A7x2.bmp 48
HateSongｘ２(攻撃), シングルショット EFFECT_RED_S&WM03A7.bmp 40 Rifle.wav; シングルショット EFFECT_RED_S&WM03A9.bmp 40 Rifle.wav
HateSongｘ２(命中), 銃弾;銃弾
HateSongｘ２(とどめ), 貫通穴
スタブ＆クラック(準備), 突く武器変形 EFFECT_RED_S&WM03A7.bmp 40 EFFECT_RED_S&WM03A7N2.bmp 56 Reload(5).wav
スタブ＆クラック(攻撃), 刺突
スタブ＆クラック(命中), 大刺突;銃弾
柔術, 地獄車
狭間筒(準備), 射撃武器 EFFECT_RED_Hazamazutsu.bmp 72
狭間筒(攻撃), シングルショット EFFECT_RED_Hazamazutsu.bmp 72 Rifle.wav
狭間筒(命中), 銃弾
BEARCAT, ニューナンブ
ピンホールショット, ニューナンブ
COLT_M1860ARMYｘ２(準備), 振る武器 Weapon\EFFECT_Revolver01.bmp Reload.wav 二刀流
COLT_M1860ARMYｘ２(攻撃), リボルバー;リボルバー
COLT_M1860ARMYｘ２(命中), 銃弾;銃弾
COLT_SAA45, リボルバー
ファニング(準備), リボルバー
ファニング(攻撃), リボルバー;リボルバー
ファニング(命中), 銃弾;銃弾
ダイナマイトボウガン(準備), クロスボウ
ダイナマイトボウガン(攻撃), ダイナマイト Bow.wav
ダイナマイトボウガン(命中), 爆発
WINCHESTER_M1876, ボルトアクションライフル
ボクシング, 連打
WINCHESTER_M1873, ボルトアクションライフル
ガソリン(命中), 火柱
ブレード, 仕込み刃
ショットガン, ショットガン
ガトリングガン, ガトリング
S&WM03A8_HateSong(準備), 射撃武器 EFFECT_RED_S&WM03A7.bmp 40
S&WM03A8_HateSong(攻撃), シングルショット EFFECT_RED_S&WM03A7.bmp 40 Rifle.wav
S&WM03A8_HateSong(命中), 銃弾
S&WM03A8_HateSong(とどめ), 貫通穴
軍用ナイフ, ショートソード
