騎士ガンダム物語
電磁スピア(準備), -.wav
電磁スピア・スパーク, Thunder.wav
電磁ランス(準備), -.wav
電磁ランス・スパーク, Thunder.wav
トルネードスパーク, Storm.wav
閃光斬, 3;Swing.wav;3;Beam.wav
光の竜, jet.wav
光の竜(命中), Slash.wav
ジオンスレイヤー, Swing.wav
ジオンスレイヤー(命中), Slash.wav
ゼータ波動剣, Swing.wav
ゼータ波動剣(命中), 3;Slash.wav
ダブル猛襲弾, Combo.wav
ダブルハンマー(命中), Punch.wav
ムービサーベ(命中), Slash.wav
ムービルフィラー, Beam.wav
フェーン爆風陣, Storm.wav
フェーン爆風陣(命中), Breath.wav
ギガソーラ(命中), Jet.wav
ムービガン, Beam.wav
ガン, Beam.wav
鉄の棍, Swing.wav
気合の棍, Swing.wav
怒りの棍, Swing.wav
メガバズ(命中), Explode.wav
連続攻撃(棍), 2;Swing.wav;2;Swing.wav;2;Swing.wav
アインの杖, Swing.wav
アインの杖(命中), Slash.wav
光の獣(解説), アルガス騎士団は三種の武器を重ね合わせ、光の獣を召還した。
連続攻撃(棍)(解説), $(パイロット)は素早く連続攻撃を仕掛けた。
地震, Earthquake.wav
千流万物斬, 2;Swing.wav;2;Swing.wav;2;Swing.wav
千流万物斬(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
裂気風刃, Swing.wav
裂気風刃(命中), 3;Slash.wav
メガルフィラ, Beam.wav
ギガサーベ, Slash.wav
ソーラレイ(準備), Charge.wav
ソーラレイ, Beam.wav
バズ(命中), Explode.wav
ムービルフィラー, Beam.wav
彗星斬, Swing.wav
彗星斬(命中), 3;Slash.wav
超彗星ゲルググミサイル, Jet.wav
超彗星ゲルググミサイル(命中), Crash.wav
ジオングアタック, 2;Swing.wav;2;Swing.wav;Swing.wav
ジオングアタック(命中), Punch(2).wav
胃酸, bow.wav
胃酸(命中), Splash.wav
影の結界, Fold.wav
鬼魔砲ギガデイン, Thunderbolt.wav
連続攻撃(剣)(解説), $(パイロット)は素早く連続攻撃を仕掛けた。
連続攻撃(大剣)(解説), $(パイロット)は素早く連続攻撃を仕掛けた。
連続攻撃(剣斧)(解説), $(パイロット)は素早く連続攻撃を仕掛けた。
地震(解説), ジークジオンは巨体で大地を揺るがした。
甲羅(解説), タートルゴッグは甲羅の磁力で$(相手パイロット)を引き寄せた。
ジオングアタック(解説), ジャイアントジオングはツノをブーメランのように投げた。
爆弾, $(パイロット)は上空から爆弾を落とした。
連携攻撃, ジオン親衛隊は息の合った連携攻撃を仕掛けた。

ネオブラックドラゴン(騎士ガンダム物語)
炎の剣(解説), ネオブラックドラゴンは炎の剣と同化した尻尾で攻撃をかけた。
