
武者頑駄無
豪嵐剣(準備), 日本刀
豪嵐剣(攻撃), 斬撃
豪嵐剣(命中), 斬撃
厳命の弓(準備), クロスボウ
厳命の弓(攻撃), 矢
厳命の弓(命中), 矢
光乱散破天(準備), 対物ライフル
光乱散破天(攻撃), 中ビーム イエロー
光乱散破天(命中), 中ビーム イエロー
最強破壊砲(準備), -
最強破壊砲(攻撃), 大ビーム イエロー
最強破壊砲(命中), 大ビーム イエロー
邪悪決壊砲(準備), -
邪悪決壊砲(攻撃), 大ビーム ブラック
邪悪決壊砲(命中), 大ビーム ブラック
豪嵐丸(準備), 日本刀
豪嵐丸(攻撃), 斬撃
豪嵐丸(命中), 斬撃
厳光の弓(準備), クロスボウ
厳光の弓(攻撃), 中ビーム グリーン
厳光の弓(命中), 中ビーム グリーン
剣勢拳(準備), -
剣勢拳(攻撃), -
剣勢拳(命中), 打撃
剣勢拳(命中), 連打
剣勢拳(命中), 乱打
剣勢拳(命中), $(パイロット).「ならばトンファーで」;@戦闘アニメ_トンファー準備 二刀流;_
@戦闘アニメ_白兵武器攻撃 二刀流;強打;強打
剣勢拳(命中), $(パイロット).「ならばトンファーで」;@戦闘アニメ_トンファー準備 二刀流;_
@戦闘アニメ_白兵回転攻撃;連打
剣勢拳(命中), $(パイロット).「くらえ、後ろ回し蹴り！」;@戦闘アニメ_キック攻撃;強打
剣勢拳(命中), $(パイロット).「蹴り技には少々自信があるぞ！」;@戦闘アニメ_キック攻撃;強打
剣勢拳(命中), $(パイロット).「剣勢！」;@戦闘アニメ_日本刀準備;斬撃;$(パイロット).「剣勢拳！」;_
@戦闘アニメ_アッパー攻撃;強打
天動雷撃の術(準備), 魔法集中 赤
天動雷撃の術(攻撃), 落雷
天動雷撃の術(命中), 落雷
炎紅拳(準備), -
炎紅拳(攻撃), アッパー
炎紅拳(命中), 炎斬撃 Punch.wav
氷鋭拳(準備), -
氷鋭拳(攻撃), アッパー
氷鋭拳(命中), 炎斬撃 ホワイト Punch.wav
氷嵐焼尽弾(準備), 魔法集中 青;魔法集中 赤
氷嵐焼尽弾(攻撃), ＭＡＰ吹雪;ＭＡＰフラッシュ Explode.wav
氷嵐焼尽弾(命中), 超爆発
閃光針(準備), -
閃光針(攻撃), ２連中ビーム ホワイト
閃光針(命中), ２連中ビーム ホワイト
光凰剣(準備), 野太刀
