汎用
マサムネ(ＳａＧａ２)(命中), Slash(4).wav
女神の心臓(ＳａＧａ２), Sharara.wav

ＳａＧａ２
マサムネ(命中), Slash(4).wav
女神の心臓, Sharara.wav
バトルハンマー(命中), FightHit(2).wav
青龍刀(命中), Slash.wav
刀(命中), Slash.wav
十手(命中), FightHit(2).wav
バトルアクス(命中), Slash.wav
悪のそろばん(命中), FightHit(2).wav
ロングソード(命中), Slash.wav
珊瑚の剣(命中), Slash.wav
ミスリルソード(命中), Slash.wav
フレームソード(命中), Slash.wav
アイスブランド(命中), Slash.wav
サンダーアクス(命中), Slash.wav
ルーンアクス(命中), Slash.wav
オーガキラー(命中), Slash.wav
ドラゴンソード(命中), Slash.wav
ディフェンダー(命中), Slash.wav
村正(命中), Slash.wav
サンブレード(命中), Slash.wav
グングニルの槍(命中), Stab.wav
エクスカリバー(命中), Slash.wav
七支刀(命中), Slash.wav;Slash.wav;Slash.wav;Slash.wav;Slash.wav;Slash.wav;Slash.wav
ブラッドソード(命中), Slash.wav;BeamShot.wav
サイコダガー(命中), Slash.wav
サイコソード(命中), Slash.wav
サイコガン, LaserGun.wav
レイピア(命中), Stab.wav
サーベル(命中), Slash.wav
ムチ(命中), Whip.wav
電撃ムチ(命中), Whip.wav;BeamSaber.wav
ライトセーバー, BeamSaber.wav
ネコの爪(命中), Slash.wav
チェーンソー(命中), Drill.wav
恨みの剣(命中), Slash.wav
ガラスの剣(命中), Slash.wav;Glass.wav
パンチ(命中), Punch.wav
キック(命中), Punch.wav
三段突き(命中), Punch(3).wav
クロスカウンター(命中), FightHit(2).wav
流し目, Sharara.wav
飛び膝蹴り(命中), FightHit(2).wav
飛び膝蹴り・ＦＳ(命中), FightHit(2).wav
地獄車(命中), FightHit(2).wav
地獄車・ＦＳ(命中), FightHit(2).wav
ヤマアラシ(命中), FightHit(2).wav
阻止(白刃取り), Sword.wav
弓, Bow.wav
デリンジャー, Gun.wav
スタンガン(命中), BeamSaber.wav
ロケットパンチ(命中), Punch.wav
ミスリルの弓, Bow.wav
サブマシンガン, MachineCannon.wav
ビームライフル, LaserGun.wav
火縄銃, Gun.wav
投げ銭, Bow.wav
手榴弾, Explode(Far).wav
４４マグナム, Gun.wav
バルカン砲, GunPod.wav
火炎放射器, Fire.wav
バズーカ, Bazooka.wav
レオパルト２, Bazooka.wav
ミサイル, Explode(Far).wav
与一の弓, Bow.wav
核爆弾, Bomb.wav;Explode(Nuclear).wav
波動砲, Charge(2).wav
ファイアの書, Fire.wav
サンダーの書, Thunder.wav
ブリザドの書, Storm.wav
クラウダの書, Mist.wav
スリプルの書, Flair.wav
念仏の本, Mokugyo.wav
ブレイクの書, Flair.wav
デスの書, EvilEye.wav
魔術の杖, Fire.wav
魔導士の杖, EvilEye.wav
フレアの書, Charge(2).wav;Explode(Far).wav
ケアルの書, Sharara.wav
ポーション, Sharara.wav
ハイポーション, Sharara.wav
エリクサー, Sharara.wav
癒しの杖, Sharara.wav
ひれ(命中), Whip.wav
体当たり(命中), FightHit(2).wav
牙(命中), Stab.wav
２刀流(命中), Slash.wav;Slash.wav
２本の牙(命中), Stab.wav
枝(命中), Whip.wav
舌(命中), Whip.wav
触手(命中), Whip.wav
尻尾(命中), Whip.wav
爪(命中), Slash.wav
くちばし(命中), Stab.wav
剣(命中), Slash.wav
角(命中), Stab.wav
ハサミ(命中), Slash.wav
茨(命中), Whip.wav
突き(命中), Stab.wav
斧(命中), Slash.wav
頭突き(命中), FightHit(2).wav
ダブルキック(命中), FightHit(2).wav;FightHit(2).wav
２回攻撃(命中), Slash.wav;Slash.wav
２つのハサミ(命中), Slash.wav;Slash.wav
３つの頭(命中), Stab.wav;Stab.wav;Stab.wav
３本の角(命中), Stab.wav;Stab.wav;Stab.wav
４つの首(命中), Stab.wav;Stab.wav;Stab.wav;Stab.wav
６本の腕(命中), FightHit(2).wav;FightHit(2).wav;FightHit(2).wav;FightHit(2).wav;FightHit(2).wav;FightHit(2).wav
触手８(命中), Whip.wav;Whip.wav;Whip.wav;Whip.wav;Whip.wav;Whip.wav;Whip.wav;Whip.wav
カウンター(命中), Stab.wav
クリティカル(命中), Slash(4).wav
血を吸う(命中), BeamShot.wav
溶かす(命中), BeamShot.wav
ドレインタッチ(命中), BeamShot.wav
目つぶし(命中), Stab.wav
マヒ爪(命中), Slash.wav
毒素, Mist.wav
石化くちばし(命中), Stab.wav
毒針(命中), Stab.wav
炎, Fire.wav
ファイア, Fire.wav
渦潮, Splash.wav
稲妻, Thunder.wav
サンダー, Thunder.wav
冷気, Storm.wav
ブリザド, Storm.wav
毒霧, Mist.wav
竜巻, Storm.wav
地震, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
殺人ビーム, LaserGun.wav
破壊光線, LaserGun.wav
サイコブラスト, LaserGun.wav
フレア, Charge(2).wav;Explode(Far).wav
砲台, LaserGun.wav
メガスマッシュ(命中), Crash.wav
スターバスター, Charge(2).wav
システム破壊, Computer.wav
サンバースト, LaserGun.wav
成仏, Mokugyo.wav
自爆, Explode(Nuclear).wav
ＤＮＡ, Flair.wav
酸性雨, SHOWER.wav
のこぎり(命中), Drill.wav
眠りの粉, Mist.wav
スリプル, Flair.wav
誘惑, Sharara.wav
誘惑の歌, Sharara.wav
死の粉, Mist.wav
デスにらみ, EvilEye.wav
デス, EvilEye.wav
ヒュプノシス, Signal.wav
毒の粉, Mist.wav
墨, Mist.wav
フラッシュアイ, Flair.wav
呪いの歌, Sharara.wav
呪いの目, EvilEye.wav
